[GENERAL]
DATE=June 15, 2021 at 11:30:25
CYME_VERSION=8.02

[SI]

[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,LoadType,Connection,Location
p1ulv1_load_p1ulv1,p1ulv1_load_p1ulv1,SPOT,6,0
p1ulv2_load_p1ulv2,p1ulv2_load_p1ulv2,SPOT,0,0
p1ulv3_load_p1ulv3,p1ulv3_load_p1ulv3,SPOT,6,0
p1ulv4_load_p1ulv4,p1ulv4_load_p1ulv4,SPOT,6,0
p1ulv5_load_p1ulv5,p1ulv5_load_p1ulv5,SPOT,0,0
p1ulv6_load_p1ulv6,p1ulv6_load_p1ulv6,SPOT,6,0
p1ulv7_load_p1ulv7,p1ulv7_load_p1ulv7,SPOT,6,0
p1ulv8_load_p1ulv8,p1ulv8_load_p1ulv8,SPOT,6,0
p1ulv9_load_p1ulv9,p1ulv9_load_p1ulv9,SPOT,6,0
p1ulv10_load_p1ulv10,p1ulv10_load_p1ulv10,SPOT,6,0
p1ulv11_load_p1ulv11,p1ulv11_load_p1ulv11,SPOT,6,0
p1ulv12_load_p1ulv12,p1ulv12_load_p1ulv12,SPOT,0,0
p1ulv13_load_p1ulv13,p1ulv13_load_p1ulv13,SPOT,0,0
p1ulv14_load_p1ulv14,p1ulv14_load_p1ulv14,SPOT,6,0
p1ulv15_load_p1ulv15,p1ulv15_load_p1ulv15,SPOT,6,0
p1ulv16_load_p1ulv16,p1ulv16_load_p1ulv16,SPOT,6,0
p1ulv17_load_p1ulv17,p1ulv17_load_p1ulv17,SPOT,6,0
p1ulv18_load_p1ulv18,p1ulv18_load_p1ulv18,SPOT,6,0
p1ulv19_load_p1ulv19,p1ulv19_load_p1ulv19,SPOT,6,0
p1ulv20_load_p1ulv20,p1ulv20_load_p1ulv20,SPOT,6,0
p1ulv21_load_p1ulv21,p1ulv21_load_p1ulv21,SPOT,6,0
p1ulv22_load_p1ulv22,p1ulv22_load_p1ulv22,SPOT,6,0
p1ulv23_load_p1ulv23,p1ulv23_load_p1ulv23,SPOT,6,0
p1ulv24_load_p1ulv24,p1ulv24_load_p1ulv24,SPOT,6,0
p1ulv25_load_p1ulv25,p1ulv25_load_p1ulv25,SPOT,6,0
p1ulv25_load_p1ulv26,p1ulv25_load_p1ulv26,SPOT,6,0
p1ulv27_load_p1ulv27,p1ulv27_load_p1ulv27,SPOT,6,0
p1ulv28_load_p1ulv28,p1ulv28_load_p1ulv28,SPOT,6,0
p1ulv29_load_p1ulv29,p1ulv29_load_p1ulv29,SPOT,6,0
p1ulv30_load_p1ulv30,p1ulv30_load_p1ulv30,SPOT,6,0
p1ulv31_load_p1ulv31,p1ulv31_load_p1ulv31,SPOT,6,0
p1ulv31_load_p1ulv32,p1ulv31_load_p1ulv32,SPOT,6,0
p1ulv33_load_p1ulv33,p1ulv33_load_p1ulv33,SPOT,6,0
p1ulv34_load_p1ulv34,p1ulv34_load_p1ulv34,SPOT,6,0
p1ulv35_load_p1ulv35,p1ulv35_load_p1ulv35,SPOT,6,0
p1ulv36_load_p1ulv36,p1ulv36_load_p1ulv36,SPOT,6,0
p1ulv37_load_p1ulv37,p1ulv37_load_p1ulv37,SPOT,6,0
p1ulv38_load_p1ulv38,p1ulv38_load_p1ulv38,SPOT,6,0
p1ulv39_load_p1ulv39,p1ulv39_load_p1ulv39,SPOT,6,0
p1ulv40_load_p1ulv40,p1ulv40_load_p1ulv40,SPOT,6,0
p1ulv40_load_p1ulv41,p1ulv40_load_p1ulv41,SPOT,6,0
p1ulv42_load_p1ulv42,p1ulv42_load_p1ulv42,SPOT,6,0
p1ulv43_load_p1ulv43,p1ulv43_load_p1ulv43,SPOT,6,0
p1ulv44_load_p1ulv44,p1ulv44_load_p1ulv44,SPOT,6,0
p1ulv45_load_p1ulv45,p1ulv45_load_p1ulv45,SPOT,6,0
p1ulv46_load_p1ulv46,p1ulv46_load_p1ulv46,SPOT,6,0
p1ulv47_load_p1ulv47,p1ulv47_load_p1ulv47,SPOT,6,0
p1ulv47_load_p1ulv48,p1ulv47_load_p1ulv48,SPOT,6,0
p1ulv49_load_p1ulv49,p1ulv49_load_p1ulv49,SPOT,6,0
p1ulv50_load_p1ulv50,p1ulv50_load_p1ulv50,SPOT,6,0
p1ulv51_load_p1ulv51,p1ulv51_load_p1ulv51,SPOT,6,0
p1ulv52_load_p1ulv52,p1ulv52_load_p1ulv52,SPOT,6,0
p1ulv53_load_p1ulv53,p1ulv53_load_p1ulv53,SPOT,6,0
p1ulv53_load_p1ulv54,p1ulv53_load_p1ulv54,SPOT,6,0
p1ulv55_load_p1ulv55,p1ulv55_load_p1ulv55,SPOT,6,0
p1ulv56_load_p1ulv56,p1ulv56_load_p1ulv56,SPOT,6,0
