[GENERAL]
DATE=June 15, 2021 at 11:38:55
CYME_VERSION=8.02

[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
load_p4ulv1,550499.6542259997,4184622.3143250006
load_p4ulv2,550203.9999999998,4184619.9999999995
load_p4ulv3,550121.9999999997,4184539.999999999
load_p4ulv4,549982.0,4184589.9999999986
load_p4ulv5,550919.000000001,4184649.9999999995
load_p4ulv6,550973.0000000007,4184760.0000000005
load_p4ulv7,550081.9999999995,4184600.0
load_p4ulv8,550360.9999999991,4184590.0
load_p4ulv9,550447.0000000001,4184669.999999999
load_p4ulv10,551144.999999999,4184779.9999999995
load_p4ulv11,550184.9999999993,4184619.9999999986
load_p4ulv12,550417.0000000008,4184550.0000000005
load_p4ulv13,550651.9999999998,4184949.999999999
load_p4ulv14,550348.0,4184729.999999999
load_p4ulv15,550345.0,4184559.9999999995
load_p4ulv16,551132.0000000001,4184979.999999999
load_p4ulv17,551116.9999999995,4184790.0
load_p4ulv18,551131.9999999997,4184720.0000000014
load_p4ulv19,550205.0000000001,4184619.9999999995
load_p4ulv20,550984.3457739998,4184717.6856750003
load_p4ulv21,551140.9999999991,4184659.999999999
load_p4ulv22,551121.6542259998,4184692.3143250006
load_p4ulv23,551091.9999999994,4184659.999999999
load_p4ulv24,551080.0000000005,4184660.0
load_p4ulv25,551046.0000000009,4184640.0000000005
load_p4ulv26,551059.9999999993,4184640.0000000005
load_p4ulv27,551132.9999999998,4184589.9999999995
load_p4ulv28,551069.9999999993,4184790.0
load_p4ulv29,550532.9999999988,4184560.0
load_p4ulv30,550974.9999999997,4184640.0000000005
load_p4ulv31,550391.0000000005,4184590.000000001
load_p4ulv32,550176.9999999995,4184530.0
load_p4ulv33,551013.9999999994,4184530.0
load_p4ulv34,551000.9999999999,4184720.000000001
load_p4ulv35,550308.9999999993,4184579.9999999995
load_p4ulv36,550368.9999999999,4184540.0000000005
load_p4ulv37,551011.9999999993,4184640.0000000005
load_p4ulv38,550908.0000000007,4184619.9999999995
load_p4ulv39,550033.9999999991,4184530.0000000014
load_p4ulv40,551077.0,4184789.999999999
load_p4ulv41,550372.0000000006,4184539.999999999
p4udm1,550528.3457740004,4184543.685675
p4udm4,550126.9999999999,4184536.0
p4udm5,550170.0000000005,4184533.0
p4udm7,550921.0000000001,4184615.0000000005
p4udm8,550978.9999999994,4184625.0
p4udm9,550912.0000000009,4184614.0000000005
p4udm11,551074.2199999999,4184797.76
p4udm13,550366.0000000007,4184594.000000001
p4udm14,550377.0000000009,4184542.0000000005
p4udm23,551126.9999999993,4184718.0000000014
p4udm24,551132.0000000006,4184662.0000000005
p4udm29,551079.0000000009,4184638.999999998
p4udm30,551047.000000001,4184633.0
p4udt1,550194.4813599999,4184615.4875249984
p4udt1lv,550198.1984499992,4184618.366894999
p4udt2,550156.0005724091,4184541.0088894
p4udt2lv,550152.0134199995,4184544.006509999
p4udt3,549998.6542259994,4184567.314325001
p4udt3lv,549999.3457740006,4184562.6856750003
p4udt4,550939.9605850005,4184618.9839049987
p4udt4lv,550944.5652500009,4184620.9030299997
p4udt5,551003.2346825008,4184735.431515501
p4udt5lv,551006.9607100001,4184732.570169999
p4udt6,550079.285585001,4184577.488892
p4udt6lv,550078.665745001,4184572.5365550006
p4udt7,550365.2337204998,4184565.5680035003
p4udt7lv,550368.9659749997,4184568.4211849994
p4udt8,550446.2337205007,4184672.5680035
p4udt8lv,550449.9659749997,4184675.421185
p4udt9,551151.2337205008,4184788.5680034985
p4udt9lv,551146.8002850004,4184787.0108050006
p4udt10,550419.3457739991,4184541.6856749994
p4udt10lv,550418.6542260005,4184546.314324999
p4udt11,550655.5109749998,4184951.0961849997
p4udt11lv,550651.7787204991,4184948.243010001
p4udt12,550345.2337205,4184678.5680035003
p4udt12lv,550348.9659750008,4184681.4211849994
p4udt13,550346.2346825008,4184562.4315154995
p4udt13lv,550341.804639999,4184563.998294999
p4udt14,551141.0041999997,4185001.924325
p4udt14lv,551141.6957740008,4184997.2956749997
p4udt15,551113.2346824999,4184790.4315154995
p4udt15lv,551116.9607099995,4184787.5701699997
p4udt16,551128.2337204993,4184687.568003499
p4udt16lv,551131.9659749991,4184690.4211849994
p4udt17,550185.8996699993,4184611.668904999
p4udt17lv,550181.2789500005,4184610.7917949995
p4udt18,551003.5425050003,4184722.88432
p4udt18lv,551006.7687799996,4184726.8357999995
p4udt19,551096.6542260001,4184644.3143250006
