hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 371.161, 5.43287, 376.37, 5.61739, 378.531, 5.64961
0, 1800.00000, 351.806, 3.74414, 354.391, 3.81802, 354.453, 3.67261
0, 2700.00000, 367.383, 5.34547, 367.641, 5.30023, 371.56, 5.47446
1, 0.00000, 367.048, 5.3357, 369.483, 5.53865, 371.262, 5.56204
1, 900.00000, 346.982, 3.74165, 346.851, 3.80403, 346.595, 3.65326
1, 1800.00000, 363.362, 5.33262, 361.811, 5.29001, 365.467, 5.46616
1, 2700.00000, 360.921, 5.34297, 362.351, 5.55173, 363.995, 5.57493
2, 0.00000, 340.151, 3.73063, 339.552, 3.79393, 339.297, 3.63983
2, 900.00000, 357.387, 5.35265, 355.655, 5.31078, 359.417, 5.48854
2, 1800.00000, 356.817, 5.35027, 358.21, 5.56175, 360.02, 5.58431
2, 2700.00000, 338.95, 3.72893, 338.414, 3.79284, 338.326, 3.63813
3, 0.00000, 359.821, 5.36152, 358.178, 5.31975, 362.105, 5.49601
3, 900.00000, 363.422, 5.3532, 364.938, 5.56061, 366.888, 5.58296
3, 1800.00000, 350.477, 3.79805, 350.084, 3.85999, 350.106, 3.71075
3, 2700.00000, 375.409, 5.37278, 373.921, 5.33125, 377.934, 5.50191
4, 0.00000, 382.577, 5.3595, 384.246, 5.5564, 386.25, 5.57926
4, 900.00000, 370.66, 3.88301, 370.361, 3.94135, 370.412, 3.80073
4, 1800.00000, 395.285, 5.39307, 393.834, 5.35219, 397.835, 5.5165
4, 2700.00000, 403.86, 5.38044, 405.415, 5.5674, 407.361, 5.59073
5, 0.00000, 398.061, 4.43085, 397.403, 4.48526, 397.359, 4.35373
5, 900.00000, 421.368, 5.44498, 419.169, 5.4056, 423.142, 5.56207
5, 1800.00000, 435.58, 5.64923, 436.22, 5.82329, 438.049, 5.84564
5, 2700.00000, 433.681, 4.86835, 431.875, 4.91748, 431.669, 4.79557
6, 0.00000, 460.672, 5.71304, 457.334, 5.67571, 461.129, 5.81971
6, 900.00000, 482.164, 6.02729, 481.865, 6.18503, 483.41, 6.20554
6, 1800.00000, 487.477, 5.40726, 485.079, 5.45032, 484.443, 5.34092
6, 2700.00000, 512.828, 6.21574, 509.756, 6.21286, 512.762, 6.31166
7, 0.00000, 522.05, 6.54063, 521.735, 6.66982, 522.817, 6.67313
7, 900.00000, 519.42, 5.9135, 517.512, 5.952, 517.642, 5.89889
7, 1800.00000, 526.245, 6.68788, 522.411, 6.71686, 520.341, 6.77431
7, 2700.00000, 526.197, 6.72047, 523.223, 6.85383, 520.96, 6.84419
8, 0.00000, 518.899, 6.35749, 517.143, 6.44177, 513.688, 6.37664
8, 900.00000, 508.328, 6.81335, 506.343, 6.85983, 505.829, 6.94428
8, 1800.00000, 494.555, 6.88553, 493.094, 7.04514, 493.612, 7.07376
8, 2700.00000, 471.624, 6.48857, 469.803, 6.60134, 469.469, 6.57289
9, 0.00000, 481.876, 7.40857, 480.139, 7.48006, 481.814, 7.56196
9, 900.00000, 482.139, 7.66734, 482.648, 7.82685, 483.522, 7.85447
9, 1800.00000, 467.557, 7.22433, 467.785, 7.33436, 467.962, 7.30523
9, 2700.00000, 468.713, 7.62074, 469.063, 7.6867, 471.069, 7.76783
10, 0.00000, 466.31, 7.71377, 468.87, 7.86892, 469.777, 7.89693
10, 900.00000, 457.985, 7.3594, 460.084, 7.46215, 460.013, 7.43415
10, 1800.00000, 457.706, 7.57273, 459.803, 7.63199, 461.552, 7.71632
10, 2700.00000, 453.127, 7.58424, 457.362, 7.73479, 458.039, 7.76513
11, 0.00000, 439.217, 7.15908, 442.912, 7.25857, 442.674, 7.23065
11, 900.00000, 439.213, 7.44266, 442.774, 7.49627, 444.436, 7.58491
