Timestamp,Circuit.feeder_idt629-ihs0_1247x__Losses
2020-01-01 00:00:00,(27915.471071879634+26279.279376948813j)
2020-01-01 00:15:00,(26341.356112859914+20955.136045760064j)
2020-01-01 00:30:00,(27281.627518741978+24356.61462065333j)
2020-01-01 00:45:00,(27344.865991840867+24497.24918679191j)
2020-01-01 01:00:00,(25787.19444325098+19169.760712956446j)
2020-01-01 01:15:00,(26849.91258324305+22989.977760465066j)
2020-01-01 01:30:00,(26810.9025268436+22823.061871060487j)
2020-01-01 01:45:00,(25283.47348326208+17592.574878463085j)
2020-01-01 02:00:00,(26389.817350700203+21583.62706225431j)
2020-01-01 02:15:00,(26499.19739822702+21893.592935658893j)
2020-01-01 02:30:00,(25192.932481335654+17359.01064759233j)
2020-01-01 02:45:00,(26575.284701980112+22201.528814463854j)
2020-01-01 03:00:00,(27018.147430648824+23522.602167365625j)
2020-01-01 03:15:00,(26041.415610064265+20002.948738342773j)
2020-01-01 03:30:00,(27856.75947981699+26107.146977596578j)
2020-01-01 03:45:00,(28666.391927144978+28487.23312950405j)
2020-01-01 04:00:00,(27699.228461063405+25006.805513405317j)
2020-01-01 04:15:00,(29590.515657964796+31347.316020277824j)
2020-01-01 04:30:00,(30629.423770212336+34317.1486147161j)
2020-01-01 04:45:00,(30186.721722859496+32334.557098660633j)
2020-01-01 05:00:00,(32316.254187397615+39074.24861988049j)
2020-01-01 05:15:00,(33697.50313173665+43402.93906348505j)
2020-01-01 05:30:00,(33212.26198017951+41715.654791569395j)
2020-01-01 05:45:00,(35435.10146353342+49338.11322002843j)
2020-01-01 06:00:00,(37841.11820825414+56655.08605760617j)
2020-01-01 06:15:00,(38007.82856501424+57080.54631979834j)
2020-01-01 06:30:00,(39939.72100260934+64532.26544827502j)
2020-01-01 06:45:00,(40983.14417450187+67926.54604527926j)
2020-01-01 07:00:00,(40429.81940223917+65979.5234831476j)
2020-01-01 07:15:00,(41014.07639596559+68041.12307855266j)
2020-01-01 07:30:00,(40849.9566617343+68033.75537649113j)
2020-01-01 07:45:00,(39760.16369805763+65154.45594099812j)
2020-01-01 08:00:00,(38595.76016807429+61719.75774201626j)
2020-01-01 08:15:00,(37075.16766025553+57371.42123499783j)
2020-01-01 08:30:00,(34744.89271636032+50058.23586391215j)
2020-01-01 08:45:00,(35555.897483221896+53518.381115767465j)
2020-01-01 09:00:00,(35483.35234825166+53790.986219157145j)
2020-01-01 09:15:00,(34074.7727490015+49166.168613384136j)
2020-01-01 09:30:00,(34192.618551071806+49816.879928217415j)
2020-01-01 09:45:00,(34109.70989315224+49575.29259604869j)
2020-01-01 10:00:00,(33312.72646600893+46895.38309922472j)
2020-01-01 10:15:00,(33256.46956237002+46944.176847575014j)
2020-01-01 10:30:00,(32963.353364579874+45981.11055957184j)
2020-01-01 10:45:00,(31673.15098990448+41796.701498933915j)
2020-01-01 11:00:00,(31702.133638561885+41998.441846017304j)
2020-01-01 11:15:00,(31296.404164378553+40577.49192988383j)
2020-01-01 11:30:00,(30483.02626828927+37661.528186102914j)
2020-01-01 11:45:00,(31030.169610452707+39316.00511999607j)
2020-01-01 12:00:00,(30759.079448519507+38386.26040017908j)
2020-01-01 12:15:00,(29540.531139855528+34111.41761032889j)
2020-01-01 12:30:00,(29679.419246278652+34759.90406644539j)
2020-01-01 12:45:00,(29258.410142084016+33437.10587301947j)
2020-01-01 13:00:00,(28192.0995269915+29718.63552886755j)
2020-01-01 13:15:00,(28957.029984073393+32292.01382169307j)
2020-01-01 13:30:00,(28502.64946806375+30527.499072254734j)
2020-01-01 13:45:00,(28356.092136482268+29862.066265883874j)
2020-01-01 14:00:00,(29294.75890779883+33185.23107733379j)
2020-01-01 14:15:00,(29390.09587185696+33686.44337487862j)
2020-01-01 14:30:00,(29304.158203934217+33417.65589666183j)
2020-01-01 14:45:00,(29472.573872476976+34020.99495356336j)
2020-01-01 15:00:00,(29526.314400250598+34228.543712478575j)
2020-01-01 15:15:00,(29466.52154569147+33959.214177083966j)
2020-01-01 15:30:00,(30303.184008265514+36904.531698545696j)
2020-01-01 15:45:00,(30428.35528197572+37425.11657486919j)
2020-01-01 16:00:00,(30960.769702733072+38777.290033882484j)
2020-01-01 16:15:00,(32747.2063606122+44911.05555816991j)
2020-01-01 16:30:00,(32277.363138508073+43618.64022836909j)
2020-01-01 16:45:00,(33643.73647703329+48593.55085914906j)
2020-01-01 17:00:00,(34828.24841380378+52773.27206736958j)
2020-01-01 17:15:00,(34805.290767631544+52869.09207461394j)
2020-01-01 17:30:00,(36071.93660921625+57265.63735293201j)
2020-01-01 17:45:00,(36850.68863371905+59710.81701646554j)
2020-01-01 18:00:00,(36957.473296140066+60026.210564159344j)
2020-01-01 18:15:00,(34847.38983120138+52773.87267204092j)
2020-01-01 18:30:00,(33344.68100483839+47757.11146454581j)
2020-01-01 18:45:00,(30321.90058637297+37093.78028583605j)
2020-01-01 19:00:00,(27381.438310613798+26755.957494641545j)
2020-01-01 19:15:00,(26906.70731362544+25114.50440407474j)
2020-01-01 19:30:00,(26207.465609405823+22493.481701288794j)
2020-01-01 19:45:00,(25792.518119059125+20901.024106320467j)
2020-01-01 20:00:00,(25980.19386974112+21380.527247287948j)
2020-01-01 20:15:00,(26114.14642773118+21636.367893086877j)
2020-01-01 20:30:00,(26232.855696892886+21949.349398131497j)
2020-01-01 20:45:00,(26953.528483885606+24292.589418497875j)
2020-01-01 21:00:00,(27145.9470092651+24618.97758841584j)
2020-01-01 21:15:00,(26813.68307386474+23164.35049254346j)
2020-01-01 21:30:00,(26924.67574818992+23291.23218261165j)
2020-01-01 21:45:00,(26943.832643379617+23182.37366925729j)
2020-01-01 22:00:00,(26675.09839536762+22144.24818966472j)
2020-01-01 22:15:00,(27078.584173428782+23477.61980461088j)
2020-01-01 22:30:00,(27188.716937359088+23775.77775917395j)
2020-01-01 22:45:00,(26850.409011122843+22524.739220470514j)
2020-01-01 23:00:00,(26854.401426658456+22755.10551561007j)
2020-01-01 23:15:00,(26894.353607600082+22862.266010691288j)
2020-01-01 23:30:00,(26502.270398994544+21487.056058279955j)
2020-01-01 23:45:00,(26580.827920394477+21833.667670722407j)
