,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1ilv1260,3,p1ilv1260.1.2.3,0.48,68.4564779743033,0.9968,1,com_kw_14666_pu,,,,wye,5.52847696735022,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,68.679352313667,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1270_1,1,p1ilv1270.1,0.12,3.01300025880184,0.9765,1,com_kw_13887_pu,,,,wye,0.664491267241258,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.08540422048389,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1270_2,1,p1ilv1270.2,0.12,3.01300025880184,0.9765,1,com_kw_13887_pu,,,,wye,0.664491267241258,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.08540422048389,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1289_1,1,p1ilv1289.1,0.12,11.1034128601176,0.9995,1,com_kw_14427_pu,,,,wye,0.346621169564643,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,11.1088218717115,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1289_2,1,p1ilv1289.2,0.12,11.1034128601176,0.9995,1,com_kw_14427_pu,,,,wye,0.346621169564643,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,11.1088218717115,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1306,3,p1ilv1306.1.2.3,0.48,47.7600875711082,0.9855,1,com_kw_13420_pu,,,,wye,8.21699356831228,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,48.4617885359342,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1310_1,1,p1ilv1310.1,0.12,4.83751390257214,0.9973,1,com_kw_13636_pu,,,,wye,0.353490254298127,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.850411953377,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1310_2,1,p1ilv1310.2,0.12,4.83751390257214,0.9973,1,com_kw_13636_pu,,,,wye,0.353490254298127,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.850411953377,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1334,3,p1ilv1334.1.2.3,0.48,62.4681808612623,0.997,1,com_kw_14095_pu,,,,wye,4.88798381398327,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,62.6591254797028,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1353,3,p1ilv1353.1.2.3,0.48,137.173762275346,0.983,1,com_kw_13683_pu,,,,wye,25.646216359536,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,139.550598244269,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1435_1,1,p1ilv1435.1,0.12,3.01300025880184,0.9765,1,com_kw_13887_pu,,,,wye,0.664491267241258,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.08540422048389,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1435_2,1,p1ilv1435.2,0.12,3.01300025880184,0.9765,1,com_kw_13887_pu,,,,wye,0.664491267241258,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.08540422048389,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1446,3,p1ilv1446.1.2.3,0.48,64.2888791954745,0.9995,1,com_kw_14388_pu,,,,wye,2.05916671779679,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,64.3218481993638,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1532,3,p1ilv1532.1.2.3,0.48,279.506387266774,0.9984,1,com_kw_13026_pu,,,,wye,15.7524240704984,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,279.949922998776,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1534,3,p1ilv1534.1.2.3,0.48,111.59732122653,0.9974,1,com_kw_14810_pu,,,,wye,8.0929125860746,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,111.890380904987,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1559,3,p1ilv1559.1.2.3,0.48,60.9242946796041,0.9826,1,com_kw_13831_pu,,,,wye,11.5252138014868,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,62.0048404189319,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1581,3,p1ilv1581.1.2.3,0.48,44.2991890323251,0.969,1,com_kw_13114_pu,,,,wye,11.2866683759281,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,45.7144072689327,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1592,3,p1ilv1592.1.2.3,0.48,97.0671667131835,0.99,1,com_kw_14918_pu,,,,wye,13.8503894052913,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,98.0503347286645,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1605_1,1,p1ilv1605.1,0.12,8.9452778720825,0.9964,1,com_kw_15010_pu,,,,wye,0.765622924879624,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,8.97798277297691,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1605_2,1,p1ilv1605.2,0.12,8.9452778720825,0.9964,1,com_kw_15010_pu,,,,wye,0.765622924879624,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,8.97798277297691,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1613,3,p1ilv1613.1.2.3,0.48,192.046815141763,0.9989,1,com_kw_12922_pu,,,,wye,9.05324257525646,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,192.260085319915,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1616,3,p1ilv1616.1.2.3,0.48,107.055790316436,0.9992,1,com_kw_14987_pu,,,,wye,4.31327071032144,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,107.142645778874,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1637_1,1,p1ilv1637.1,0.12,3.51403824531974,0.9968,1,com_kw_14842_pu,,,,wye,0.282695833118394,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.52539100294312,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1637_2,1,p1ilv1637.2,0.12,3.51403824531974,0.9968,1,com_kw_14842_pu,,,,wye,0.282695833118394,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.52539100294312,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1714,3,p1ilv1714.1.2.3,0.48,69.2338583745609,0.9788,1,com_kw_14854_pu,,,,wye,14.4878529531574,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,70.7334788386735,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
