,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:idt552-idt552lv),3,2,2,idt552lv,wye ,0.48,150,1,1.0784,-1,0,"['idt552', 'idt552lv']","['wye', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"1.580168, (-3.4815), 40.10272, (176.48), 1.580456, (-123.47), 40.11032, (56.487), 1.580458, (116.51), 40.1104, (-63.526), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
Transformer.tr(r:idt560-idt560lv),1,3,3,idt560lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['idt560.3', 'idt560lv.1.0', 'idt560lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"2.157718, (115.98), 63.9476, (-64.089), 63.94238, (-64.018), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:idt578-idt578lv),1,3,3,idt578lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['idt578.1', 'idt578lv.1.0', 'idt578lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"2.218747, (-3.7889), 66.0658, (176.12), 66.0571, (176.27), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:idt593-idt593lv),3,2,2,idt593lv,wye ,0.48,500,1,0.73225,-1,0,"['idt593', 'idt593lv']","['wye', 'wye']","['12.47', '0.48']","['500', '500']","['1', '1']",4.36,35,30,['4.36'],2,.8,.8,65,15,1.4645,0.266,550,750,n,1.1,0.9,32,,0,1,"['0.73225', '0.73225']",,,NO,4.36,35,30,Lag,"8.448637, (-4.6858), 217.8629, (175.3), 8.449454, (-124.68), 217.8842, (55.301), 8.449098, (115.32), 217.8749, (-64.703), ",shell,0.0009560256,1,['1100'],25.465,34.724,0.007,100,36,60,True,
Transformer.tr(r:idt597-idt597lv),1,3,3,idt597lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['idt597.2', 'idt597lv.1.0', 'idt597lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.453765, (-126.2), 43.11642, (53.703), 43.10924, (53.799), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:idt616-idt616lv),3,2,2,idt616lv,wye ,0.48,300,1,0.91198,-1,0,"['idt616', 'idt616lv']","['wye', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"2.843401, (-6.7986), 72.67894, (173.12), 2.843667, (-126.79), 72.68593, (53.125), 2.843612, (113.2), 72.68448, (-66.88), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:idt629-idt629lv),3,2,2,idt629lv,wye ,0.48,300,1,0.91198,-1,0,"['idt629', 'idt629lv']","['wye', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"1.23688, (-10.197), 30.94859, (169.46), 1.236978, (-130.19), 30.9512, (49.471), 1.236972, (109.8), 30.95104, (-70.534), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:idt660-idt660lv),3,2,2,idt660lv,wye ,0.48,75,1,0.87204,-1,0,"['idt660', 'idt660lv']","['wye', 'wye']","['12.47', '0.48']","['75', '75']","['1', '1']",3.24,35,30,['3.24'],2,.8,.8,65,15,1.74408,0.6,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.87204', '0.87204']",,,NO,3.24,35,30,Lag,"1.85224, (-3.9655), 47.57097, (176.01), 1.852404, (-123.96), 47.57524, (56.022), 1.852403, (116.04), 47.57524, (-63.984), ",shell,0.007590236,1,['1100'],3.8197,5.2087,0.007,100,36,60,True,
Transformer.tr(r:idt673-idt673lv),3,2,2,idt673lv,wye ,0.48,500,1,0.73225,-1,0,"['idt673', 'idt673lv']","['wye', 'wye']","['12.47', '0.48']","['500', '500']","['1', '1']",4.36,35,30,['4.36'],2,.8,.8,65,15,1.4645,0.266,550,750,n,1.1,0.9,32,,0,1,"['0.73225', '0.73225']",,,NO,4.36,35,30,Lag,"6.749407, (-7.0801), 173.7221, (172.87), 6.750037, (-127.08), 173.7385, (52.877), 6.74964, (112.92), 173.7281, (-67.126), ",shell,0.0009560256,1,['1100'],25.465,34.724,0.007,100,36,60,True,
Transformer.tr(r:idt705-idt705lv),3,2,2,idt705lv,wye ,0.48,100,1,0.805475,-1,0,"['idt705', 'idt705lv']","['wye', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.2874599, (-12.267), 6.720471, (166.5), 0.2874801, (-132.26), 6.721036, (46.512), 0.2874789, (107.73), 6.721007, (-73.494), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
