,Transformer,HighSideConnection,NumPhases
0,Transformer.tr(r:idt552-idt552lv),wye,3
1,Transformer.tr(r:idt560-idt560lv),wye,1
2,Transformer.tr(r:idt578-idt578lv),wye,1
3,Transformer.tr(r:idt593-idt593lv),wye,3
4,Transformer.tr(r:idt597-idt597lv),wye,1
5,Transformer.tr(r:idt616-idt616lv),wye,3
6,Transformer.tr(r:idt629-idt629lv),wye,3
7,Transformer.tr(r:idt660-idt660lv),wye,3
8,Transformer.tr(r:idt673-idt673lv),wye,3
9,Transformer.tr(r:idt705-idt705lv),wye,3
10,Transformer.tr(r:idt724-idt724lv),wye,3
11,Transformer.tr(r:idt741-idt741lv),wye,1
12,Transformer.tr(r:idt808-idt808lv),wye,3
13,Transformer.tr(r:idt940-idt940lv),wye,3
14,Transformer.tr(r:idt997-idt997lv),wye,3
15,Transformer.tr(r:idt998-idt998lv),wye,3
16,Transformer.tr(r:idt1045-idt1045lv),wye,3
17,Transformer.tr(r:idt1098-idt1098lv),wye,3
18,Transformer.tr(r:idt1144-idt1144lv),wye,3
