hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 424.545, -3.12788, 384.465, -4.44854, 389.875, -4.25636
0, 1800.00000, 430.525, -2.86272, 395.78, -3.50259, 398.825, -3.53745
0, 2700.00000, 440.086, -2.45469, 397.105, -3.63394, 400.347, -3.67293
1, 0.00000, 442.844, -2.5398, 396.338, -3.88258, 402.795, -3.64736
1, 900.00000, 426.345, -4.32802, 383.11, -5.45781, 387.971, -5.36726
1, 1800.00000, 445.515, -2.41501, 396.102, -3.77118, 401.285, -3.69798
1, 2700.00000, 443.875, -2.50742, 393.572, -3.92814, 400.537, -3.68812
2, 0.00000, 444.518, -2.44653, 399.088, -3.35133, 405.566, -3.17281
2, 900.00000, 446.064, -2.40142, 395.041, -3.79584, 401.669, -3.60757
2, 1800.00000, 428.652, -4.3381, 376.976, -6.1269, 384.001, -5.83775
2, 2700.00000, 455.543, -2.13791, 407.255, -3.1082, 414.042, -2.93215
3, 0.00000, 463.719, -1.87758, 409.978, -3.25399, 417.066, -3.07256
3, 900.00000, 469.375, -1.88542, 414.687, -3.29852, 422.563, -3.06147
3, 1800.00000, 478.175, -1.74634, 428.428, -2.65332, 435.862, -2.47926
3, 2700.00000, 472.125, -3.09571, 417.388, -4.62881, 425.445, -4.3863
4, 0.00000, 509.777, -1.11531, 454.705, -2.27596, 463.247, -2.08597
4, 900.00000, 533.596, -0.591497, 479.773, -1.51161, 488.99, -1.3189
4, 1800.00000, 559.235, 0.00414073, 498.203, -1.23698, 507.931, -1.05283
4, 2700.00000, 587.89, 0.630474, 524.057, -0.571373, 534.358, -0.400869
5, 0.00000, 610.469, 0.654209, 543.711, -0.547842, 554.486, -0.38038
5, 900.00000, 673.057, 2.56013, 600.956, 1.63042, 612.299, 1.74472
5, 1800.00000, 723, 3.11932, 642.704, 2.27249, 654.848, 2.37087
5, 2700.00000, 780.371, 3.60167, 690.314, 2.8592, 702.049, 2.91014
6, 0.00000, 832.885, 3.87395, 725.828, 3.15069, 738.373, 3.2035
6, 900.00000, 865.271, 3.61474, 748.199, 2.85133, 761.109, 2.89424
6, 1800.00000, 935.643, 4.80804, 811.251, 4.22372, 825.274, 4.23555
6, 2700.00000, 974.882, 4.95057, 850.629, 4.38998, 863.318, 4.3554
7, 0.00000, 1010.37, 4.90457, 883.198, 4.3232, 896.311, 4.30063
7, 900.00000, 1070.97, 4.9554, 941.42, 4.35892, 955.055, 4.35426
7, 1800.00000, 1112.36, 4.25942, 990.916, 3.58528, 1005.27, 3.58331
7, 2700.00000, 1235.7, 5.26361, 1112.42, 4.7286, 1127.66, 4.69867
8, 0.00000, 1207.18, 5.86013, 1134.73, 5.21258, 1147.06, 5.15211
8, 900.00000, 1209.19, 7.61033, 1181.29, 6.79646, 1189.39, 6.71607
8, 1800.00000, 1169.13, 9.1333, 1188.22, 7.96219, 1193.71, 7.86481
8, 2700.00000, 1086.83, 10.8737, 1157.53, 9.06538, 1160.61, 8.93752
9, 0.00000, 1012.54, 12.5541, 1125.94, 9.99511, 1126.62, 9.85174
9, 900.00000, 914.301, 14.8604, 1076.71, 11.0782, 1074.55, 10.8956
9, 1800.00000, 841.169, 17.2385, 1039.1, 12.1496, 1034.93, 11.9349
9, 2700.00000, 739.895, 20.9374, 969.224, 13.674, 964.934, 13.4278
10, 0.00000, 666.549, 25.175, 919.424, 15.3828, 914.853, 15.0989
10, 900.00000, 604.019, 29.7379, 875.607, 16.9957, 874.634, 16.6111
10, 1800.00000, 550.068, 34.8292, 836.283, 18.5715, 836.173, 18.1054
10, 2700.00000, 506.526, 40.6135, 803.268, 20.2216, 802.165, 19.6911
