hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 424.653, -3.12664, 384.492, -4.44824, 389.903, -4.25602
0, 1800.00000, 430.633, -2.86156, 395.806, -3.50237, 398.852, -3.53716
0, 2700.00000, 440.194, -2.45364, 397.131, -3.63371, 400.374, -3.67263
1, 0.00000, 442.952, -2.53873, 396.365, -3.88233, 402.822, -3.64707
1, 900.00000, 426.453, -4.32647, 383.136, -5.45744, 387.999, -5.36683
1, 1800.00000, 445.623, -2.41397, 396.129, -3.77094, 401.313, -3.69768
1, 2700.00000, 443.984, -2.50635, 393.598, -3.92789, 400.564, -3.68782
2, 0.00000, 444.626, -2.44549, 399.115, -3.35113, 405.593, -3.17255
2, 900.00000, 446.172, -2.40038, 395.067, -3.7956, 401.697, -3.60728
2, 1800.00000, 428.761, -4.33654, 377.002, -6.12649, 384.029, -5.83729
2, 2700.00000, 455.652, -2.13696, 407.281, -3.10802, 414.07, -2.93192
3, 0.00000, 463.828, -1.87668, 410.004, -3.2538, 417.093, -3.07232
3, 900.00000, 469.484, -1.88454, 414.714, -3.29832, 422.59, -3.06123
3, 1800.00000, 478.283, -1.7455, 428.454, -2.65317, 435.89, -2.47906
3, 2700.00000, 472.233, -3.09455, 417.414, -4.62853, 425.472, -4.38598
4, 0.00000, 509.886, -1.11463, 454.731, -2.27585, 463.274, -2.08581
4, 900.00000, 533.705, -0.59094, 479.799, -1.51154, 489.017, -1.31879
4, 1800.00000, 559.344, 0.00457895, 498.229, -1.23693, 507.958, -1.05274
4, 2700.00000, 587.999, 0.630792, 524.083, -0.57136, 534.385, -0.40082
5, 0.00000, 610.579, 0.654526, 543.737, -0.547831, 554.514, -0.380335
5, 900.00000, 673.167, 2.56015, 600.982, 1.63033, 612.327, 1.74466
5, 1800.00000, 723.11, 3.11927, 642.73, 2.27239, 654.876, 2.3708
5, 2700.00000, 780.481, 3.60159, 690.34, 2.85908, 702.077, 2.91004
