Timestamp,Circuit.feeder_idt226-ihs3_1247x__LineLosses
2020-01-01 00:00:00,(9.050838438054509-21.470338904859055j)
2020-01-01 00:15:00,(9.410965256016704-21.03329474507673j)
2020-01-01 00:30:00,(9.606372009585188-20.825874908358287j)
2020-01-01 00:45:00,(9.70970993404596-20.694655985561674j)
2020-01-01 01:00:00,(9.04867432827286-21.526878271176596j)
2020-01-01 01:15:00,(9.759666430637964-20.671133515337356j)
2020-01-01 01:30:00,(9.716562615876287-20.720462518125583j)
2020-01-01 01:45:00,(9.8648215202223-20.530495548854457j)
2020-01-01 02:00:00,(9.782666463395802-20.65990160630951j)
2020-01-01 02:15:00,(9.009558666928456-21.616512166533j)
2020-01-01 02:30:00,(10.27583969962547-20.023776159339032j)
2020-01-01 02:45:00,(10.505833273490197-19.761595525620468j)
2020-01-01 03:00:00,(10.819229123660648-19.35298785674351j)
2020-01-01 03:15:00,(11.41776960786995-18.591313502923477j)
2020-01-01 03:30:00,(11.102705466543785-18.999956942633137j)
2020-01-01 03:45:00,(13.244277652699635-16.271904984516258j)
2020-01-01 04:00:00,(14.906618045826097-14.120140998373442j)
2020-01-01 04:15:00,(16.31109342949144-12.330930294950104j)
2020-01-01 04:30:00,(18.162611973693135-9.901011607364255j)
2020-01-01 04:45:00,(19.843614883280186-7.593586196894157j)
2020-01-01 05:00:00,(23.921521156135995-2.1883575240872095j)
2020-01-01 05:15:00,(27.19249589212903+2.2371996394386153j)
2020-01-01 05:30:00,(31.16335381646778+7.537399568149803j)
2020-01-01 05:45:00,(34.741886132586785+12.260835123784611j)
2020-01-01 06:00:00,(37.18787689402198+15.704693954432475j)
2020-01-01 06:15:00,(43.13148471752128+23.1258866242101j)
2020-01-01 06:30:00,(46.772563680073844+27.533496404608872j)
2020-01-01 06:45:00,(50.246108028111735+31.42465073977188j)
2020-01-01 07:00:00,(56.4406350386104+39.00950728629745j)
2020-01-01 07:15:00,(61.62591151795782+45.333783334852846j)
2020-01-01 07:30:00,(76.57315063596924+63.707121207641855j)
2020-01-01 07:45:00,(78.01066603128025+65.27266980046736j)
2020-01-01 08:00:00,(83.90770231793896+71.93299554449472j)
2020-01-01 08:15:00,(85.39264447230825+72.70443093706733j)
