Timestamp,Circuit.feeder_idt226-ihs3_1247x__Losses
2020-01-01 00:00:00,(35839.92893185296-16828.890651724992j)
2020-01-01 00:15:00,(36226.08226017312-16315.837917488072j)
2020-01-01 00:30:00,(36299.36358435169-16363.964338916194j)
2020-01-01 00:45:00,(36407.19841335771-16198.404439739421j)
2020-01-01 01:00:00,(35804.04868835691-16935.988162631827j)
2020-01-01 01:15:00,(36336.705634914535-16399.401961422922j)
2020-01-01 01:30:00,(36274.371827835996-16466.93335963798j)
2020-01-01 01:45:00,(36459.16924850769-16164.422723524985j)
2020-01-01 02:00:00,(36283.46732069131-16491.85056003969j)
2020-01-01 02:15:00,(35597.91850447175-17293.76321149981j)
2020-01-01 02:30:00,(36954.35472810699-15380.79594311503j)
2020-01-01 02:45:00,(37172.63754023287-15084.148033747933j)
2020-01-01 03:00:00,(37589.57886015454-14401.219190369591j)
2020-01-01 03:15:00,(38333.32992862552-13273.74055245393j)
2020-01-01 03:30:00,(38119.34459366629-13400.268598571014j)
2020-01-01 03:45:00,(40575.878194358345-9726.787882722216j)
2020-01-01 04:00:00,(42660.66915047707-6403.436941149937j)
2020-01-01 04:15:00,(44358.835043082945-3733.0892965190124j)
2020-01-01 04:30:00,(46737.30738046229+171.5725267893464j)
2020-01-01 04:45:00,(49259.19028010612+4730.388283140662j)
2020-01-01 05:00:00,(54081.14811488593+12446.273875592773j)
2020-01-01 05:15:00,(58407.61413859326+19732.187144547737j)
2020-01-01 05:30:00,(63590.054445475726+28474.82254881799j)
2020-01-01 05:45:00,(68190.49821220442+36200.96469393988j)
2020-01-01 06:00:00,(71936.65626554942+43237.686159207966j)
2020-01-01 06:15:00,(78810.52184028558+53023.00928799941j)
2020-01-01 06:30:00,(82580.89841926598+57816.00504990055j)
2020-01-01 06:45:00,(85617.65613770836+60433.901098881055j)
2020-01-01 07:00:00,(92123.37319396611+68895.76684964407j)
2020-01-01 07:15:00,(97028.67391727387+74334.46525050665j)
2020-01-01 07:30:00,(111729.9000471169+92072.43019188863j)
2020-01-01 07:45:00,(112173.184777031+90660.30055277611j)
2020-01-01 08:00:00,(117933.5958457693+96851.11205833577j)
2020-01-01 08:15:00,(119347.48327415145+96897.63822651598j)
2020-01-01 08:30:00,(117301.03153718746+92708.3582110938j)
2020-01-01 08:45:00,(115784.53262005757+89690.16652910593j)
2020-01-01 09:00:00,(113507.65366172581+85660.07622146206j)
2020-01-01 09:15:00,(112936.91109156344+84306.64465883472j)
2020-01-01 09:30:00,(109988.21226023459+80112.2429334869j)
2020-01-01 09:45:00,(109636.9141270649+79489.97526241497j)
2020-01-01 10:00:00,(110291.49605268757+80215.30313863415j)
2020-01-01 10:15:00,(111697.08293740952+81939.0356853541j)
2020-01-01 10:30:00,(114322.96569912777+85204.29668341657j)
2020-01-01 10:45:00,(116331.51219097256+87930.06049104134j)
2020-01-01 11:00:00,(118302.97819962048+90599.4980437372j)
2020-01-01 11:15:00,(120213.2806078945+93282.46640793218j)
2020-01-01 11:30:00,(122225.38455884147+95758.24563457878j)
2020-01-01 11:45:00,(125073.27496117084+98669.3263197947j)
2020-01-01 12:00:00,(127619.87214841261+100839.94522959256j)
2020-01-01 12:15:00,(127679.06121253698+100719.97081877572j)
2020-01-01 12:30:00,(126838.41831567048+99741.76827439912j)
2020-01-01 12:45:00,(125200.94101977699+97768.65711532775j)
2020-01-01 13:00:00,(123437.49064497378+95560.90341531468j)
2020-01-01 13:15:00,(120230.86790828066+91586.37594878j)
2020-01-01 13:30:00,(116849.58252053762+87494.77613527827j)
2020-01-01 13:45:00,(112347.8583478699+81840.93446908031j)
2020-01-01 14:00:00,(107242.72954929866+75513.28262000179j)
2020-01-01 14:15:00,(102400.23797485839+69569.62806251591j)
2020-01-01 14:30:00,(96563.07712358158+62145.86029140854j)
2020-01-01 14:45:00,(91077.54246416093+55127.82300518398j)
2020-01-01 15:00:00,(86743.13622236524+49698.98324894777j)
2020-01-01 15:15:00,(82422.80015733615+44112.89584696606j)
2020-01-01 15:30:00,(79119.18586269472+39955.582208342195j)
2020-01-01 15:45:00,(76868.77845101198+37273.57018205955j)
2020-01-01 16:00:00,(76957.0546211965+37727.55943321095j)
2020-01-01 16:15:00,(79772.31035056603+41891.32592635471j)
2020-01-01 16:30:00,(86270.22454808647+50625.2468094437j)
2020-01-01 16:45:00,(94358.96659715229+61759.173943915805j)
2020-01-01 17:00:00,(98066.90967687948+66642.43262185516j)
2020-01-01 17:15:00,(102636.44172906625+73001.18746007209j)
2020-01-01 17:30:00,(106601.6622767314+78413.27623574574j)
2020-01-01 17:45:00,(106120.94753822958+77716.91834092143j)
2020-01-01 18:00:00,(104446.8117142379+75291.55618500088j)
2020-01-01 18:15:00,(101889.41135807353+71985.41861140954j)
2020-01-01 18:30:00,(102473.82415378903+72541.33816196758j)
2020-01-01 18:45:00,(102812.5946754595+72881.55405478385j)
2020-01-01 19:00:00,(101388.77892010372+70833.69720459712j)
2020-01-01 19:15:00,(100406.55370306142+69308.39409893769j)
2020-01-01 19:30:00,(97213.46281149039+64756.102741664414j)
2020-01-01 19:45:00,(93304.07208492722+59081.393587361585j)
2020-01-01 20:00:00,(89661.12057121986+54006.510424490225j)
2020-01-01 20:15:00,(85095.46045072982+47858.13508759876j)
2020-01-01 20:30:00,(81491.04802425535+42994.32841079141j)
2020-01-01 20:45:00,(75183.72659088516+34658.8176983374j)
2020-01-01 21:00:00,(66478.08145172276+22686.274352116852j)
2020-01-01 21:15:00,(60065.5199954428+14235.05341022222j)
2020-01-01 21:30:00,(52526.508188458545+4539.821328197875j)
2020-01-01 21:45:00,(49386.984754901234+596.6033447214658j)
2020-01-01 22:00:00,(44838.157981795324-5248.761795155284j)
2020-01-01 22:15:00,(41443.29617686057-9571.557072758673j)
2020-01-01 22:30:00,(39311.95446505428-12271.351781825279j)
2020-01-01 22:45:00,(36955.35170434371-15272.254267921178j)
2020-01-01 23:00:00,(37422.28929675665-14634.944553950798j)
2020-01-01 23:15:00,(37040.68126145681-15151.1104308352j)
2020-01-01 23:30:00,(36630.57635702421-15768.582158747908j)
2020-01-01 23:45:00,(36765.05588396006-15577.358692668739j)
