,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:idt143lv-p1ilv240),idt143lv.1.2,p1ilv240.1.2,1P_OH_AL_4/0_Zuzara_2,0.056245,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idt143lv-p1ilv241),idt143lv.1.2,p1ilv241.1.2,1P_OH_AL_4/0_Zuzara_2,0.0699185,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm240-p1ilv242),idm240.1.2,p1ilv242.1.2,1P_OH_AL_4/0_Zuzara_2_1,0.0562041,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idm240-p1ilv243),idm240.1.2,p1ilv243.1.2,1P_OH_AL_4/0_Zuzara_2_2,0.0696833,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:idm240-idt143lv),idt143lv.1.2,idm240.1.2,1P_OH_AL_2/0_Rucina_2_1,0.0172201,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
Line.l(r:idt144lv-p1ilv248),idt144lv.1.2,p1ilv248.1.2,1P_OH_AL_4/0_Zuzara_2,0.0561759,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idt144lv-p1ilv251),idt144lv.1.2,p1ilv251.1.2,1P_OH_AL_4/0_Zuzara_2,0.0695208,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm242-p1ilv246),idm242.1.2,p1ilv246.1.2,1P_OH_AL_4/0_Zuzara_2,0.0561915,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm242-p1ilv247),idm242.1.2,p1ilv247.1.2,1P_OH_AL_4/0_Zuzara_2_3,0.0695136,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,285,600,0.1,20,3,60,True,
Line.l(r:idm242-idt144lv),idt144lv.1.2,idm242.1.2,1P_OH_AL_2/0_Rucina_2_1,0.00511016,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
Line.l(r:idm245-p1ilv250),idm245.1.2,p1ilv250.1.2,1P_OH_AL_4/0_Zuzara_2,0.05615,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm245-idt144lv),idt144lv.1.2,idm245.1.2,1P_OH_AL_2/0_Rucina_2,0.0124202,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idt145lv-p1ilv257),idt145lv.1.2,p1ilv257.1.2,1P_OH_AL_4/0_Zuzara_2,0.0695136,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm247-p1ilv252),idm247.1.2,p1ilv252.1.2,1P_OH_AL_4/0_Zuzara_2_3,0.0560508,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,285,600,0.1,20,3,60,True,
Line.l(r:idm247-p1ilv253),idm247.1.2,p1ilv253.1.2,1P_OH_AL_4/0_Zuzara_2_3,0.0695235,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,285,600,0.1,20,3,60,True,
Line.l(r:idm247-idt145lv),idt145lv.1.2,idm247.1.2,1P_OH_AL_2/0_Rucina_2_2,0.00776,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:idm249-p1ilv256),idm249.1.2,p1ilv256.1.2,1P_OH_AL_4/0_Zuzara_2,0.0560725,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm249-p1ilv258),idm249.1.2,p1ilv258.1.2,1P_OH_AL_4/0_Zuzara_2,0.0560044,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm249-p1ilv259),idm249.1.2,p1ilv259.1.2,1P_OH_AL_4/0_Zuzara_2,0.0696706,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm253-p1ilv260),idm253.1.2,p1ilv260.1.2,1P_OH_AL_4/0_Zuzara_2,0.0560989,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
