,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1ilv240_1,1,p1ilv240.1,0.12,13.2514313114302,0.9999,1,com_kw_14976_pu,,,,wye,0.149340716548759,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,13.2522728032279,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv240_2,1,p1ilv240.2,0.12,13.2514313114302,0.9999,1,com_kw_14976_pu,,,,wye,0.149340716548759,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,13.2522728032279,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv241_1,1,p1ilv241.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv241_2,1,p1ilv241.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv242_1,1,p1ilv242.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv242_2,1,p1ilv242.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv243_1,1,p1ilv243.1,0.12,2.03802501442254,0.9612,1,com_kw_15124_pu,,,,wye,0.584776499121945,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,2.12026166152607,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv243_2,1,p1ilv243.2,0.12,2.03802501442254,0.9612,1,com_kw_15124_pu,,,,wye,0.584776499121945,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,2.12026166152607,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv244_1,1,p1ilv242.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv244_2,1,p1ilv242.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv245_1,1,p1ilv243.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv245_2,1,p1ilv243.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv246_1,1,p1ilv246.1,0.12,13.2514313114302,0.9999,1,com_kw_14976_pu,,,,wye,0.149340716548759,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,13.2522728032279,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv246_2,1,p1ilv246.2,0.12,13.2514313114302,0.9999,1,com_kw_14976_pu,,,,wye,0.149340716548759,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,13.2522728032279,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv247_1,1,p1ilv247.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv247_2,1,p1ilv247.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv248_1,1,p1ilv248.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv248_2,1,p1ilv248.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv249_1,1,p1ilv247.1,0.12,2.03802501442254,0.9612,1,com_kw_15124_pu,,,,wye,0.584776499121945,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,2.12026166152607,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv249_2,1,p1ilv247.2,0.12,2.03802501442254,0.9612,1,com_kw_15124_pu,,,,wye,0.584776499121945,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,2.12026166152607,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv250_1,1,p1ilv250.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv250_2,1,p1ilv250.2,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv251_1,1,p1ilv251.1,0.12,1.8914832317681,0.9705,1,com_kw_13018_pu,,,,wye,0.470128842980283,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.94903307951965,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
