,phases,bus1,kv,irradiance,Pmpp,%Pmpp,Temperature,pf,conn,kvar,kVA,%Cutin,%Cutout,EffCurve,P-TCurve,%R,%X,model,Vminpu,Vmaxpu,Balanced,LimitCurrent,yearly,daily,duty,Tyearly,Tdaily,Tduty,class,UserModel,UserData,debugtrace,VarFollowInverter,DutyStart,WattPriority,PFPriority,%PminNoVars,%PminkvarMax,kvarMax,kvarMaxAbs,spectrum,basefreq,enabled,like
PVSystem.pv_load_p1ilv253,1,p1ilv253.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p1ilv2592,3,p1ilv2592.1.2.3,0.48,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p1ilv250,1,p1ilv250.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p1ilv246,1,p1ilv246.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p1ilv1826,3,p1ilv1826.1.2.3,0.48,1,300,100,25,1,wye,0,272.727,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,272.727,272.727,,60,True,
PVSystem.pv_load_p1ilv255,1,p1ilv253.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p1ilv242,1,p1ilv242.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p1ilv2917,3,p1ilv2917.1.2.3,0.48,1,300,100,25,-0.95,wye,0,287.081,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,287.081,287.081,,60,True,
PVSystem.pv_load_p1ilv2804,3,p1ilv2804.1.2.3,0.48,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p1ilv247,1,p1ilv247.1.2,0.24,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p1ilv3015,3,p1ilv3015.1.2.3,0.48,1,300,100,25,-0.95,wye,0,287.081,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,287.081,287.081,,60,True,
PVSystem.pv_load_p1ilv251,1,p1ilv251.1.2,0.24,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0239_-80.0003_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p1ilv2081,3,p1ilv2081.1.2.3,0.48,1,300,100,25,-0.95,wye,0,287.081,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,287.081,287.081,,60,True,
PVSystem.pv_load_p1ilv2223,3,p1ilv2223.1.2.3,0.48,1,300,100,25,-0.95,wye,0,287.081,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,287.081,287.081,,60,True,
PVSystem.pv_load_p1ilv1766,3,p1ilv1766.1.2.3,0.48,1,300,100,25,-0.95,wye,0,287.081,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,287.081,287.081,,60,True,
PVSystem.pv_load_p1imv40,3,p1imv40.1.2.3,12.47,1,300,100,25,-0.95,wye,0,287.081,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,287.081,287.081,,60,True,
PVSystem.pv_load_p1ilv530,3,p1ilv530.1.2.3,0.48,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,GSO_36.0608_-80.0003_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
