,Transformer,HighSideConnection,NumPhases
0,Transformer.tr(r:idt143-idt143lv),wye,1
1,Transformer.tr(r:idt144-idt144lv),wye,1
2,Transformer.tr(r:idt145-idt145lv),wye,1
3,Transformer.tr(r:idt198-idt198lv),wye,3
4,Transformer.tr(r:idt202-idt202lv),wye,1
5,Transformer.tr(r:idt203-idt203lv),wye,1
6,Transformer.tr(r:idt226-idt226lv),wye,3
7,Transformer.tr(r:idt228-idt228lv),wye,1
8,Transformer.tr(r:idt778-idt778lv),wye,3
9,Transformer.tr(r:idt851-idt851lv),wye,3
10,Transformer.tr(r:idt891-idt891lv),wye,1
11,Transformer.tr(r:idt897-idt897lv),wye,3
12,Transformer.tr(r:idt965-idt965lv),wye,3
13,Transformer.tr(r:idt1087-idt1087lv),wye,3
14,Transformer.tr(r:idt1112-idt1112lv),wye,3
15,Transformer.tr(r:idt1124-idt1124lv),wye,3
16,Transformer.tr(r:idt1179-idt1179lv),wye,3
17,Transformer.tr(r:idt1397-idt1397lv),wye,3
18,Transformer.tr(r:idt1408-idt1408lv),wye,3
19,Transformer.tr(r:idt1447-idt1447lv),wye,3
20,Transformer.tr(r:idt1471-idt1471lv),wye,3
21,Transformer.tr(r:idt1493-idt1493lv),wye,3
22,Transformer.tr(r:idt1577-idt1577lv),wye,3
23,Transformer.tr(r:idt1583-idt1583lv),wye,1
24,Transformer.tr(r:idt1598-idt1598lv),wye,3
25,Transformer.tr(r:idt1615-idt1615lv),wye,3
26,Transformer.tr(r:idt1636-idt1636lv),wye,3
27,Transformer.tr(r:idt1649-idt1649lv),wye,3
28,Transformer.tr(r:idt1655-idt1655lv),wye,3
