hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 772.783, 10.331, 785.613, 10.3065, 790.759, 9.22996
0, 1800.00000, 836.555, 11.6988, 838.738, 11.5695, 856.706, 10.7294
0, 2700.00000, 839.182, 11.5442, 836.308, 11.5977, 873.224, 10.9503
1, 0.00000, 805.178, 10.7629, 804.351, 10.9933, 821.859, 9.75106
1, 900.00000, 774.86, 11.1611, 757.19, 11.4233, 777.851, 10.3244
1, 1800.00000, 776.761, 10.9731, 758.803, 11.27, 787.133, 10.3665
1, 2700.00000, 772.505, 10.6354, 755.207, 10.8417, 778.16, 9.68405
2, 0.00000, 795.367, 10.6994, 779.84, 10.8453, 808.32, 9.81037
2, 900.00000, 806.011, 10.2755, 801.937, 10.3953, 835.042, 9.64357
2, 1800.00000, 835.576, 9.91888, 833.081, 10.0751, 848.976, 8.84489
2, 2700.00000, 888.879, 9.97592, 884.422, 10.1429, 910.23, 9.19364
3, 0.00000, 939.349, 9.94211, 933.435, 10.1198, 967.428, 9.37605
3, 900.00000, 960.539, 9.80428, 951.604, 10.0959, 958.283, 8.87109
3, 1800.00000, 1009.21, 9.97396, 989.02, 10.1567, 1003.42, 9.21455
3, 2700.00000, 1052.44, 10.0546, 1030.89, 10.1547, 1055.86, 9.5586
4, 0.00000, 1078.15, 9.84561, 1048.61, 9.8352, 1073.28, 9.13278
4, 900.00000, 1115.3, 9.73725, 1085.42, 9.73995, 1115.29, 9.05507
4, 1800.00000, 1173.89, 10.1124, 1135.64, 9.89559, 1175.69, 9.37495
4, 2700.00000, 1217.75, 9.95308, 1183.3, 9.80431, 1245.09, 9.36135
5, 0.00000, 1252.68, 9.66744, 1221.06, 9.60766, 1258.74, 8.96748
5, 900.00000, 1333.21, 9.88825, 1303.67, 9.82718, 1338.09, 9.18415
5, 1800.00000, 1401.26, 9.80722, 1363.89, 9.73723, 1409.38, 9.21656
5, 2700.00000, 1478.14, 9.71874, 1436.13, 9.60731, 1496.03, 9.26694
6, 0.00000, 1565.6, 9.83754, 1535.81, 9.77368, 1586.47, 9.40898
6, 900.00000, 1689.12, 10.1503, 1667.27, 10.2907, 1721.33, 9.80077
6, 1800.00000, 1765.43, 10.5174, 1736.63, 10.6133, 1798.75, 10.0801
6, 2700.00000, 1806.04, 10.5268, 1788.85, 10.5479, 1845.66, 10.0634
7, 0.00000, 1838.32, 10.5208, 1828.69, 10.5142, 1889.16, 10.1384
7, 900.00000, 1863.82, 10.849, 1842.28, 10.7679, 1900.26, 10.5154
7, 1800.00000, 1819.57, 10.7344, 1797.02, 10.5477, 1852.22, 10.1955
7, 2700.00000, 1809.87, 10.9107, 1809.59, 10.9901, 1878.4, 10.6095
8, 0.00000, 1767.95, 10.966, 1773.96, 11.2176, 1823.53, 10.6738
8, 900.00000, 1752.23, 11.2543, 1731.93, 11.2538, 1797.46, 10.7236
8, 1800.00000, 1739.85, 11.2845, 1716.65, 11.3616, 1780.92, 10.9165
8, 2700.00000, 1690.58, 11.6848, 1668.83, 11.6741, 1716.98, 11.198
9, 0.00000, 1647.67, 11.7505, 1600.32, 11.5778, 1667.45, 11.1667
9, 900.00000, 1614.33, 12.4565, 1572.73, 12.1783, 1655.2, 11.8605
9, 1800.00000, 1574.8, 12.4191, 1538.8, 12.3194, 1622.6, 11.9453
9, 2700.00000, 1508.13, 12.1118, 1468.94, 11.9925, 1550.24, 11.6161
10, 0.00000, 1488.65, 12.36, 1452.5, 12.1136, 1522.97, 11.8135
10, 900.00000, 1555.79, 12.2439, 1547.22, 11.7645, 1618.52, 11.5889
10, 1800.00000, 1555.48, 12.3047, 1570.53, 11.9326, 1624.18, 11.6098
10, 2700.00000, 1521.95, 12.5874, 1530.52, 12.1533, 1579.52, 11.8609
11, 0.00000, 1526.72, 12.7557, 1524.99, 12.3266, 1559.99, 12.1272
11, 900.00000, 1514.17, 12.8209, 1492.39, 12.4925, 1535.56, 12.202
11, 1800.00000, 1509.13, 12.7748, 1485.61, 12.5664, 1525.1, 12.2727
11, 2700.00000, 1427.98, 12.3671, 1421.59, 12.2441, 1442.4, 11.8631
12, 0.00000, 1431.12, 12.6903, 1431.38, 12.4132, 1447.46, 12.1363
12, 900.00000, 1448.24, 12.8295, 1446.44, 12.3695, 1477.92, 12.1216
12, 1800.00000, 1416.26, 12.6854, 1429.01, 12.2901, 1459.43, 12.0594
12, 2700.00000, 1373.39, 12.5474, 1389.1, 12.0698, 1415.02, 11.8857
13, 0.00000, 1356.73, 12.5109, 1377.17, 12.1207, 1400.03, 12.0789
13, 900.00000, 1336.14, 12.3612, 1333.92, 12.0206, 1363.13, 11.8455
13, 1800.00000, 1339.56, 12.6618, 1341.41, 12.246, 1364.45, 12.1599
13, 2700.00000, 1316.34, 12.7527, 1316.14, 12.3804, 1332.96, 12.2543
14, 0.00000, 1307.29, 13.0135, 1304.64, 12.6748, 1324.32, 12.4492
14, 900.00000, 1259.23, 12.4579, 1254.97, 12.1463, 1262.51, 11.8627
14, 1800.00000, 1261.1, 12.3317, 1242.91, 11.9582, 1246.76, 11.7293
14, 2700.00000, 1276.81, 12.6718, 1252.87, 12.2327, 1264.22, 12.1134
15, 0.00000, 1274.02, 12.8975, 1253.69, 12.5668, 1254.56, 12.3395
15, 900.00000, 1279.28, 12.6355, 1258.75, 12.4351, 1257.19, 12.1882
15, 1800.00000, 1275.68, 12.8514, 1241.75, 12.5422, 1262.27, 12.4526
15, 2700.00000, 1293.42, 13.0942, 1262.19, 12.834, 1289.54, 12.7359
16, 0.00000, 1331.84, 13.2987, 1301.81, 13.2064, 1321.19, 13.0238
16, 900.00000, 1344.98, 13.4726, 1326.24, 13.4094, 1336.36, 13.1658
16, 1800.00000, 1362.03, 13.3288, 1332.28, 13.1718, 1347.23, 12.9661
16, 2700.00000, 1393.59, 13.0912, 1367.48, 12.9306, 1373.31, 12.6902
17, 0.00000, 1402.49, 12.8198, 1393.96, 12.8644, 1414.29, 12.7238
17, 900.00000, 1466.2, 12.5627, 1460.59, 12.6563, 1478.29, 12.552
17, 1800.00000, 1535.41, 12.8682, 1528.42, 12.7012, 1534.75, 12.5539
17, 2700.00000, 1575.99, 13.0993, 1569.73, 12.9095, 1576.55, 12.7126
18, 0.00000, 1572.4, 12.9115, 1561.98, 12.8524, 1579.25, 12.5959
18, 900.00000, 1652.77, 12.5159, 1618.81, 12.3999, 1646.34, 12.272
18, 1800.00000, 1640.07, 12.4954, 1590.17, 12.2049, 1632.32, 12.179
