Timestamp,Circuit.feeder_rdt137-rhs1_1247x__Losses
2020-01-01 00:00:00,(128627.7955467576-139997.08728754465j)
2020-01-01 00:15:00,(132157.14038543482-133907.91280429746j)
2020-01-01 00:30:00,(132314.49421102708-133239.3092538565j)
2020-01-01 00:45:00,(129880.50998326416-137178.52208561386j)
2020-01-01 01:00:00,(127060.1710121463-140027.40182734997j)
2020-01-01 01:15:00,(127271.63367107583-139596.24526254312j)
2020-01-01 01:30:00,(126949.01641080005-140287.11973279034j)
2020-01-01 01:45:00,(129072.915593227-136316.62618261628j)
2020-01-01 02:00:00,(130728.9047058971-133322.0492127606j)
2020-01-01 02:15:00,(132556.4293865363-130179.16244588455j)
2020-01-01 02:30:00,(137267.2003509485-121478.07756082396j)
2020-01-01 02:45:00,(141513.16016204897-114095.28491682772j)
2020-01-01 03:00:00,(141975.93931605382-113180.33285386856j)
2020-01-01 03:15:00,(146005.2163932216-106180.19355497495j)
2020-01-01 03:30:00,(149945.2114877096-99689.02902593046j)
2020-01-01 03:45:00,(151748.49344213578-97073.17534368644j)
2020-01-01 04:00:00,(156431.37520946105-89406.61690105745j)
2020-01-01 04:15:00,(162133.18991509837-80013.88218342948j)
2020-01-01 04:30:00,(167614.7740825717-71554.50998613237j)
2020-01-01 04:45:00,(171713.4861928834-64903.433247186724j)
2020-01-01 05:00:00,(180391.03430062364-50649.66265486571j)
2020-01-01 05:15:00,(188423.4283834145-37855.243840711024j)
2020-01-01 05:30:00,(198664.5912489487-21895.370289989645j)
2020-01-01 05:45:00,(210542.2052901863-4343.171284583859j)
2020-01-01 06:00:00,(226655.1678576759+20526.003207488327j)
2020-01-01 06:15:00,(236662.13274085196+35498.63924937211j)
2020-01-01 06:30:00,(243152.23262390477+45497.04414108212j)
2020-01-01 06:45:00,(248312.00360629088+53636.5292987506j)
2020-01-01 07:00:00,(249046.57719416427+54924.028910806315j)
2020-01-01 07:15:00,(242798.2244329589+45254.36137638243j)
2020-01-01 07:30:00,(243077.91523056207+45597.525372987104j)
2020-01-01 07:45:00,(235935.0310234655+34780.215797121884j)
2020-01-01 08:00:00,(232176.34743398678+29385.041707051736j)
2020-01-01 08:15:00,(229813.2256211928+25340.006326209677j)
2020-01-01 08:30:00,(220912.34549698138+12401.199753932426j)
2020-01-01 08:45:00,(213738.379249354+1285.2004755161252j)
2020-01-01 09:00:00,(209280.0798949864-5406.870470396807j)
2020-01-01 09:15:00,(204363.3143665561-13055.535470473147j)
2020-01-01 09:30:00,(196505.10382480233-25094.18656621378j)
2020-01-01 09:45:00,(193217.19326464957-30126.22520340744j)
2020-01-01 10:00:00,(201860.5017891462-19259.536112022157j)
2020-01-01 10:15:00,(202591.99325090306-18788.801243577433j)
2020-01-01 10:30:00,(197292.43264853576-26452.443107867774j)
2020-01-01 10:45:00,(195975.32081698443-28773.324787374062j)
2020-01-01 11:00:00,(192845.0933210973-32761.52912145784j)
2020-01-01 11:15:00,(191084.70715220232-35279.51648066778j)
2020-01-01 11:30:00,(183050.8006627183-47557.498088734006j)
2020-01-01 11:45:00,(182872.04308983273-47895.13333259585j)
2020-01-01 12:00:00,(185113.4743014178-45138.76988108414j)
2020-01-01 12:15:00,(182558.3776120497-49100.99466524887j)
2020-01-01 12:30:00,(178483.61487477846-55360.01286483858j)
2020-01-01 12:45:00,(176889.5628432645-57652.495963127294j)
2020-01-01 13:00:00,(173888.59181138608-62723.09874428889j)
2020-01-01 13:15:00,(173923.4568093106-62869.540832436134j)
2020-01-01 13:30:00,(171224.22781476338-66499.1235089442j)
2020-01-01 13:45:00,(169973.6656535782-68301.0550590298j)
2020-01-01 14:00:00,(165251.95954787298-75580.60093283764j)
