Timestamp,Circuit.feeder_rdt137-rhs1_1247x__TotalPower
2020-01-01 00:00:00,(-2314.396586373033-405.1469005896446j)
2020-01-01 00:15:00,(-2483.0216283911936-496.41658106343823j)
2020-01-01 00:30:00,(-2499.3575218561473-501.0758115677553j)
2020-01-01 00:45:00,(-2391.3078692403437-442.1180447019063j)
2020-01-01 01:00:00,(-2268.3069105176955-438.4835656877952j)
2020-01-01 01:15:00,(-2281.615253173586-436.9166352702472j)
2020-01-01 01:30:00,(-2268.6605384244695-414.6667275474657j)
2020-01-01 01:45:00,(-2344.4419196939525-431.2153339090758j)
2020-01-01 02:00:00,(-2405.621734260643-427.4511912923609j)
2020-01-01 02:15:00,(-2482.7140848894496-419.2922947834775j)
2020-01-01 02:30:00,(-2644.578112877314-454.6011941356501j)
2020-01-01 02:45:00,(-2798.7301718595263-483.2511720309818j)
2020-01-01 03:00:00,(-2830.4453919631887-477.6688514622743j)
2020-01-01 03:15:00,(-2957.984065778613-509.29438616145296j)
2020-01-01 03:30:00,(-3092.2851754136655-540.2531847238084j)
2020-01-01 03:45:00,(-3155.3145931917215-533.3068409277538j)
2020-01-01 04:00:00,(-3270.3833018922655-547.1636224963834j)
2020-01-01 04:15:00,(-3434.295008442193-592.1316668503556j)
2020-01-01 04:30:00,(-3593.892868230136-613.8630888019394j)
2020-01-01 04:45:00,(-3681.870078003616-610.2678665958883j)
2020-01-01 05:00:00,(-3918.4040632577726-664.8396441546338j)
2020-01-01 05:15:00,(-4115.768122614682-694.9389656354604j)
2020-01-01 05:30:00,(-4348.83327899619-729.9124069848777j)
2020-01-01 05:45:00,(-4622.519289818701-787.8557325080661j)
2020-01-01 06:00:00,(-4998.036900017967-888.1823230765305j)
2020-01-01 06:15:00,(-5212.864757838262-956.6975504815607j)
2020-01-01 06:30:00,(-5351.021168464574-979.7748560291162j)
2020-01-01 06:45:00,(-5464.659256742328-1001.7837036768055j)
2020-01-01 07:00:00,(-5508.519532624275-1041.7425842786317j)
2020-01-01 07:15:00,(-5377.845881642214-995.8636664500943j)
2020-01-01 07:30:00,(-5399.722662055142-1033.337776592501j)
2020-01-01 07:45:00,(-5268.195924439296-1019.2901311418035j)
2020-01-01 08:00:00,(-5183.404163032821-1014.4607633306233j)
2020-01-01 08:15:00,(-5138.053068644038-1015.9318807659083j)
2020-01-01 08:30:00,(-4974.690941957227-1013.6281789887149j)
2020-01-01 08:45:00,(-4817.264440131235-979.7674923758827j)
2020-01-01 09:00:00,(-4733.684884781336-1020.1989491445552j)
2020-01-01 09:15:00,(-4629.106205349022-1002.9046164747127j)
2020-01-01 09:30:00,(-4430.469014743142-933.9045455919702j)
2020-01-01 09:45:00,(-4365.189742381826-935.2763812991141j)
2020-01-01 10:00:00,(-4620.643539579459-970.5435152146483j)
2020-01-01 10:15:00,(-4647.241784976362-983.0439690585416j)
2020-01-01 10:30:00,(-4527.655988496227-978.5923792446306j)
2020-01-01 10:45:00,(-4504.088957060682-990.3709991118005j)
2020-01-01 11:00:00,(-4434.451743786221-983.3889547661184j)
