,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p1rlv2-rdm1),rdm1.1.2,p1rlv2.1.2,1P_UG_AL_1/0_Brenau_2,0.0183837,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p1rlv1-rdm0),rdm0.1.2,p1rlv1.1.2,1P_UG_AL_1/0_Brenau_2,0.0175868,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:rdm0-rdm1),rdm1.1.2,rdm0.1.2,1P_UG_AL_1/0_Brenau_2,0.0363066,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:rdm1-rdt0lv),rdt0lv.1.2,rdm1.1.2,1P_UG_AL_1/0_Brenau_2,0.00899647,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p1rlv3-rdm2),rdm2.1.2,p1rlv3.1.2,1P_UG_AL_1/0_Brenau_2,0.0221948,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:rdm2-rdt0lv),rdt0lv.1.2,rdm2.1.2,1P_UG_AL_1/0_Brenau_2,0.0377451,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p1rlv4-rdt1lv),rdt1lv.1.2,p1rlv4.1.2,1P_UG_AL_1/0_Brenau_2,0.0181667,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p1rlv5-rdm4),rdm4.1.2,p1rlv5.1.2,1P_UG_AL_1/0_Brenau_2,0.0215974,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:rdm4-rdt2lv),rdt2lv.1.2,rdm4.1.2,1P_UG_AL_1/0_Brenau_2,0.0191629,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p1rlv6-rdm5),rdm5.1.2,p1rlv6.1.2,1P_UG_AL_1/0_Brenau_2,0.0150147,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:rdm5-rdt2lv),rdt2lv.1.2,rdm5.1.2,1P_UG_AL_1/0_Brenau_2,0.0191669,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
