,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1rlv1_1,1,p1rlv1.1,0.12,4.65866350298929,0.9611,1,res_kw_182_pu,,,,wye,1.33883894348954,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.84722965730824,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1_2,1,p1rlv1.2,0.12,4.65866350298929,0.9611,1,res_kw_182_pu,,,,wye,1.33883894348954,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.84722965730824,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv2_1,1,p1rlv2.1,0.12,5.43672957952679,0.9746,1,res_kw_454_pu,,,,wye,1.24884709648996,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.57831942356414,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv2_2,1,p1rlv2.2,0.12,5.43672957952679,0.9746,1,res_kw_454_pu,,,,wye,1.24884709648996,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.57831942356414,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv3_1,1,p1rlv3.1,0.12,1.07594874218897,0.9087,1,res_kw_366_pu,,,,wye,0.494283017694212,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.18405295379849,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv3_2,1,p1rlv3.2,0.12,1.07594874218897,0.9087,1,res_kw_366_pu,,,,wye,0.494283017694212,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.18405295379849,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv4_1,1,p1rlv4.1,0.12,3.36419092077121,0.964,1,res_kw_523_pu,,,,wye,0.928426624446149,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.48995079454996,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv4_2,1,p1rlv4.2,0.12,3.36419092077121,0.964,1,res_kw_523_pu,,,,wye,0.928426624446149,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.48995079454996,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv5_1,1,p1rlv5.1,0.12,4.21469314124494,0.9826,1,res_kw_1249_pu,,,,wye,0.795749496240885,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.289155573726,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv5_2,1,p1rlv5.2,0.12,4.21469314124494,0.9826,1,res_kw_1249_pu,,,,wye,0.795749496240885,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.289155573726,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv6_1,1,p1rlv6.1,0.12,1.37413530321478,0.9207,1,res_kw_1041_pu,,,,wye,0.58237922359024,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.49245214047578,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
