,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:rdt0-rdt0lv),1,3,3,rdt0lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt0.2', 'rdt0lv.1.0', 'rdt0lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.5208486, (-149.04), 15.19056, (30.059), 15.18596, (30.091), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1-rdt1lv),1,3,3,rdt1lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1.2', 'rdt1lv.1.0', 'rdt1lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1380298, (-147.69), 3.887212, (30.383), 3.886721, (30.393), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt2-rdt2lv),1,3,3,rdt2lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt2.1', 'rdt2lv.1.0', 'rdt2lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.2220308, (-28.274), 6.407925, (150.53), 6.406755, (150.54), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt3-rdt3lv),1,3,3,rdt3lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt3.2', 'rdt3lv.1.0', 'rdt3lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1340375, (-146.87), 3.765537, (31.192), 3.765079, (31.202), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt4-rdt4lv),1,3,3,rdt4lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt4.3', 'rdt4lv.1.0', 'rdt4lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1497459, (93.087), 4.236326, (-88.627), 4.235768, (-88.616), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt5-rdt5lv),1,3,3,rdt5lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt5.2', 'rdt5lv.1.0', 'rdt5lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1660101, (-147.37), 4.725609, (31.062), 4.724929, (31.074), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt6-rdt6lv),1,3,3,rdt6lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt6.3', 'rdt6lv.1.0', 'rdt6lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3285362, (92.955), 9.600442, (-87.813), 9.598161, (-87.79), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt7-rdt7lv),1,3,3,rdt7lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt7.1', 'rdt7lv.1.0', 'rdt7lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.315681, (-28.961), 9.219374, (150.18), 9.217118, (150.2), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt8-rdt8lv),1,3,3,rdt8lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt8.3', 'rdt8lv.1.0', 'rdt8lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3269268, (91.859), 9.554734, (-88.941), 9.552389, (-88.919), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt9-rdt9lv),1,3,3,rdt9lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt9.1', 'rdt9lv.1.0', 'rdt9lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3561491, (-18.411), 10.21029, (160.72), 10.20878, (160.75), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt10-rdt10lv),1,3,3,rdt10lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt10.3', 'rdt10lv.1.0', 'rdt10lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.647099, (110.61), 48.92861, (-69.524), 48.91221, (-69.416), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt11-rdt11lv),1,3,3,rdt11lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt11.1', 'rdt11lv.1.0', 'rdt11lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3830611, (-29.873), 11.05957, (148.85), 11.05704, (148.88), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
