,Transformer,HighSideConnection,NumPhases
0,Transformer.tr(r:rdt0-rdt0lv),wye,1
1,Transformer.tr(r:rdt1-rdt1lv),wye,1
2,Transformer.tr(r:rdt2-rdt2lv),wye,1
3,Transformer.tr(r:rdt3-rdt3lv),wye,1
4,Transformer.tr(r:rdt4-rdt4lv),wye,1
5,Transformer.tr(r:rdt5-rdt5lv),wye,1
6,Transformer.tr(r:rdt6-rdt6lv),wye,1
7,Transformer.tr(r:rdt7-rdt7lv),wye,1
8,Transformer.tr(r:rdt8-rdt8lv),wye,1
9,Transformer.tr(r:rdt9-rdt9lv),wye,1
10,Transformer.tr(r:rdt10-rdt10lv),wye,1
11,Transformer.tr(r:rdt11-rdt11lv),wye,1
12,Transformer.tr(r:rdt12-rdt12lv),wye,1
13,Transformer.tr(r:rdt13-rdt13lv),wye,1
14,Transformer.tr(r:rdt14-rdt14lv),wye,1
15,Transformer.tr(r:rdt15-rdt15lv),wye,1
16,Transformer.tr(r:rdt16-rdt16lv),wye,1
17,Transformer.tr(r:rdt17-rdt17lv),wye,1
18,Transformer.tr(r:rdt18-rdt18lv),wye,1
19,Transformer.tr(r:rdt19-rdt19lv),wye,1
20,Transformer.tr(r:rdt20-rdt20lv),wye,1
21,Transformer.tr(r:rdt21-rdt21lv),wye,1
22,Transformer.tr(r:rdt22-rdt22lv),wye,1
23,Transformer.tr(r:rdt23-rdt23lv),wye,1
24,Transformer.tr(r:rdt24-rdt24lv),wye,1
25,Transformer.tr(r:rdt25-rdt25lv),wye,1
26,Transformer.tr(r:rdt26-rdt26lv),wye,1
27,Transformer.tr(r:rdt27-rdt27lv),wye,1
28,Transformer.tr(r:rdt28-rdt28lv),wye,1
29,Transformer.tr(r:rdt29-rdt29lv),wye,1
30,Transformer.tr(r:rdt30-rdt30lv),wye,1
31,Transformer.tr(r:rdt31-rdt31lv),wye,1
32,Transformer.tr(r:rdt32-rdt32lv),wye,1
33,Transformer.tr(r:rdt33-rdt33lv),wye,1
34,Transformer.tr(r:rdt34-rdt34lv),wye,1
35,Transformer.tr(r:rdt35-rdt35lv),wye,1
36,Transformer.tr(r:rdt36-rdt36lv),wye,1
37,Transformer.tr(r:rdt37-rdt37lv),wye,1
38,Transformer.tr(r:rdt38-rdt38lv),wye,1
39,Transformer.tr(r:rdt39-rdt39lv),wye,1
40,Transformer.tr(r:rdt40-rdt40lv),wye,1
41,Transformer.tr(r:rdt41-rdt41lv),wye,1
42,Transformer.tr(r:rdt42-rdt42lv),wye,1
43,Transformer.tr(r:rdt43-rdt43lv),wye,1
44,Transformer.tr(r:rdt44-rdt44lv),wye,1
45,Transformer.tr(r:rdt45-rdt45lv),wye,1
46,Transformer.tr(r:rdt46-rdt46lv),wye,1
47,Transformer.tr(r:rdt47-rdt47lv),wye,1
48,Transformer.tr(r:rdt48-rdt48lv),wye,1
49,Transformer.tr(r:rdt49-rdt49lv),wye,1
50,Transformer.tr(r:rdt50-rdt50lv),wye,1
51,Transformer.tr(r:rdt51-rdt51lv),wye,1
52,Transformer.tr(r:rdt52-rdt52lv),wye,1
