Hour=0, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.00625.
Hour=2, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.0125.
Hour=5, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=6, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=24, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=30, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=31, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.03125.
Hour=45, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.025.
Hour=47, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=54, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=71, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=78, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=90, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.03125.
Hour=94, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.025.
Hour=97, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=101, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=102, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.03125.
Hour=118, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.025.
Hour=122, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=127, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=144, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
