hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 689.03, 14.3047, 662.145, 14.5073, 728.281, 13.8434
0, 1800.00000, 738.367, 15.3705, 707.197, 15.207, 754.255, 14.7325
0, 2700.00000, 736.521, 15.4245, 712.625, 15.4557, 747.294, 14.819
1, 0.00000, 690.057, 14.8799, 675.202, 15.1156, 708.798, 14.6221
1, 900.00000, 602.802, 15.8632, 604.474, 16.1185, 599.563, 15.884
1, 1800.00000, 598.755, 15.9203, 605.961, 16.1355, 605.199, 15.5644
1, 2700.00000, 601.02, 15.8701, 598.611, 16.0272, 606.343, 15.6849
2, 0.00000, 594.449, 15.6151, 588.91, 15.7025, 593.83, 15.4649
2, 900.00000, 593.944, 15.5701, 606.449, 15.7715, 586.447, 15.4862
2, 1800.00000, 594.404, 15.5426, 606.816, 15.6512, 583.326, 15.7629
2, 2700.00000, 594.534, 15.2515, 607.288, 15.4534, 584.977, 15.5116
3, 0.00000, 614.394, 15.3142, 621.968, 15.3027, 600.673, 15.2585
3, 900.00000, 621.2, 15.5483, 616.55, 15.5555, 607.068, 15.4799
3, 1800.00000, 622.492, 15.4267, 632.157, 15.6525, 615.918, 15.4661
3, 2700.00000, 639.721, 15.5682, 660.198, 15.8677, 635.411, 15.5639
4, 0.00000, 636.161, 15.3817, 642.43, 15.4179, 628.853, 15.3782
4, 900.00000, 640.705, 15.2313, 636.021, 15.1124, 631.409, 15.0652
4, 1800.00000, 666.917, 15.4724, 657.642, 15.4697, 648.784, 15.2972
4, 2700.00000, 694.004, 15.3551, 680.286, 15.3848, 690.795, 15.1392
5, 0.00000, 696.269, 15.1623, 680.57, 15.0154, 686.69, 14.9651
5, 900.00000, 766.17, 15.5022, 730.717, 15.3241, 735.937, 15.2166
5, 1800.00000, 759.248, 14.8807, 719.409, 14.6345, 736.57, 14.7715
5, 2700.00000, 775.243, 14.5738, 749.877, 14.491, 765.999, 14.5789
6, 0.00000, 834.049, 14.9113, 811.846, 14.8113, 826.138, 14.8592
6, 900.00000, 926.394, 15.1817, 913.548, 15.3475, 904.004, 15.0858
6, 1800.00000, 984.248, 15.6842, 973.225, 15.9468, 953.677, 15.6224
6, 2700.00000, 1037.92, 15.7298, 1005.58, 15.7335, 996.057, 15.5168
7, 0.00000, 1069.3, 15.4088, 1029.76, 14.9565, 1017.4, 14.9492
7, 900.00000, 1091.73, 15.5576, 1079.16, 15.5626, 1071.76, 15.3397
7, 1800.00000, 1060.68, 15.1236, 1021.96, 15.3788, 1026.36, 14.9792
7, 2700.00000, 1095.49, 15.8927, 1040.08, 15.9045, 1037.7, 15.5776
8, 0.00000, 1026.4, 16.7259, 977.969, 17.1051, 989.516, 16.417
8, 900.00000, 963.902, 18.0099, 936.469, 18.6169, 948.654, 17.835
8, 1800.00000, 967.726, 18.5035, 924.718, 19.5796, 963.837, 18.433
8, 2700.00000, 944.804, 19.6626, 885.049, 21.0467, 944.577, 19.5742
9, 0.00000, 865.091, 20.5173, 826.986, 21.7231, 877.88, 20.1517
9, 900.00000, 850.739, 22.647, 843.499, 23.8176, 841.695, 22.5277
