hour,t(sec),"S1 (kVA)",Ang1,"S2 (kVA)",Ang2,"S3 (kVA)",Ang3
0, 900.00000, 690.663, 14.2757, 663.694, 14.4781, 729.515, 13.8232
0, 1800.00000, 739.998, 15.3413, 708.744, 15.1784, 755.486, 14.7116
0, 2700.00000, 738.151, 15.3951, 714.17, 15.4268, 748.524, 14.7977
1, 0.00000, 691.688, 14.8496, 676.747, 15.0856, 710.027, 14.5999
1, 900.00000, 604.419, 15.8252, 606.005, 16.0819, 600.778, 15.8546
1, 1800.00000, 600.37, 15.8818, 607.491, 16.0989, 606.416, 15.536
1, 2700.00000, 602.636, 15.832, 600.141, 15.9905, 607.558, 15.6562
2, 0.00000, 596.067, 15.5772, 590.441, 15.666, 595.047, 15.4361
2, 900.00000, 595.562, 15.5323, 607.982, 15.736, 587.662, 15.4569
2, 1800.00000, 596.023, 15.5049, 608.35, 15.6161, 584.539, 15.7328
2, 2700.00000, 596.155, 15.2146, 608.824, 15.4188, 586.192, 15.4821
3, 0.00000, 616.016, 15.2785, 623.505, 15.2693, 601.891, 15.2304
3, 900.00000, 622.82, 15.5124, 618.084, 15.5212, 608.285, 15.4516
3, 1800.00000, 624.113, 15.3912, 633.692, 15.6189, 617.135, 15.4384
3, 2700.00000, 641.343, 15.5333, 661.734, 15.8352, 636.628, 15.5369
4, 0.00000, 637.784, 15.3471, 643.968, 15.3854, 630.072, 15.3513
4, 900.00000, 642.329, 15.1974, 637.561, 15.0804, 632.63, 15.039
4, 1800.00000, 668.542, 15.4394, 659.18, 15.4379, 650.004, 15.2713
4, 2700.00000, 695.632, 15.3239, 681.827, 15.3545, 692.018, 15.1153
5, 0.00000, 697.899, 15.1316, 682.113, 14.986, 687.914, 14.9414
5, 900.00000, 767.805, 15.4741, 732.262, 15.2963, 737.163, 15.1942
5, 1800.00000, 760.886, 14.8536, 720.957, 14.6076, 737.799, 14.7498
5, 2700.00000, 776.885, 14.548, 751.429, 14.4657, 767.23, 14.5585
6, 0.00000, 835.694, 14.8869, 813.4, 14.7876, 827.371, 14.84
6, 900.00000, 928.046, 15.1596, 915.107, 15.3261, 905.24, 15.0683
6, 1800.00000, 985.902, 15.6628, 974.784, 15.9259, 954.914, 15.6052
6, 2700.00000, 1039.57, 15.7097, 1007.15, 15.7138, 997.297, 15.5005
7, 0.00000, 1070.97, 15.3899, 1031.33, 14.9386, 1018.64, 14.9339
7, 900.00000, 1093.4, 15.539, 1080.73, 15.5448, 1073, 15.325
7, 1800.00000, 1062.35, 15.105, 1023.53, 15.36, 1027.6, 14.9641
7, 2700.00000, 1097.15, 15.8737, 1041.64, 15.8853, 1038.94, 15.562
8, 0.00000, 1028.05, 16.7039, 979.519, 17.0824, 990.751, 16.3994
8, 900.00000, 965.535, 17.984, 938.005, 18.5906, 949.877, 17.8148
8, 1800.00000, 969.355, 18.4769, 926.246, 19.5513, 965.058, 18.4124
8, 2700.00000, 946.42, 19.6333, 886.559, 21.0143, 945.789, 19.5516
9, 0.00000, 866.692, 20.4833, 828.484, 21.6869, 879.085, 20.1264
9, 900.00000, 852.317, 22.6084, 844.976, 23.7785, 842.879, 22.4978
9, 1800.00000, 819.697, 23.5509, 811.485, 24.7129, 810.273, 23.3729
9, 2700.00000, 747.557, 24.2687, 724.992, 25.4859, 755.4, 23.9299
10, 0.00000, 735.737, 25.1429, 684.311, 27.0112, 729.953, 24.8539
10, 900.00000, 840.84, 22.945, 778.702, 24.369, 870.799, 21.4511
10, 1800.00000, 863.245, 23.1051, 797.485, 24.5019, 888.733, 21.5795
10, 2700.00000, 821.104, 24.5621, 751.916, 26.4101, 832.294, 23.1109
11, 0.00000, 805.101, 25.3003, 729.283, 27.6614, 810.748, 24.0551
11, 900.00000, 785.036, 25.7468, 736.703, 28.0651, 803.448, 24.5433
11, 1800.00000, 783.625, 25.5758, 738.342, 27.8445, 802.931, 24.4871
11, 2700.00000, 686.714, 26.3647, 641.945, 29.1205, 712.077, 25.2272
12, 0.00000, 709.908, 26.6805, 665.975, 29.3735, 712.219, 25.9396
12, 900.00000, 718.286, 26.6073, 711.099, 28.2878, 723.113, 26.0446
12, 1800.00000, 695.7, 26.5511, 699.281, 28.4418, 692.648, 26.4587
12, 2700.00000, 651.732, 27.144, 648.842, 29.0476, 645.447, 26.9265
13, 0.00000, 655.013, 27.606, 634.945, 29.1836, 642.261, 27.3182
13, 900.00000, 618.905, 27.7384, 624.469, 29.1572, 625.046, 27.1356
13, 1800.00000, 634.057, 27.7173, 661.126, 28.7187, 654.957, 26.7876
13, 2700.00000, 602.681, 28.2149, 633.8, 29.2536, 638.582, 26.9998
14, 0.00000, 607.078, 28.3257, 627.56, 29.4925, 631.244, 27.3677
14, 900.00000, 558.451, 27.9356, 584.945, 28.6119, 584.681, 26.8302
14, 1800.00000, 573.728, 26.8499, 587.18, 26.9149, 576.837, 26.0626
14, 2700.00000, 620.047, 26.3076, 620.338, 26.4194, 612.076, 25.8499
15, 0.00000, 635.017, 25.8292, 659.585, 26.2397, 621.472, 25.8932
15, 900.00000, 643.722, 24.039, 681.829, 24.6842, 646.274, 23.9944
15, 1800.00000, 690.918, 22.9888, 677.506, 24.1597, 678.557, 22.9309
15, 2700.00000, 754.596, 22.478, 724.606, 23.5831, 728.362, 22.3335
16, 0.00000, 810.303, 21.8021, 794.582, 22.6394, 784.976, 21.81
16, 900.00000, 836.042, 21.8129, 828.669, 22.0319, 799.349, 21.4908
16, 1800.00000, 843.639, 20.887, 843.763, 21.0048, 833.865, 20.4608
16, 2700.00000, 873.568, 19.9154, 864.041, 19.8846, 850.576, 19.5463
17, 0.00000, 907.075, 19.2245, 868.758, 19.0405, 876.547, 18.7876
17, 900.00000, 1001.22, 17.92, 955.094, 17.6474, 970.255, 17.4417
17, 1800.00000, 1087.07, 17.8027, 1040.52, 17.7839, 1036.82, 17.2214
17, 2700.00000, 1121.36, 17.8568, 1078.95, 18.0616, 1056.51, 17.2815
18, 0.00000, 1102.2, 17.8935, 1058.46, 17.7292, 1057.95, 17.0871
18, 900.00000, 1133.79, 17.034, 1128.22, 17.1907, 1078.54, 16.7289
18, 1800.00000, 1087.81, 17.0173, 1097.4, 17.1463, 1056.22, 16.7351
18, 2700.00000, 1126.87, 17.4154, 1131.73, 17.4752, 1081.03, 16.9296
19, 0.00000, 1179.19, 17.4586, 1183.29, 17.6243, 1133.32, 16.9404
19, 900.00000, 1214.36, 16.7482, 1210.96, 16.9785, 1178.46, 16.2231
19, 1800.00000, 1215.28, 16.7482, 1198.53, 16.8844, 1178.53, 16.2235
19, 2700.00000, 1235.99, 16.8903, 1225.3, 17.1108, 1209.72, 16.1529
20, 0.00000, 1211.72, 16.766, 1206.83, 16.9912, 1186.75, 15.9976
20, 900.00000, 1164.94, 16.4922, 1155.98, 16.7638, 1128.04, 15.6436
20, 1800.00000, 1205.98, 16.5124, 1212.17, 16.7684, 1174.88, 15.8462
20, 2700.00000, 1241.67, 16.8703, 1216.51, 16.7632, 1184.38, 16.0866
21, 0.00000, 1247.39, 16.9482, 1196.03, 16.8935, 1168.5, 16.0475
21, 900.00000, 1176.2, 17.3129, 1122.7, 17.2022, 1122.57, 16.4715
21, 1800.00000, 1274.64, 18.1016, 1219.28, 17.8796, 1281.69, 17.6966
21, 2700.00000, 1191.91, 17.4866, 1134.43, 17.4051, 1181.88, 16.9567
22, 0.00000, 1140.75, 17.3912, 1096.38, 17.3639, 1148.89, 16.8264
22, 900.00000, 1001.28, 16.6667, 962.543, 16.6908, 1007.31, 16.1584
22, 1800.00000, 1024.87, 16.9889, 989.196, 17.1916, 1061.14, 16.8357
22, 2700.00000, 967.488, 16.6271, 922.088, 16.6846, 952.597, 15.8561
23, 0.00000, 944.104, 16.6869, 925.223, 17.1116, 930.676, 15.8083
23, 900.00000, 860.625, 16.6672, 839.138, 16.9436, 843.077, 15.6822
23, 1800.00000, 832.226, 16.5195, 814.898, 16.4474, 814.558, 15.3157
23, 2700.00000, 815.864, 16.0027, 793.512, 16.1101, 803.006, 14.9656
24, 0.00000, 807.1, 15.8462, 790.308, 16.0217, 806.934, 14.9646
24, 900.00000, 831.012, 16.6034, 796.335, 16.6019, 802.872, 15.468
24, 1800.00000, 822.466, 16.4344, 785.549, 16.5731, 801.314, 15.5582
24, 2700.00000, 766.583, 15.3872, 731.353, 15.688, 766.726, 14.5324
25, 0.00000, 758.653, 15.1594, 724.108, 15.5017, 758.973, 14.3133
25, 900.00000, 695.192, 16.6037, 656.656, 16.5678, 662.214, 15.9743
25, 1800.00000, 709.331, 16.6511, 684.832, 16.7815, 683.787, 16.162
25, 2700.00000, 671.974, 15.8036, 647.979, 15.8867, 657.927, 15.4096
26, 0.00000, 651.93, 15.3857, 630.573, 15.2579, 634.519, 15.0809
26, 900.00000, 648.462, 14.8281, 638.206, 14.8882, 636.411, 14.6934
26, 1800.00000, 668.151, 14.857, 653.184, 14.8293, 647.804, 14.498
26, 2700.00000, 683.748, 14.7208, 679.409, 14.9337, 673.469, 14.5339
27, 0.00000, 703.994, 14.7451, 702.014, 15.0268, 692.335, 14.4817
27, 900.00000, 707.586, 14.9561, 687.532, 15.1795, 688.41, 14.5449
27, 1800.00000, 716.495, 14.9602, 699.114, 15.2181, 699.284, 14.5736
27, 2700.00000, 736.134, 15.2149, 720.903, 15.5032, 717.835, 14.8122
28, 0.00000, 719.123, 14.8076, 699.211, 14.9521, 707.414, 14.41
28, 900.00000, 731.827, 14.7919, 721.022, 15.1038, 724.841, 14.4912
28, 1800.00000, 762.881, 14.6172, 762.59, 14.8109, 758.507, 14.2058
28, 2700.00000, 763.112, 14.6204, 753.387, 14.8691, 753.386, 14.3302
29, 0.00000, 747.999, 14.2391, 736.156, 14.4773, 737.395, 14.0423
29, 900.00000, 786.108, 14.2336, 758.446, 14.3438, 778.547, 13.9704
29, 1800.00000, 833.156, 14.3635, 792.985, 14.4865, 820.67, 14.0619
29, 2700.00000, 847.075, 14.2608, 828.137, 14.4208, 831.329, 14.0115
30, 0.00000, 879.42, 13.8335, 840.301, 13.7416, 862.188, 13.4396
30, 900.00000, 926.73, 13.5215, 883.559, 13.8355, 916.852, 13.5203
30, 1800.00000, 993.216, 14.5303, 967.155, 14.912, 973.396, 14.5652
30, 2700.00000, 1087.79, 14.9606, 1073.5, 15.201, 1054.32, 14.8518
31, 0.00000, 1080.75, 14.8445, 1054.97, 15.0785, 1040.72, 14.7229
31, 900.00000, 1122.81, 15.7833, 1103.9, 16.1495, 1084.24, 15.643
31, 1800.00000, 1174.44, 15.4071, 1147.78, 16.0618, 1153.85, 15.3824
31, 2700.00000, 1137.27, 15.4758, 1114.95, 15.8341, 1133.56, 15.2924
32, 0.00000, 1076.26, 16.1593, 1044.71, 16.9771, 1077.61, 16.1505
32, 900.00000, 1054, 18.0088, 1034.93, 19.0903, 1094.33, 17.8016
32, 1800.00000, 1042.33, 19.1487, 1011.94, 20.2594, 1075.93, 18.6306
32, 2700.00000, 999.82, 20.0513, 957.718, 21.462, 1027.1, 19.4548
33, 0.00000, 939.977, 20.7566, 898.638, 22.2331, 979.545, 20.0974
33, 900.00000, 899.567, 21.5625, 841.068, 23.3029, 931.411, 20.9072
33, 1800.00000, 854.128, 21.9164, 822.166, 23.7574, 889.599, 21.3002
33, 2700.00000, 821.749, 23.3673, 790.09, 25.2932, 838.698, 22.9071
34, 0.00000, 820.98, 24.1122, 793.868, 25.9761, 813.3, 23.833
34, 900.00000, 915.746, 22.5661, 872.143, 24.7733, 915.808, 21.7709
34, 1800.00000, 935.997, 21.8408, 905.931, 24.0375, 955.688, 21.0414
34, 2700.00000, 890.855, 22.3614, 870.609, 24.5135, 949.644, 21.3773
35, 0.00000, 824.81, 22.776, 826.661, 24.8329, 915.316, 21.4464
35, 900.00000, 797.94, 23.286, 822.824, 25.2662, 912.041, 21.6445
35, 1800.00000, 778.243, 24.7305, 770.792, 27.0493, 854.95, 22.9765
35, 2700.00000, 735.389, 25.4083, 777.61, 27.3031, 831.15, 23.5622
36, 0.00000, 701.68, 26.0531, 767.293, 27.8152, 796.287, 24.3667
36, 900.00000, 720.455, 27.2613, 759.258, 28.6064, 786.285, 25.6921
36, 1800.00000, 678.683, 27.9596, 704.029, 29.1856, 740.926, 26.0678
36, 2700.00000, 617.18, 29.8609, 679.977, 30.5816, 661.28, 28.3729
37, 0.00000, 620.852, 29.9114, 665.905, 30.8601, 660.284, 28.1369
37, 900.00000, 587.212, 30.1741, 621.438, 31.0614, 599.371, 28.8959
37, 1800.00000, 584.957, 30.1716, 613.697, 30.8453, 589.26, 29.2856
37, 2700.00000, 562.148, 29.9872, 610.678, 30.5217, 583.562, 29.1356
38, 0.00000, 547.772, 29.8103, 593.543, 30.7855, 563.884, 29.0259
38, 900.00000, 512.703, 29.6536, 544.148, 30.4257, 525.034, 29.0853
38, 1800.00000, 503.061, 29.5945, 537.056, 30.0502, 517.901, 28.939
38, 2700.00000, 500.306, 29.2934, 526.713, 29.9323, 514.758, 28.8555
39, 0.00000, 522.648, 28.1695, 538.504, 29.0571, 532.425, 27.9139
39, 900.00000, 572.796, 27.0514, 575.942, 28.4095, 569.248, 26.5536
39, 1800.00000, 609.412, 25.6899, 589.814, 27.1304, 591.072, 25.6126
39, 2700.00000, 636.8, 24.2871, 632.295, 25.593, 624.204, 24.9138
40, 0.00000, 645.295, 22.5743, 648.344, 24.0796, 629.919, 23.3269
40, 900.00000, 648.87, 21.4571, 654.092, 22.8496, 623.778, 22.7196
40, 1800.00000, 727.335, 21.3801, 718.526, 22.2092, 713.132, 21.9194
40, 2700.00000, 764.633, 20.8927, 764.592, 21.5472, 760.985, 21.2383
41, 0.00000, 765.478, 20.3371, 768.828, 20.8428, 765.796, 20.6657
41, 900.00000, 844.379, 18.6385, 842.279, 18.8842, 837.581, 18.5416
41, 1800.00000, 941.324, 18.0033, 934.709, 17.9789, 913.066, 17.5026
41, 2700.00000, 1004.11, 17.8049, 970.494, 17.5814, 970.619, 17.5475
42, 0.00000, 1003.89, 17.9548, 1004.22, 17.8434, 993.994, 17.6641
42, 900.00000, 1039.52, 17.1957, 1053.74, 17.5435, 999.392, 17.2969
42, 1800.00000, 1072.13, 17.1159, 1095.32, 17.2825, 1039.37, 17.1651
42, 2700.00000, 1041.77, 16.8456, 1063.49, 17.167, 1086.51, 16.7555
43, 0.00000, 1025.34, 16.2308, 1043.74, 16.6672, 1098.98, 16.096
43, 900.00000, 1046.51, 16.1211, 1038.43, 16.722, 1088, 16.0121
43, 1800.00000, 1055.32, 16.1791, 1042.36, 16.7338, 1053.26, 16.1664
43, 2700.00000, 1073.74, 15.9973, 1058.24, 16.7463, 1070.7, 15.9311
44, 0.00000, 1054.09, 16.0051, 1040.89, 16.6751, 1057.91, 15.7916
44, 900.00000, 961.912, 16.0321, 963.855, 16.5102, 959.129, 15.8735
44, 1800.00000, 969.879, 15.6419, 994.295, 16.1364, 984.191, 15.556
44, 2700.00000, 973.229, 15.6116, 997.863, 15.9644, 977.145, 15.766
45, 0.00000, 973.912, 15.7745, 991.795, 16.1067, 973.868, 15.9042
45, 900.00000, 926.204, 16.1328, 930.474, 16.4297, 912.93, 16.0561
45, 1800.00000, 992.067, 16.7798, 983.43, 17.0873, 980.114, 16.6154
45, 2700.00000, 1021.75, 17.5211, 972.066, 17.4489, 1002.54, 17.0534
46, 0.00000, 1025.14, 17.1269, 986.717, 17.1791, 1027.09, 16.5351
46, 900.00000, 924.315, 16.6349, 894.477, 16.8942, 930.715, 15.8836
46, 1800.00000, 916.304, 16.6509, 865.505, 16.7555, 906.223, 15.6686
46, 2700.00000, 897.773, 16.6018, 841.97, 16.5854, 903.396, 15.7481
47, 0.00000, 869.064, 16.4369, 821.348, 16.3252, 873.67, 15.3971
47, 900.00000, 760.017, 16.4127, 751.936, 16.488, 771.617, 15.5548
47, 1800.00000, 747.264, 16.01, 732.893, 16.0324, 762.771, 15.267
47, 2700.00000, 761.032, 16.2166, 740.555, 16.17, 749.828, 15.36
48, 0.00000, 780.717, 16.4356, 770.973, 16.5722, 759.712, 15.5533
48, 900.00000, 739.889, 15.6189, 731.581, 15.848, 728.806, 14.8838
48, 1800.00000, 700.375, 15.0376, 690.728, 15.122, 714.936, 14.4378
48, 2700.00000, 695.291, 14.9026, 681.845, 14.9157, 716.164, 14.3808
49, 0.00000, 698.567, 14.9386, 691.238, 15.0484, 712.252, 14.3035
49, 900.00000, 644.974, 16.3923, 645.782, 16.3529, 633.845, 16.1512
49, 1800.00000, 634.815, 16.3831, 632.732, 16.5702, 619.568, 16.4217
49, 2700.00000, 634.877, 16.1724, 633.714, 16.38, 619.692, 16.1505
50, 0.00000, 662.73, 16.4744, 659.462, 16.619, 636.109, 16.2479
50, 900.00000, 664.557, 16.2043, 667.209, 16.4099, 645.976, 16.201
50, 1800.00000, 659.811, 15.9634, 658.316, 16.0823, 638.827, 15.8492
50, 2700.00000, 631.479, 15.0964, 616.938, 15.1018, 615.874, 15.1749
51, 0.00000, 639.113, 15.0373, 621.968, 14.8898, 632.511, 15.068
51, 900.00000, 639.235, 15.153, 607.115, 14.9944, 625.487, 14.9745
51, 1800.00000, 630.346, 14.7617, 603.467, 14.7469, 621.382, 14.6634
