Timestamp,Circuit.feeder_rdt1527-rhs0_1247x__LineLosses
2020-01-01 00:00:00,(26.949909316970054-99.97441105479443j)
2020-01-01 00:15:00,(29.665205173268358-95.99721400297864j)
2020-01-01 00:30:00,(29.290297231887546-96.3634477225461j)
2020-01-01 00:45:00,(26.26273555287257-100.54155813619593j)
2020-01-01 01:00:00,(19.06121856681977-109.34031403256604j)
2020-01-01 01:15:00,(19.09548425157603-109.27015657232279j)
2020-01-01 01:30:00,(19.092415341749664-109.28603342760576j)
2020-01-01 01:45:00,(18.590123620433097-110.07515118033002j)
2020-01-01 02:00:00,(18.73074895972183-109.85838352462092j)
2020-01-01 02:15:00,(18.62922819435358-109.88512094550133j)
2020-01-01 02:30:00,(18.71438382139083-109.78104107600161j)
2020-01-01 02:45:00,(19.735535497031865-108.27511274090541j)
2020-01-01 03:00:00,(19.85875441645614-107.96816103743015j)
2020-01-01 03:15:00,(20.556264114875248-107.14016661348178j)
2020-01-01 03:30:00,(22.000570945917048-105.11950007253344j)
2020-01-01 03:45:00,(21.3731133464472-105.9761750084457j)
2020-01-01 04:00:00,(21.45425439182761-105.9158931727608j)
2020-01-01 04:15:00,(22.887220431089666-103.7851082153426j)
2020-01-01 04:30:00,(25.026389175855492-100.70586789650856j)
2020-01-01 04:45:00,(25.00715862525672-100.7288301465599j)
2020-01-01 05:00:00,(29.2866151374755-94.93586828332847j)
2020-01-01 05:15:00,(28.968424264548773-95.25487271063189j)
2020-01-01 05:30:00,(31.007013665093545-92.36526839059545j)
2020-01-01 05:45:00,(35.902943743815925-85.41590570441456j)
2020-01-01 06:00:00,(43.838581088493804-74.21408343003324j)
2020-01-01 06:15:00,(49.36863436567175-66.53058609063223j)
2020-01-01 06:30:00,(53.797870686880636-60.32717968867923j)
2020-01-01 06:45:00,(56.48706932004685-56.634109811280304j)
2020-01-01 07:00:00,(61.06213595915539-50.24233374249418j)
2020-01-01 07:15:00,(56.454300092725525-56.74808378455442j)
2020-01-01 07:30:00,(58.33133230797579-54.16025433572113j)
2020-01-01 07:45:00,(52.020862123190426-62.993666149951274j)
2020-01-01 08:00:00,(47.45911091742304-69.57217108474434j)
2020-01-01 08:15:00,(47.93476548876847-69.25737581919404j)
2020-01-01 08:30:00,(45.333293430188945-72.89014197117812j)
2020-01-01 08:45:00,(39.09641365002482-81.27056258335948j)
2020-01-01 09:00:00,(37.56987710032827-82.92945226752468j)
2020-01-01 09:15:00,(34.838030529917006-86.84608082214986j)
2020-01-01 09:30:00,(29.38012740053389-94.68929979393491j)
2020-01-01 09:45:00,(27.310680968189164-97.41260397753466j)
2020-01-01 10:00:00,(38.84756132198208-83.96657236650701j)
2020-01-01 10:15:00,(41.23691669576114-81.33756225250136j)
2020-01-01 10:30:00,(36.424594671593034-87.1979702129563j)
2020-01-01 10:45:00,(34.74484180401376-89.49598331466055j)
2020-01-01 11:00:00,(33.626155342822315-90.29657241640653j)
2020-01-01 11:15:00,(33.5764600146308-90.35502908278016j)
2020-01-01 11:30:00,(26.31109871294292-100.44566869329341j)
2020-01-01 11:45:00,(27.226534240057283-99.00671223522832j)
2020-01-01 12:00:00,(28.93040736605355-96.78340902516423j)
2020-01-01 12:15:00,(27.192109834891312-99.11091264311325j)
2020-01-01 12:30:00,(23.732024436472773-103.82469383447417j)
2020-01-01 12:45:00,(23.1753337581991-104.4334982219596j)
2020-01-01 13:00:00,(22.073987016326445-106.27070760092371j)
2020-01-01 13:15:00,(23.96272885989648-103.46859850643382j)
2020-01-01 13:30:00,(22.155472439092023-105.62278769852377j)
2020-01-01 13:45:00,(21.766401426101236-105.99859589506069j)
2020-01-01 14:00:00,(18.70087136334283-110.29071537274253j)
2020-01-01 14:15:00,(18.730692964641445-110.14662807612262j)
2020-01-01 14:30:00,(20.873598360243168-106.9574506753883j)
2020-01-01 14:45:00,(22.086021409610765-105.02856604563439j)
2020-01-01 15:00:00,(23.346314121747188-103.20640411615362j)
2020-01-01 15:15:00,(25.308747483166396-100.6058641916199j)
2020-01-01 15:30:00,(29.102636766617803-95.29287702890475j)
2020-01-01 15:45:00,(33.5958203920329-88.67610528405899j)
2020-01-01 16:00:00,(35.135969956189776-86.2148512264584j)
2020-01-01 16:15:00,(36.79762538958101-83.94734728660002j)
2020-01-01 16:30:00,(38.45176250834432-81.2837118515415j)
2020-01-01 16:45:00,(40.14009478741357-78.69378293739403j)
2020-01-01 17:00:00,(48.82887687111841-66.62867789760989j)
2020-01-01 17:15:00,(57.109620725057496-55.12574045293991j)
2020-01-01 17:30:00,(60.57895292452888-50.188447712457936j)
2020-01-01 17:45:00,(59.36387953608848-52.05565202714938j)
2020-01-01 18:00:00,(63.89630101028699-45.852409921649794j)
2020-01-01 18:15:00,(59.96726046909909-51.29346878468559j)
2020-01-01 18:30:00,(63.482345854157906-46.42243872858478j)
2020-01-01 18:45:00,(69.5474124447303-38.704446826894774j)
2020-01-01 19:00:00,(73.95732952752795-32.96465753780113j)
2020-01-01 19:15:00,(73.54438292955754-33.447390882701896j)
2020-01-01 19:30:00,(76.86480103800763-28.784457184851178j)
2020-01-01 19:45:00,(74.33027372700451-32.33939302858482j)
2020-01-01 20:00:00,(68.20457305613931-40.92445300640004j)
