Timestamp,Circuit.feeder_rdt1527-rhs0_1247x__Losses
2020-01-01 00:00:00,(102380.53422591348-93472.72143957336j)
2020-01-01 00:15:00,(105168.6035569617-89044.03676924508j)
2020-01-01 00:30:00,(104749.34507407181-89560.94561204154j)
2020-01-01 00:45:00,(101567.02673997571-94361.52113785938j)
2020-01-01 01:00:00,(93980.51332205506-105116.92408998519j)
2020-01-01 01:15:00,(94101.7058200411-105017.1922166282j)
2020-01-01 01:30:00,(94096.79335950497-105015.25180435825j)
2020-01-01 01:45:00,(93509.67299336767-105866.62761766j)
2020-01-01 02:00:00,(93610.84241805994-105630.3144513168j)
2020-01-01 02:15:00,(93525.35023927665-105657.04041978506j)
2020-01-01 02:30:00,(93631.3483257607-105510.13500957016j)
2020-01-01 02:45:00,(94759.67856021163-103663.8477415103j)
2020-01-01 03:00:00,(94962.96547700171-103249.83095999138j)
2020-01-01 03:15:00,(95634.26503479728-102281.03854346414j)
2020-01-01 03:30:00,(97184.434864643-99843.4992882524j)
2020-01-01 03:45:00,(96608.55219421488-100767.35927596506j)
2020-01-01 04:00:00,(96693.72127647142-100747.59411726298j)
2020-01-01 04:15:00,(98230.49738977535-98192.88086959171j)
2020-01-01 04:30:00,(100674.63070882928-94573.18152856357j)
2020-01-01 04:45:00,(100605.16480066825-94507.4304784227j)
2020-01-01 05:00:00,(105203.9756488897-87435.56695594915j)
2020-01-01 05:15:00,(105115.10669085219-87437.8211008404j)
2020-01-01 05:30:00,(107543.9414263279-83729.46987715215j)
2020-01-01 05:45:00,(112907.34090611366-75468.98870154006j)
2020-01-01 06:00:00,(121489.16913641579-62272.19978254835j)
2020-01-01 06:15:00,(127451.18434648466-53272.32674056468j)
2020-01-01 06:30:00,(132142.11328740342-46137.34711140183j)
2020-01-01 06:45:00,(135079.76404188646-41669.92920392288j)
2020-01-01 07:00:00,(139540.64051762215-34546.237278118955j)
2020-01-01 07:15:00,(134734.01778860623-41958.619676545844j)
2020-01-01 07:30:00,(136516.3843687828-39507.09142374709j)
2020-01-01 07:45:00,(129811.87231849502-49569.65233482173j)
2020-01-01 08:00:00,(124760.13697783902-56931.496400151846j)
2020-01-01 08:15:00,(125237.88342113499-56236.97717201247j)
2020-01-01 08:30:00,(122346.42773509763-60665.88533629913j)
2020-01-01 08:45:00,(115763.59458412004-70541.16291610929j)
2020-01-01 09:00:00,(114154.02949871076-72922.43476471078j)
