Timestamp,Circuit.feeder_rdt1527-rhs0_1247x__TotalPower
2020-01-01 00:00:00,(-2016.1620833290901-509.3590239201709j)
2020-01-01 00:15:00,(-2123.779115247989-572.4350500073373j)
2020-01-01 00:30:00,(-2119.4128093328322-576.4147358942805j)
2020-01-01 00:45:00,(-2004.8871556493104-531.7363307699547j)
2020-01-01 01:00:00,(-1737.6215711228701-496.1976876045235j)
2020-01-01 01:15:00,(-1741.026041111047-494.5128873888228j)
2020-01-01 01:30:00,(-1737.3613805862835-493.0370083748858j)
2020-01-01 01:45:00,(-1711.912356238773-477.22552894035925j)
2020-01-01 02:00:00,(-1721.0663641129759-480.3319890351022j)
2020-01-01 02:15:00,(-1718.518037069731-480.9340254330278j)
2020-01-01 02:30:00,(-1722.7433740713495-474.14176001729544j)
2020-01-01 02:45:00,(-1772.1388179423568-483.9885680657051j)
2020-01-01 03:00:00,(-1777.6240725885057-493.3707531681796j)
2020-01-01 03:15:00,(-1802.5038519795119-499.86864796844924j)
2020-01-01 03:30:00,(-1863.5496797080373-522.177489702071j)
2020-01-01 03:45:00,(-1839.1624330485338-505.7877404653472j)
2020-01-01 04:00:00,(-1842.0720003788424-497.74497020689535j)
2020-01-01 04:15:00,(-1902.5053187533697-523.9803948604393j)
2020-01-01 04:30:00,(-1991.9807761133022-544.1155662987832j)
2020-01-01 04:45:00,(-1992.9009372311514-535.2432262051212j)
2020-01-01 05:00:00,(-2153.057983843033-590.451563760021j)
2020-01-01 05:15:00,(-2142.211700482945-564.022271161767j)
2020-01-01 05:30:00,(-2217.6754693886637-574.9686994381736j)
2020-01-01 05:45:00,(-2389.1833061512602-633.3848516520068j)
2020-01-01 06:00:00,(-2647.5265143245547-718.9539060504378j)
2020-01-01 06:15:00,(-2801.4238893919455-790.1130238199065j)
2020-01-01 06:30:00,(-2926.445158153152-820.4081853841775j)
2020-01-01 06:45:00,(-3008.7084286322447-812.3327965732354j)
2020-01-01 07:00:00,(-3124.6219316928987-865.7251270910982j)
2020-01-01 07:15:00,(-3001.0395349789246-813.1525328648764j)
2020-01-01 07:30:00,(-3053.325519661704-863.5966066146873j)
2020-01-01 07:45:00,(-2867.1332759157635-862.8138619198359j)
2020-01-01 08:00:00,(-2707.363705951082-887.5873869401827j)
2020-01-01 08:15:00,(-2703.2590035415365-921.7307257651771j)
2020-01-01 08:30:00,(-2605.7799307115824-952.2372959918068j)
2020-01-01 08:45:00,(-2402.872916989933-911.8372680555806j)
2020-01-01 09:00:00,(-2334.2370781022505-990.6510641421313j)
2020-01-01 09:15:00,(-2227.836395112775-988.0527515981724j)
2020-01-01 09:30:00,(-2022.1345983309561-925.5555327727527j)
2020-01-01 09:45:00,(-1933.5874226760022-930.0499572477199j)
2020-01-01 10:00:00,(-2288.917226977988-967.0994051680649j)
2020-01-01 10:15:00,(-2341.4367564346176-996.0986449983293j)
2020-01-01 10:30:00,(-2181.4120216465226-1002.3412081946069j)
2020-01-01 10:45:00,(-2109.681934797193-1012.9500727303985j)
2020-01-01 11:00:00,(-2083.5422505922143-1021.1814520804315j)
2020-01-01 11:15:00,(-2085.900401306603-1015.7868165215635j)
2020-01-01 11:30:00,(-1816.084967089707-920.84326041448j)
2020-01-01 11:45:00,(-1850.581318242084-956.7721138154714j)
2020-01-01 12:00:00,(-1913.4903203172146-975.9869063912788j)
2020-01-01 12:15:00,(-1852.894558572048-952.5126351061518j)
2020-01-01 12:30:00,(-1718.3170468128812-904.584824044053j)
2020-01-01 12:45:00,(-1700.9350756629938-907.7524869029016j)
2020-01-01 13:00:00,(-1644.8720268331017-877.2664842602504j)
2020-01-01 13:15:00,(-1721.1843113599289-907.5740330353733j)
2020-01-01 13:30:00,(-1648.6135847379335-884.4619329861811j)
2020-01-01 13:45:00,(-1636.7437162419028-887.0542306183485j)
2020-01-01 14:00:00,(-1524.3192132301308-805.573068543315j)
2020-01-01 14:15:00,(-1549.1664744039783-778.2385384859413j)
2020-01-01 14:30:00,(-1657.768062878667-817.5355935389877j)
2020-01-01 14:45:00,(-1717.7309890153597-839.5159179129995j)
2020-01-01 15:00:00,(-1793.3227930712997-809.6171929293205j)
2020-01-01 15:15:00,(-1874.544462711493-811.3201129843563j)
2020-01-01 15:30:00,(-2030.3861249112665-854.93157524576j)
2020-01-01 15:45:00,(-2209.7472977763614-898.1651396852915j)
2020-01-01 16:00:00,(-2283.4927710526517-914.1103879312506j)
2020-01-01 16:15:00,(-2352.5707821329074-894.5008981411966j)
2020-01-01 16:30:00,(-2430.810644079598-875.796528177657j)
2020-01-01 16:45:00,(-2502.9523568878035-864.1585162539685j)
2020-01-01 17:00:00,(-2783.456207402263-888.0090934493658j)
2020-01-01 17:15:00,(-3011.111953239005-956.6475516071977j)
2020-01-01 17:30:00,(-3097.1441617825703-991.849825793831j)
2020-01-01 17:45:00,(-3063.817271128445-971.5986703471865j)
2020-01-01 18:00:00,(-3189.9402222072918-975.6451656865465j)
2020-01-01 18:15:00,(-3095.926203699831-945.8591752793528j)
2020-01-01 18:30:00,(-3184.096900174755-991.5275212944181j)
2020-01-01 18:45:00,(-3332.6256507154694-1042.1584479820167j)
2020-01-01 19:00:00,(-3447.7152377655466-1032.399804552128j)
2020-01-01 19:15:00,(-3437.6322202701126-1027.2897814690596j)
2020-01-01 19:30:00,(-3510.7730394977016-1055.7285641119374j)
2020-01-01 19:45:00,(-3450.7670325944814-1029.056333225214j)
2020-01-01 20:00:00,(-3306.060515922972-968.215705998576j)
2020-01-01 20:15:00,(-3441.9960843946888-1012.8002797971959j)
2020-01-01 20:30:00,(-3486.252753918994-1039.0065145494743j)
2020-01-01 20:45:00,(-3456.069312177393-1033.9254618440798j)
2020-01-01 21:00:00,(-3267.791852138411-1000.2488245606925j)
2020-01-01 21:15:00,(-3588.208798382985-1159.5942773063155j)
2020-01-01 21:30:00,(-3346.4392106535247-1042.3590998933266j)
2020-01-01 21:45:00,(-3230.596474233038-1000.62673950454j)
2020-01-01 22:00:00,(-2845.4350663804644-844.0790183048314j)
2020-01-01 22:15:00,(-2935.613339579522-898.6888930578008j)
2020-01-01 22:30:00,(-2722.8780352968984-801.8269359315221j)
2020-01-01 22:45:00,(-2679.6358108151676-796.6500309755996j)
2020-01-01 23:00:00,(-2434.930707538986-719.1929131978394j)
2020-01-01 23:15:00,(-2360.7221121751136-682.3582675300629j)
2020-01-01 23:30:00,(-2317.837131447511-652.2756823472366j)
2020-01-01 23:45:00,(-2311.0755732811235-646.6814361748854j)
