,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1rlv1359_1,1,p1rlv1359.1,0.12,3.90602272835756,0.9767,1,res_kw_278_pu,,,,wye,0.857802035276763,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.99910463556167,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1359_2,1,p1rlv1359.2,0.12,3.90602272835756,0.9767,1,res_kw_278_pu,,,,wye,0.857802035276763,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.99910463556167,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1360_1,1,p1rlv1360.1,0.12,4.27831890994633,0.9552,1,res_kw_1246_pu,,,,wye,1.3258964507917,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.47906397514328,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1360_2,1,p1rlv1360.2,0.12,4.27831890994633,0.9552,1,res_kw_1246_pu,,,,wye,1.3258964507917,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,4.47906397514328,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1361_1,1,p1rlv1361.1,0.12,5.65930151113221,0.9755,1,res_kw_324_pu,,,,wye,1.27612519205737,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.80139544417606,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1361_2,1,p1rlv1361.2,0.12,5.65930151113221,0.9755,1,res_kw_324_pu,,,,wye,1.27612519205737,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.80139544417606,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1362_1,1,p1rlv1362.1,0.12,2.40000228705824,0.9207,1,res_kw_1205_pu,,,,wye,1.01737872625297,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,2.60673559275138,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1362_2,1,p1rlv1362.2,0.12,2.40000228705824,0.9207,1,res_kw_1205_pu,,,,wye,1.01737872625297,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,2.60673559275138,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1363_1,1,p1rlv1363.1,0.12,5.43672957952679,0.9746,1,res_kw_454_pu,,,,wye,1.24884709648996,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.57831942356414,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1363_2,1,p1rlv1363.2,0.12,5.43672957952679,0.9746,1,res_kw_454_pu,,,,wye,1.24884709648996,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.57831942356414,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1rlv1364_1,1,p1rlv1364.1,0.12,5.02063041866234,0.9599,1,res_kw_664_pu,,,,wye,1.46602602711323,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.23029273683328,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
