,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:rdt793-rdt793lv),1,3,3,rdt793lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt793.3', 'rdt793lv.1.0', 'rdt793lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.108874, (93.118), 3.011698, (-89.265), 3.011384, (-89.257), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt794-rdt794lv),1,3,3,rdt794lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt794.2', 'rdt794lv.1.0', 'rdt794lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.259399, (-148.64), 37.1015, (30.786), 37.0885, (30.824), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt795-rdt795lv),1,3,3,rdt795lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt795.2', 'rdt795lv.1.0', 'rdt795lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1368391, (-146.93), 3.850411, (31.197), 3.849934, (31.207), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt797-rdt797lv),1,3,3,rdt797lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt797.2', 'rdt797lv.1.0', 'rdt797lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1640444, (-151.45), 4.677679, (26.764), 4.676947, (26.776), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt798-rdt798lv),1,3,3,rdt798lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt798.2', 'rdt798lv.1.0', 'rdt798lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.168163, (-148.63), 34.36346, (30.752), 34.35234, (30.788), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt800-rdt800lv),1,3,3,rdt800lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt800.1', 'rdt800lv.1.0', 'rdt800lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8358675, (-6.9926), 24.30245, (172.8), 24.30073, (172.83), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt801-rdt801lv),3,2,2,rdt801lv,wye ,0.48,100,1,0.805475,-1,0,"['rdt801', 'rdt801lv']","['wye', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.2622989, (-5.5229), 6.063604, (173.92), 0.262375, (-125.41), 6.065379, (54.038), 0.2625379, (114.46), 6.070425, (-66.096), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
Transformer.tr(r:rdt1109-rdt1109lv),3,2,2,rdt1109lv,wye ,0.48,150,1,1.0784,-1,0,"['rdt1109', 'rdt1109lv']","['wye', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"0.3111762, (-8.7444), 7.149053, (170.2), 0.3111596, (-128.73), 7.148154, (50.216), 0.311122, (111.25), 7.147205, (-69.801), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1110-rdt1110lv),1,3,3,rdt1110lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1110.2', 'rdt1110lv.1.0', 'rdt1110lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.868125, (-128.94), 55.56048, (50.93), 55.5415, (51.053), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1111-rdt1111lv),1,3,3,rdt1111lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1111.3', 'rdt1111lv.1.0', 'rdt1111lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.328509, (93.093), 9.599624, (-87.675), 9.597361, (-87.652), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1112-rdt1112lv),3,2,2,rdt1112lv,wye ,0.48,75,1,0.87204,-1,0,"['rdt1112', 'rdt1112lv']","['wye', 'wye']","['12.47', '0.48']","['75', '75']","['1', '1']",3.24,35,30,['3.24'],2,.8,.8,65,15,1.74408,0.6,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.87204', '0.87204']",,,NO,3.24,35,30,Lag,"0.2694604, (-18.266), 6.479316, (160.28), 0.2694051, (-138.25), 6.477604, (40.288), 0.2693794, (101.73), 6.476949, (-79.731), ",shell,0.007590236,1,['1100'],3.8197,5.2087,0.007,100,36,60,True,
Transformer.tr(r:rdt1113-rdt1113lv),3,2,2,rdt1113lv,wye ,0.48,75,1,0.87204,-1,0,"['rdt1113', 'rdt1113lv']","['wye', 'wye']","['12.47', '0.48']","['75', '75']","['1', '1']",3.24,35,30,['3.24'],2,.8,.8,65,15,1.74408,0.6,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.87204', '0.87204']",,,NO,3.24,35,30,Lag,"0.19281, (-12.281), 4.4726, (166.31), 0.1927675, (-132.27), 4.471199, (46.323), 0.1927519, (107.71), 4.470801, (-73.693), ",shell,0.007590236,1,['1100'],3.8197,5.2087,0.007,100,36,60,True,
Transformer.tr(r:rdt1114-rdt1114lv),1,3,3,rdt1114lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1114.2', 'rdt1114lv.1.0', 'rdt1114lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.4953775, (-127.42), 14.57735, (52.433), 14.57545, (52.471), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1115-rdt1115lv),1,3,3,rdt1115lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1115.3', 'rdt1115lv.1.0', 'rdt1115lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1659112, (92.638), 4.722581, (-88.933), 4.721903, (-88.921), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1116-rdt1116lv),1,3,3,rdt1116lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1116.2', 'rdt1116lv.1.0', 'rdt1116lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8254187, (-127.74), 24.26932, (52.096), 24.26589, (52.151), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1117-rdt1117lv),1,3,3,rdt1117lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1117.1', 'rdt1117lv.1.0', 'rdt1117lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.7557724, (-15.812), 22.19509, (163.83), 22.18968, (163.88), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1118-rdt1118lv),1,3,3,rdt1118lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1118.1', 'rdt1118lv.1.0', 'rdt1118lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3286748, (-26.908), 9.604815, (152.33), 9.602551, (152.35), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1119-rdt1119lv),1,3,3,rdt1119lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1119.1', 'rdt1119lv.1.0', 'rdt1119lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.6187441, (-47.607), 18.23044, (131.24), 18.22076, (131.27), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1120-rdt1120lv),1,3,3,rdt1120lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1120.1', 'rdt1120lv.1.0', 'rdt1120lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.6854833, (-26.304), 19.86413, (152.71), 19.86059, (152.73), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
