,Transformer,HighSideConnection,NumPhases
0,Transformer.tr(r:rdt793-rdt793lv),wye,1
1,Transformer.tr(r:rdt794-rdt794lv),wye,1
2,Transformer.tr(r:rdt795-rdt795lv),wye,1
3,Transformer.tr(r:rdt797-rdt797lv),wye,1
4,Transformer.tr(r:rdt798-rdt798lv),wye,1
5,Transformer.tr(r:rdt800-rdt800lv),wye,1
6,Transformer.tr(r:rdt801-rdt801lv),wye,3
7,Transformer.tr(r:rdt1109-rdt1109lv),wye,3
8,Transformer.tr(r:rdt1110-rdt1110lv),wye,1
9,Transformer.tr(r:rdt1111-rdt1111lv),wye,1
10,Transformer.tr(r:rdt1112-rdt1112lv),wye,3
11,Transformer.tr(r:rdt1113-rdt1113lv),wye,3
12,Transformer.tr(r:rdt1114-rdt1114lv),wye,1
13,Transformer.tr(r:rdt1115-rdt1115lv),wye,1
14,Transformer.tr(r:rdt1116-rdt1116lv),wye,1
15,Transformer.tr(r:rdt1117-rdt1117lv),wye,1
16,Transformer.tr(r:rdt1118-rdt1118lv),wye,1
17,Transformer.tr(r:rdt1119-rdt1119lv),wye,1
18,Transformer.tr(r:rdt1120-rdt1120lv),wye,1
19,Transformer.tr(r:rdt1121-rdt1121lv),wye,1
20,Transformer.tr(r:rdt1124-rdt1124lv),wye,1
21,Transformer.tr(r:rdt1125-rdt1125lv),wye,1
22,Transformer.tr(r:rdt1126-rdt1126lv),wye,1
23,Transformer.tr(r:rdt1127-rdt1127lv),wye,1
24,Transformer.tr(r:rdt1128-rdt1128lv),wye,1
25,Transformer.tr(r:rdt1129-rdt1129lv),wye,1
26,Transformer.tr(r:rdt1130-rdt1130lv),wye,1
27,Transformer.tr(r:rdt1131-rdt1131lv),wye,1
28,Transformer.tr(r:rdt1132-rdt1132lv),wye,1
29,Transformer.tr(r:rdt1133-rdt1133lv),wye,1
30,Transformer.tr(r:rdt1134-rdt1134lv),wye,1
31,Transformer.tr(r:rdt1135-rdt1135lv),wye,1
32,Transformer.tr(r:rdt1136-rdt1136lv),wye,1
33,Transformer.tr(r:rdt1137-rdt1137lv),wye,1
34,Transformer.tr(r:rdt1138-rdt1138lv),wye,1
35,Transformer.tr(r:rdt1139-rdt1139lv),wye,1
36,Transformer.tr(r:rdt1140-rdt1140lv),wye,1
37,Transformer.tr(r:rdt1141-rdt1141lv),wye,1
38,Transformer.tr(r:rdt1142-rdt1142lv),wye,1
39,Transformer.tr(r:rdt1143-rdt1143lv),wye,1
40,Transformer.tr(r:rdt1144-rdt1144lv),wye,1
41,Transformer.tr(r:rdt1145-rdt1145lv),wye,1
42,Transformer.tr(r:rdt1146-rdt1146lv),wye,1
43,Transformer.tr(r:rdt1147-rdt1147lv),wye,1
44,Transformer.tr(r:rdt1148-rdt1148lv),wye,3
45,Transformer.tr(r:rdt1149-rdt1149lv),wye,1
46,Transformer.tr(r:rdt1150-rdt1150lv),wye,1
47,Transformer.tr(r:rdt1151-rdt1151lv),wye,1
48,Transformer.tr(r:rdt1152-rdt1152lv),wye,1
49,Transformer.tr(r:rdt1153-rdt1153lv),wye,1
50,Transformer.tr(r:rdt1154-rdt1154lv),wye,1
51,Transformer.tr(r:rdt1155-rdt1155lv),wye,1
52,Transformer.tr(r:rdt1156-rdt1156lv),wye,1
53,Transformer.tr(r:rdt1157-rdt1157lv),wye,1
54,Transformer.tr(r:rdt1158-rdt1158lv),wye,1
55,Transformer.tr(r:rdt1159-rdt1159lv),wye,1
56,Transformer.tr(r:rdt1160-rdt1160lv),wye,3
57,Transformer.tr(r:rdt1161-rdt1161lv),wye,1
58,Transformer.tr(r:rdt1162-rdt1162lv),wye,1
59,Transformer.tr(r:rdt1163-rdt1163lv),wye,1
60,Transformer.tr(r:rdt1164-rdt1164lv),wye,1
61,Transformer.tr(r:rdt1165-rdt1165lv),wye,1
62,Transformer.tr(r:rdt1166-rdt1166lv),wye,1
63,Transformer.tr(r:rdt1167-rdt1167lv),wye,1
64,Transformer.tr(r:rdt1168-rdt1168lv),wye,1
65,Transformer.tr(r:rdt1169-rdt1169lv),wye,1
66,Transformer.tr(r:rdt1170-rdt1170lv),wye,1
67,Transformer.tr(r:rdt1171-rdt1171lv),wye,1
68,Transformer.tr(r:rdt1172-rdt1172lv),wye,1
69,Transformer.tr(r:rdt1173-rdt1173lv),wye,1
70,Transformer.tr(r:rdt1174-rdt1174lv),wye,1
71,Transformer.tr(r:rdt1175-rdt1175lv),wye,1
72,Transformer.tr(r:rdt1176-rdt1176lv),wye,1
73,Transformer.tr(r:rdt1177-rdt1177lv),wye,1
74,Transformer.tr(r:rdt1178-rdt1178lv),wye,1
75,Transformer.tr(r:rdt1179-rdt1179lv),wye,1
76,Transformer.tr(r:rdt1180-rdt1180lv),wye,1
77,Transformer.tr(r:rdt1181-rdt1181lv),wye,1
78,Transformer.tr(r:rdt1182-rdt1182lv),wye,1
79,Transformer.tr(r:rdt1183-rdt1183lv),wye,1
