hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 2611.05, 15.4673, 2592.54, 15.5405, 2610.5, 15.3586
0, 1800.00000, 2607.92, 15.4577, 2589.89, 15.5274, 2608, 15.3461
0, 2700.00000, 2604.49, 15.4256, 2587.43, 15.4993, 2605.77, 15.3192
1, 0.00000, 2619.14, 15.4581, 2602.53, 15.5327, 2620.79, 15.3527
1, 900.00000, 2611.85, 15.4176, 2594.08, 15.4839, 2612.71, 15.3054
1, 1800.00000, 2605.41, 15.3532, 2588.55, 15.4243, 2607.35, 15.2463
1, 2700.00000, 2606.63, 15.3337, 2589.68, 15.4039, 2608.38, 15.2251
2, 0.00000, 2627.27, 15.4107, 2609.4, 15.4746, 2628.16, 15.2967
2, 900.00000, 2682.52, 15.3622, 2665.93, 15.4316, 2684.88, 15.2585
2, 1800.00000, 2664.11, 15.2404, 2647.42, 15.3091, 2666.64, 15.1369
2, 2700.00000, 2681.82, 15.27, 2664.32, 15.3334, 2683.42, 15.1613
3, 0.00000, 2695.03, 15.2702, 2678.77, 15.3409, 2697.85, 15.1692
3, 900.00000, 2677.35, 15.1713, 2660.9, 15.2409, 2680.07, 15.0691
3, 1800.00000, 2671.51, 15.075, 2654.26, 15.1394, 2672.97, 14.9647
3, 2700.00000, 2691.88, 15.1092, 2675.48, 15.179, 2694.17, 15.0046
4, 0.00000, 2699.11, 15.0863, 2682.97, 15.1583, 2701.98, 14.9858
4, 900.00000, 2716.83, 15.0144, 2698.99, 15.0785, 2718.34, 14.9088
4, 1800.00000, 2724.92, 15.0549, 2707.32, 15.1216, 2726.87, 14.9528
4, 2700.00000, 2733.88, 15.0143, 2716.55, 15.083, 2736.05, 14.9148
5, 0.00000, 2748.51, 15.0617, 2729.62, 15.1215, 2749.46, 14.9558
5, 900.00000, 2890.92, 14.4036, 2872.14, 14.4577, 2892.07, 14.306
5, 1800.00000, 2905.19, 14.4293, 2887.25, 14.4891, 2906.74, 14.335
5, 2700.00000, 2903.84, 14.4339, 2884.41, 14.4862, 2904.06, 14.3311
6, 0.00000, 2948.53, 14.5179, 2929.57, 14.5741, 2949.42, 14.4195
6, 900.00000, 3106.82, 15.0432, 3077.67, 15.1359, 3099.35, 14.9905
6, 1800.00000, 3133.25, 15.1037, 3107.21, 15.1799, 3128.67, 15.0365
6, 2700.00000, 3169.71, 15.0752, 3139.5, 15.1738, 3158.92, 15.0333
7, 0.00000, 3167.6, 14.968, 3139.6, 15.0778, 3157.55, 14.9294
7, 900.00000, 3047.87, 15.9475, 3027.09, 16.0517, 3041.27, 15.8914
7, 1800.00000, 3129, 16.2105, 3105.01, 16.3141, 3124.52, 16.1521
7, 2700.00000, 3179.95, 15.8184, 3156.43, 15.9119, 3177.76, 15.7585
8, 0.00000, 3192.51, 15.5105, 3169.66, 15.5916, 3190.4, 15.4449
8, 900.00000, 3212.56, 15.3928, 3190.46, 15.4742, 3212.46, 15.3257
8, 1800.00000, 3212.33, 15.5003, 3191.18, 15.5827, 3213.35, 15.4312
8, 2700.00000, 3279.01, 15.5813, 3258.18, 15.6572, 3280.19, 15.5115
9, 0.00000, 3168.04, 15.3748, 3149.43, 15.452, 3167.48, 15.2927
9, 900.00000, 3130.42, 15.3656, 3117, 15.4487, 3130.87, 15.28
9, 1800.00000, 3165.4, 15.5067, 3149.04, 15.5817, 3164.92, 15.4179
9, 2700.00000, 3137.52, 15.5055, 3122.68, 15.5828, 3137.43, 15.4174
10, 0.00000, 3117.4, 15.5981, 3103.14, 15.6744, 3117.55, 15.5102
10, 900.00000, 3156.54, 15.8792, 3142.44, 15.9513, 3157.11, 15.7918
10, 1800.00000, 3137.67, 15.8762, 3123.87, 15.9489, 3138.54, 15.7907
10, 2700.00000, 3254.53, 16.2669, 3257.18, 16.2673, 3257.75, 16.1959
11, 0.00000, 3267.76, 16.2595, 3270.16, 16.258, 3278.36, 16.1725
11, 900.00000, 3284.62, 16.3366, 3269.47, 16.4072, 3296.13, 16.2467
11, 1800.00000, 3252.05, 16.3102, 3237.62, 16.3833, 3263.78, 16.2205
11, 2700.00000, 3237.33, 16.2574, 3222.82, 16.3296, 3248.82, 16.1672
12, 0.00000, 3204.96, 16.1389, 3190.49, 16.2142, 3208.53, 16.0642
12, 900.00000, 3224.5, 16.0321, 3211.69, 16.1057, 3227.4, 15.9602
12, 1800.00000, 3227.7, 16.0544, 3215.24, 16.124, 3230.42, 15.979
12, 2700.00000, 3208.48, 16.1074, 3196.31, 16.1779, 3210.81, 16.0291
13, 0.00000, 3209.17, 16.1771, 3196.3, 16.2504, 3211.01, 16.1019
13, 900.00000, 3205.85, 16.1518, 3191.93, 16.2307, 3207.25, 16.0824
13, 1800.00000, 3243.47, 16.281, 3229.62, 16.3617, 3244.71, 16.2128
13, 2700.00000, 3246.12, 16.3048, 3232.44, 16.3854, 3248.04, 16.2369
14, 0.00000, 3246.04, 16.3118, 3232.42, 16.3903, 3248.2, 16.242
14, 900.00000, 3253.19, 16.2109, 3240.7, 16.2864, 3255.52, 16.1383
14, 1800.00000, 3187.69, 16.056, 3175.3, 16.13, 3190.16, 15.9807
14, 2700.00000, 3165.78, 16.0135, 3153.46, 16.0866, 3165.62, 15.9253
15, 0.00000, 3239.08, 16.2573, 3226.43, 16.3303, 3238.22, 16.1704
15, 900.00000, 3382.11, 15.8188, 3371.37, 15.884, 3380.65, 15.7348
15, 1800.00000, 3292.51, 16.316, 3282, 16.3808, 3290.38, 16.2295
15, 2700.00000, 3289.75, 16.3258, 3269.92, 16.4241, 3281.21, 16.2655
16, 0.00000, 3249.52, 16.2966, 3227.69, 16.4056, 3239.31, 16.2428
16, 900.00000, 3214.44, 16.269, 3193.49, 16.3778, 3205.01, 16.2071
16, 1800.00000, 3141.99, 16.0084, 3117.89, 16.1147, 3129.26, 15.9388
16, 2700.00000, 3202.63, 16.1224, 3178.56, 16.2307, 3189.22, 16.0612
17, 0.00000, 3188.01, 16.0921, 3167.46, 16.2016, 3175.35, 16.0511
17, 900.00000, 3229.9, 16.2949, 3216, 16.3856, 3220.64, 16.2364
17, 1800.00000, 3215.46, 16.365, 3204.25, 16.4481, 3209.53, 16.2935
17, 2700.00000, 3226.38, 16.3255, 3215.77, 16.4049, 3219.79, 16.2558
18, 0.00000, 3295.11, 16.1506, 3284.9, 16.2248, 3288.37, 16.0812
18, 900.00000, 3313.41, 16.0462, 3307.52, 16.1205, 3307.19, 15.9833
18, 1800.00000, 3220.55, 16.2261, 3216.4, 16.3008, 3215.8, 16.1609
18, 2700.00000, 3179.19, 16.2116, 3172.47, 16.2892, 3172.32, 16.1476
19, 0.00000, 3123.31, 16.0551, 3104.72, 16.1468, 3109.01, 16.0154
19, 900.00000, 3054.38, 15.6119, 3051.47, 15.6438, 3033.89, 15.5832
19, 1800.00000, 3078.55, 15.7324, 3075.71, 15.7604, 3057.86, 15.7008
19, 2700.00000, 3092.13, 15.8307, 3090.73, 15.8595, 3075.31, 15.8032
20, 0.00000, 3058.34, 15.7998, 3046.41, 15.8746, 3049.35, 15.7468
20, 900.00000, 3011.93, 15.8759, 2999.96, 15.9503, 3002.28, 15.803
20, 1800.00000, 3030.31, 16.0652, 3018.27, 16.1432, 3022.44, 15.9975
20, 2700.00000, 3020.36, 16.0846, 3009.1, 16.1668, 3014.1, 16.0212
21, 0.00000, 2939.22, 15.8823, 2927.27, 15.9664, 2930.69, 15.8101
21, 900.00000, 2912.01, 16.0083, 2899.15, 16.0855, 2905.49, 15.9213
21, 1800.00000, 2895.57, 16.1404, 2884.96, 16.2198, 2891.6, 16.0582
