Timestamp,Circuit.feeder_p2udt3761-p2uhs2_1247x__LineLosses
2020-01-01 00:00:00,(46.73117768600896+105.45476427799187j)
2020-01-01 00:15:00,(46.6470767423911+105.22834226137299j)
2020-01-01 00:30:00,(46.59550330796363+105.07265656991281j)
2020-01-01 00:45:00,(46.91610218352017+106.124594941893j)
2020-01-01 01:00:00,(46.813993428663004+105.70091980347502j)
2020-01-01 01:15:00,(46.65004074822163+105.19573056770213j)
2020-01-01 01:30:00,(46.66545264026029+105.2469296551464j)
2020-01-01 01:45:00,(47.246019875223446+106.9727198418773j)
2020-01-01 02:00:00,(48.743855674354684+111.31335191712803j)
2020-01-01 02:15:00,(47.82551861288858+108.84480525167905j)
2020-01-01 02:30:00,(48.43043055460239+110.52307871810167j)
2020-01-01 02:45:00,(48.987911342634206+112.08104039474924j)
2020-01-01 03:00:00,(48.0408204127687+109.53785556569403j)
2020-01-01 03:15:00,(48.19639303597126+109.64041852299167j)
2020-01-01 03:30:00,(48.431731122158176+110.65799338059192j)
2020-01-01 03:45:00,(48.64827763838132+111.278365787618j)
2020-01-01 04:00:00,(49.091782653125314+112.61905825357421j)
2020-01-01 04:15:00,(49.38506222629826+113.45678370231087j)
2020-01-01 04:30:00,(49.6122966325534+114.09266019304427j)
2020-01-01 04:45:00,(50.03608730438658+115.20845407382122j)
2020-01-01 05:00:00,(53.02269863735132+124.80451162493517j)
2020-01-01 05:15:00,(53.512323840231325+126.12851193050479j)
2020-01-01 05:30:00,(54.08621142069351+127.20339014529651j)
2020-01-01 05:45:00,(55.58525336229567+131.3651783866323j)
2020-01-01 06:00:00,(61.091463062426044+146.83353488272706j)
2020-01-01 06:15:00,(62.39392401645182+150.14055452506074j)
2020-01-01 06:30:00,(64.14637283265967+154.23468694669737j)
2020-01-01 06:45:00,(64.4116151911538+154.3963189812423j)
2020-01-01 07:00:00,(62.525819586925216+147.4643545257943j)
2020-01-01 07:15:00,(65.50901791587938+156.1288728034623j)
2020-01-01 07:30:00,(67.53673204733433+161.77773036978414j)
2020-01-01 07:45:00,(68.29203326332174+163.5660922969974j)
2020-01-01 08:00:00,(68.6407075135887+164.79389208717075j)
2020-01-01 08:15:00,(68.05742422897788+163.5441587136306j)
2020-01-01 08:30:00,(70.43690067151063+170.6441853965899j)
2020-01-01 08:45:00,(66.3703959182809+158.34617709081792j)
2020-01-01 09:00:00,(65.29363932021165+154.9359213722964j)
2020-01-01 09:15:00,(66.52465307357225+158.6341764879585j)
2020-01-01 09:30:00,(65.90259429282364+156.37357651718747j)
2020-01-01 09:45:00,(65.66285551640311+155.18469635010024j)
2020-01-01 10:00:00,(67.78178191528069+160.64636576039487j)
2020-01-01 10:15:00,(67.40399984697983+159.0827115805002j)
2020-01-01 10:30:00,(72.19806006623986+172.30912448734423j)
2020-01-01 10:45:00,(72.69725856008888+173.92033461620264j)
2020-01-01 11:00:00,(72.99836539710317+175.21114756768378j)
2020-01-01 11:15:00,(71.32474515889804+170.67008198268562j)
2020-01-01 11:30:00,(70.58171739673328+168.63691783546162j)
2020-01-01 11:45:00,(69.5708239394794+165.27362466370744j)
2020-01-01 12:00:00,(69.41202981218021+165.95209742971863j)
2020-01-01 12:15:00,(69.44061257526363+166.11202556851714j)
2020-01-01 12:30:00,(68.93017812784252+164.50245765271634j)
2020-01-01 12:45:00,(69.08121034829719+164.84636278309907j)
2020-01-01 13:00:00,(68.83253386996005+164.3008084464322j)
2020-01-01 13:15:00,(70.55397114843126+169.01794720941334j)
2020-01-01 13:30:00,(70.52642425478412+169.09092870109404j)
2020-01-01 13:45:00,(70.49018629489966+169.02839832242924j)
2020-01-01 14:00:00,(70.30971072808914+168.82355869496632j)
2020-01-01 14:15:00,(67.8395537100824+161.7918585117862j)
2020-01-01 14:30:00,(67.34084563437071+160.14971897626262j)
2020-01-01 14:45:00,(70.6067395760101+168.9202724665835j)
2020-01-01 15:00:00,(74.98578847880236+181.67023458103344j)
2020-01-01 15:15:00,(72.35168696912402+174.2139865989622j)
2020-01-01 15:30:00,(71.95732921017135+173.32918603196995j)
2020-01-01 15:45:00,(70.25468440458869+168.7134938169684j)
2020-01-01 16:00:00,(68.09307886088853+163.07434903157196j)
2020-01-01 16:15:00,(64.66097948409295+154.0112453062856j)
2020-01-01 16:30:00,(66.1800709866915+159.2274668938566j)
2020-01-01 16:45:00,(65.6509472419007+157.7179034162591j)
2020-01-01 17:00:00,(67.59396002551946+162.95668165977918j)
2020-01-01 17:15:00,(67.48370696767063+162.32838785418068j)
2020-01-01 17:30:00,(67.90237512078454+163.4957882158224j)
2020-01-01 17:45:00,(70.33274428170701+169.82624951457606j)
2020-01-01 18:00:00,(70.72419847273525+171.45211856501052j)
2020-01-01 18:15:00,(66.9053119611131+161.71429710139833j)
2020-01-01 18:30:00,(65.12261990358743+157.054928355587j)
2020-01-01 18:45:00,(63.040614616838226+150.8079009740987j)
2020-01-01 19:00:00,(60.674849452875684+143.25048188938118j)
2020-01-01 19:15:00,(61.81272399137741+146.35585200321785j)
2020-01-01 19:30:00,(62.68845724132968+148.6504405809243j)
2020-01-01 19:45:00,(60.958947539087475+144.90018634021092j)
2020-01-01 20:00:00,(59.1694815755743+140.49399960565682j)
2020-01-01 20:15:00,(59.806324493425436+142.6808198864404j)
2020-01-01 20:30:00,(58.87147205930269+140.82009978182407j)
2020-01-01 20:45:00,(56.40690296718362+133.3309755538112j)
2020-01-01 21:00:00,(55.856120084975956+131.533002966539j)
2020-01-01 21:15:00,(54.82937746080326+129.34698128281283j)
2020-01-01 21:30:00,(54.113976683358665+127.52465851619762j)
2020-01-01 21:45:00,(52.09448037133552+121.27898133463623j)
2020-01-01 22:00:00,(49.99738394674391+115.61502513036416j)
2020-01-01 22:15:00,(47.92655814382011+110.8785018691761j)
2020-01-01 22:30:00,(44.8709961501736+102.80128739024609j)
2020-01-01 22:45:00,(42.01266207401245+94.70184210452649j)
2020-01-01 23:00:00,(40.223506997130414+89.72199074660736j)
2020-01-01 23:15:00,(38.832833312769786+86.20727195235385j)
2020-01-01 23:30:00,(37.88917156397172+83.82594393641787j)
2020-01-01 23:45:00,(35.84291604178766+78.4611469896384j)
