Timestamp,Circuit.feeder_p2udt3761-p2uhs2_1247x__Losses
2020-01-01 00:00:00,(97790.98209914878+132927.67072414156j)
2020-01-01 00:15:00,(97624.37223120316+132527.64250417528j)
2020-01-01 00:30:00,(97508.33763232858+132219.69482667607j)
2020-01-01 00:45:00,(98093.88361507047+134287.16756302275j)
2020-01-01 01:00:00,(97769.43132929194+133175.2881171607j)
2020-01-01 01:15:00,(97423.01556111645+131962.72156687878j)
2020-01-01 01:30:00,(97415.92498170673+131947.63027661867j)
2020-01-01 01:45:00,(98324.36821763223+134897.58284308307j)
2020-01-01 02:00:00,(101298.01908832257+143138.50199235225j)
2020-01-01 02:15:00,(100025.26648171611+139736.36923228507j)
2020-01-01 02:30:00,(100870.42562819313+142081.458043057j)
2020-01-01 02:45:00,(101672.18768675417+144337.6138171746j)
2020-01-01 03:00:00,(100469.33846457305+140969.98924020573j)
2020-01-01 03:15:00,(100217.21431606497+139158.94894910828j)
2020-01-01 03:30:00,(101047.43749612766+142573.6610493519j)
2020-01-01 03:45:00,(101326.6619354804+143381.55618593958j)
2020-01-01 04:00:00,(101981.46163633683+145175.87284314958j)
2020-01-01 04:15:00,(102361.9771508945+146603.2654111286j)
2020-01-01 04:30:00,(102672.12378987548+147186.24684164685j)
2020-01-01 04:45:00,(103231.02089350857+148628.36327698323j)
2020-01-01 05:00:00,(105969.81655986463+157673.4300262256j)
2020-01-01 05:15:00,(106647.87047640872+159506.33952540503j)
2020-01-01 05:30:00,(106671.63241039177+158872.00818211545j)
2020-01-01 05:45:00,(108991.0641729525+164911.70958149145j)
2020-01-01 06:00:00,(117807.02948647816+189421.13096656714j)
2020-01-01 06:15:00,(119266.1450443563+193148.53386918444j)
2020-01-01 06:30:00,(120830.62311794817+196896.0641043664j)
2020-01-01 06:45:00,(120658.20566405765+195706.39878194488j)
2020-01-01 07:00:00,(119534.84952867932+190463.76174978673j)
2020-01-01 07:15:00,(124901.15842722729+205765.46453100402j)
2020-01-01 07:30:00,(127958.63241502446+212741.30993086824j)
2020-01-01 07:45:00,(128821.7971444525+214939.82938983972j)
2020-01-01 08:00:00,(128569.2490001198+216563.12431862595j)
2020-01-01 08:15:00,(127611.89436838114+213492.4981346213j)
2020-01-01 08:30:00,(132604.562756081+226972.00887878757j)
2020-01-01 08:45:00,(123438.52078192131+202077.217013283j)
2020-01-01 09:00:00,(120879.22294401341+194272.0112332589j)
2020-01-01 09:15:00,(123110.16496922256+200847.5639433192j)
2020-01-01 09:30:00,(121526.77328359552+196220.2296825384j)
2020-01-01 09:45:00,(120941.64374634683+194254.1577708201j)
2020-01-01 10:00:00,(124172.93127407247+202703.08354115678j)
2020-01-01 10:15:00,(123089.96062815668+198570.35475749493j)
2020-01-01 10:30:00,(131170.46106410134+220010.09858075273j)
2020-01-01 10:45:00,(131974.05315770794+222614.35082360686j)
