Timestamp,Circuit.feeder_p2udt3761-p2uhs2_1247x__TotalPower
2020-01-01 00:00:00,(-7531.521592229649-2082.3460961994056j)
2020-01-01 00:15:00,(-7523.958210525143-2078.595189122537j)
2020-01-01 00:30:00,(-7517.183347053075-2072.6241470140135j)
2020-01-01 00:45:00,(-7559.14231221086-2088.898559909124j)
2020-01-01 01:00:00,(-7537.823791439833-2076.5613510543412j)
2020-01-01 01:15:00,(-7523.322823515745-2063.9474350552014j)
2020-01-01 01:30:00,(-7527.318352166564-2062.162555803926j)
2020-01-01 01:45:00,(-7582.661930520762-2087.7320608481696j)
2020-01-01 02:00:00,(-7746.543261429532-2126.5446358406975j)
2020-01-01 02:15:00,(-7698.014909966927-2095.6307487267613j)
2020-01-01 02:30:00,(-7746.632543340228-2112.6555673764033j)
2020-01-01 02:45:00,(-7787.051546231566-2124.440644238213j)
2020-01-01 03:00:00,(-7739.258633536895-2096.9420913063227j)
2020-01-01 03:15:00,(-7724.029656822717-2078.2526372932466j)
2020-01-01 03:30:00,(-7783.269464137609-2099.7090424338717j)
2020-01-01 03:45:00,(-7805.788427584145-2102.745973763474j)
2020-01-01 04:00:00,(-7856.971833905004-2105.330603048637j)
2020-01-01 04:15:00,(-7879.500230345067-2117.6290364914203j)
2020-01-01 04:30:00,(-7907.382349129633-2119.340566013235j)
2020-01-01 04:45:00,(-7945.517522282155-2135.8567825168957j)
2020-01-01 05:00:00,(-8383.618817108974-2150.8207928650477j)
2020-01-01 05:15:00,(-8425.19841398083-2165.9878134270307j)
2020-01-01 05:30:00,(-8418.58781372128-2164.174740232425j)
2020-01-01 05:45:00,(-8546.190583395011-2210.7801583618384j)
2020-01-01 06:00:00,(-8964.493624276518-2411.362225622948j)
2020-01-01 06:15:00,(-9045.358414266231-2441.7311071918757j)
2020-01-01 06:30:00,(-9141.472724449839-2465.5220013968565j)
2020-01-01 06:45:00,(-9142.596964513701-2448.299779283672j)
2020-01-01 07:00:00,(-8764.628939153492-2507.1397478475624j)
2020-01-01 07:15:00,(-8985.342433851869-2614.707720248289j)
2020-01-01 07:30:00,(-9153.185884980063-2595.1620275347723j)
2020-01-01 07:45:00,(-9204.44646683519-2555.30133993745j)
2020-01-01 08:00:00,(-9270.309092870553-2553.0187034886712j)
2020-01-01 08:15:00,(-9266.89589577604-2570.717701985117j)
2020-01-01 08:30:00,(-9456.13509020803-2637.1292082116324j)
2020-01-01 08:45:00,(-9146.008811122041-2514.6687517767373j)
2020-01-01 09:00:00,(-9043.104239203936-2484.8788153858077j)
2020-01-01 09:15:00,(-9134.338767820349-2533.481705215907j)
2020-01-01 09:30:00,(-9055.831199092061-2511.721829759782j)
2020-01-01 09:45:00,(-8994.342408927143-2510.2724056107904j)
2020-01-01 10:00:00,(-9095.206100627453-2586.332279992043j)
2020-01-01 10:15:00,(-9041.709564922248-2570.79136847507j)
2020-01-01 10:30:00,(-9378.878417933662-2732.3940953844412j)
2020-01-01 10:45:00,(-9425.076447514442-2743.5808917520835j)
2020-01-01 11:00:00,(-9452.767898601178-2769.5282105452234j)
2020-01-01 11:15:00,(-9361.330750825751-2738.248882837072j)
2020-01-01 11:30:00,(-9321.028055090135-2717.0371420495185j)
2020-01-01 11:45:00,(-9225.559538395275-2669.625889472989j)
2020-01-01 12:00:00,(-9287.677449026092-2668.8949536985647j)
2020-01-01 12:15:00,(-9296.193997132254-2674.8359930353117j)
2020-01-01 12:30:00,(-9238.2364353825-2667.298480825282j)
2020-01-01 12:45:00,(-9235.748844283726-2679.0956070517177j)
2020-01-01 13:00:00,(-9225.754568783213-2672.4465344779564j)
2020-01-01 13:15:00,(-9327.687102846785-2724.9261573879094j)
2020-01-01 13:30:00,(-9335.215473068201-2731.3851742865995j)
2020-01-01 13:45:00,(-9335.007177098856-2732.3225593342863j)
2020-01-01 14:00:00,(-9361.736014999211-2721.9146924793754j)
2020-01-01 14:15:00,(-9180.74435479495-2642.1852340030437j)
2020-01-01 14:30:00,(-9117.052646050866-2615.717771411671j)
2020-01-01 14:45:00,(-9315.566741528992-2715.624341848231j)
2020-01-01 15:00:00,(-9750.192090998306-2761.259836253072j)
2020-01-01 15:15:00,(-9468.020066336328-2770.2131514255407j)
2020-01-01 15:30:00,(-9443.477683985444-2768.331455130088j)
2020-01-01 15:45:00,(-9325.3471789269-2729.560630075585j)
2020-01-01 16:00:00,(-9227.38912392413-2695.58667597614j)
2020-01-01 16:15:00,(-9024.756573422126-2591.344546036745j)
2020-01-01 16:30:00,(-9193.01741958224-2659.970274173789j)
2020-01-01 16:45:00,(-9156.350147651761-2645.408846602956j)
2020-01-01 17:00:00,(-9277.465872304243-2713.850488730627j)
2020-01-01 17:15:00,(-9238.92946314128-2713.6991492784496j)
2020-01-01 17:30:00,(-9272.211071408869-2716.4275707245824j)
2020-01-01 17:45:00,(-9478.447998001553-2745.1197022695283j)
2020-01-01 18:00:00,(-9540.995690321124-2744.8226575603503j)
2020-01-01 18:15:00,(-9268.33416141329-2697.865372035008j)
2020-01-01 18:30:00,(-9145.163476556037-2659.7170292382343j)
2020-01-01 18:45:00,(-8972.294879890123-2585.078020311021j)
2020-01-01 19:00:00,(-8802.759734458385-2459.9762412098285j)
2020-01-01 19:15:00,(-8866.925190229595-2497.5721627983394j)
2020-01-01 19:30:00,(-8906.877874210668-2525.6070221326536j)
2020-01-01 19:45:00,(-8808.016108819058-2493.5989221593595j)
2020-01-01 20:00:00,(-8670.400230578127-2465.9742798461825j)
2020-01-01 20:15:00,(-8716.422616776048-2510.6460203245274j)
2020-01-01 20:30:00,(-8689.257786425644-2506.520526851037j)
2020-01-01 20:45:00,(-8461.4191749954-2408.1306700416912j)
2020-01-01 21:00:00,(-8378.77617504057-2403.364377686972j)
2020-01-01 21:15:00,(-8330.334759845911-2410.6301601250198j)
2020-01-01 21:30:00,(-8266.621310850522-2385.692975677792j)
2020-01-01 21:45:00,(-8051.18558635322-2309.5951742394345j)
2020-01-01 22:00:00,(-7866.110002421845-2266.9759614479085j)
2020-01-01 22:15:00,(-7730.25001802511-2234.004086006913j)
2020-01-01 22:30:00,(-7492.8548730009215-2142.7565002920246j)
2020-01-01 22:45:00,(-7248.399424910371-2044.2778437878083j)
2020-01-01 23:00:00,(-7044.702532393397-2004.063597492964j)
2020-01-01 23:15:00,(-6922.461758093629-1963.4885410036345j)
2020-01-01 23:30:00,(-6834.6907332018145-1946.0566620513118j)
2020-01-01 23:45:00,(-6659.400822456554-1875.9911261538055j)
