,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p2ulv189,3,p2ulv189.1.2.3,0.48,180.47676153637,0.9188,1,res_kw_13430_pu,,,,wye,77.5493473669689,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,196.432590808396,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv196,3,p2ulv196.1.2.3,0.48,63.6174843229433,0.9538,1,res_kw_10459_pu,,,,wye,20.0395113769833,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,66.6990729156574,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv197,3,p2ulv197.1.2.3,0.48,32.6148366240711,0.9372,1,res_kw_5953_pu,,,,wye,12.1428164827986,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,34.8019476487994,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv288,3,p2ulv288.1.2.3,0.48,24.6954745936003,0.9702,1,com_kw_2247_pu,,,,wye,6.16752253971782,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,25.4539741431684,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv289,3,p2ulv289.1.2.3,0.48,27.3679354522533,0.9915,1,com_kw_29503_pu,,,,wye,3.58639283041718,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,27.6019221151856,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv290,3,p2ulv290.1.2.3,0.48,157.955486881825,0.9981,1,res_kw_4620_pu,,,,wye,9.83695546528844,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,158.261497303988,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv291,3,p2ulv291.1.2.3,0.48,120.050718831096,0.9908,1,res_kw_9622_pu,,,,wye,16.4033446053866,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,121.166186727593,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv292_1,1,p2ulv292.1,0.12,3.52822378231954,0.9867,1,com_kw_29376_pu,,,,wye,0.581928930808672,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.57589210388644,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv292_2,1,p2ulv292.2,0.12,3.52822378231954,0.9867,1,com_kw_29376_pu,,,,wye,0.581928930808672,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,3.57589210388644,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv293_1,1,p2ulv293.1,0.12,6.17192126563917,0.9989,1,com_kw_33396_pu,,,,wye,0.296216185174225,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,6.17902550064395,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
