,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:p2udt158-p2udt158lv),3,2,2,p2udt158lv,wye ,0.48,1000,1,0.798815,-1,0,"['p2udt158', 'p2udt158lv']","['delta', 'wye']","['12.47', '0.48']","['1000', '1000']","['1', '1']",5.62,35,30,['5.62'],2,.8,.8,65,15,1.59763,0.2,1100,1500,n,1.1,0.9,32,,0,1,"['0.798815', '0.798815']",,,NO,5.62,35,30,Lag,"7.493468, (-50.676), 334.8843, (129.19), 7.492785, (-170.67), 334.8533, (9.1885), 7.492801, (69.322), 334.854, (-110.82), ",shell,0.0005214664,1,['1100'],50.929,69.449,0.007,100,36,60,True,
Transformer.tr(r:p2udt162-p2udt162lv),3,2,2,p2udt162lv,wye ,0.48,100,1,0.805475,-1,0,"['p2udt162', 'p2udt162lv']","['delta', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.3820073, (-61.767), 16.54287, (116.87), 0.3819751, (178.24), 16.54136, (-3.1262), 0.3819746, (58.23), 16.54134, (-123.13), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
Transformer.tr(r:p2udt163-p2udt163lv),3,2,2,p2udt163lv,wye ,0.48,150,1,1.0784,-1,0,"['p2udt163', 'p2udt163lv']","['delta', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"1.023144, (-55.52), 45.18043, (123.98), 1.023054, (-175.52), 45.17632, (3.9809), 1.023056, (64.477), 45.17639, (-116.02), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt202-p2udt202lv),3,2,2,p2udt202lv,wye ,0.48,300,1,0.91198,-1,0,"['p2udt202', 'p2udt202lv']","['delta', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"1.781171, (-45.308), 78.99165, (134.48), 1.781044, (-165.3), 78.98585, (14.479), 1.781031, (74.69), 78.98527, (-105.53), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:p2udt203-p2udt203lv),1,3,3,p2udt203lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt203.1', 'p2udt203lv.1.0', 'p2udt203lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.461588, (-7.4452), 43.35448, (172.43), 43.34486, (172.53), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt204-p2udt204lv),1,3,3,p2udt204lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt204.1', 'p2udt204lv.1.0', 'p2udt204lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.623798, (-6.1237), 48.21974, (173.77), 48.20994, (173.88), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt205-p2udt205lv),3,2,2,p2udt205lv,wye ,0.48,500,1,0.73225,-1,0,"['p2udt205', 'p2udt205lv']","['delta', 'wye']","['12.47', '0.48']","['500', '500']","['1', '1']",4.36,35,30,['4.36'],2,.8,.8,65,15,1.4645,0.266,550,750,n,1.1,0.9,32,,0,1,"['0.73225', '0.73225']",,,NO,4.36,35,30,Lag,"3.337261, (-59.806), 148.748, (119.89), 3.337289, (-179.81), 148.7493, (-0.10425), 3.337198, (60.195), 148.7451, (-120.1), ",shell,0.0009560256,1,['1100'],25.465,34.724,0.007,100,36,60,True,
Transformer.tr(r:p2udt206-p2udt206lv),1,3,3,p2udt206lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt206.3', 'p2udt206lv.1.0', 'p2udt206lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.248828, (109.44), 36.97634, (-70.729), 36.9665, (-70.647), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt207-p2udt207lv),1,3,3,p2udt207lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt207.2', 'p2udt207lv.1.0', 'p2udt207lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8791201, (-134.5), 25.88988, (45.214), 25.88306, (45.272), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt208-p2udt208lv),3,2,2,p2udt208lv,wye ,0.48,150,1,1.0784,-1,0,"['p2udt208', 'p2udt208lv']","['delta', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"0.8065038, (-63.135), 35.49421, (116.05), 0.8065204, (176.87), 35.49497, (-3.9501), 0.8064901, (56.867), 35.49358, (-123.95), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
