,Transformer,HighSideConnection,NumPhases
0,Transformer.tr(r:p2udt158-p2udt158lv),delta,3
1,Transformer.tr(r:p2udt162-p2udt162lv),delta,3
2,Transformer.tr(r:p2udt163-p2udt163lv),delta,3
3,Transformer.tr(r:p2udt202-p2udt202lv),delta,3
4,Transformer.tr(r:p2udt203-p2udt203lv),wye,1
5,Transformer.tr(r:p2udt204-p2udt204lv),wye,1
6,Transformer.tr(r:p2udt205-p2udt205lv),delta,3
7,Transformer.tr(r:p2udt206-p2udt206lv),wye,1
8,Transformer.tr(r:p2udt207-p2udt207lv),wye,1
9,Transformer.tr(r:p2udt208-p2udt208lv),delta,3
10,Transformer.tr(r:p2udt209-p2udt209lv),delta,3
11,Transformer.tr(r:p2udt210-p2udt210lv),delta,3
12,Transformer.tr(r:p2udt211-p2udt211lv),wye,1
13,Transformer.tr(r:p2udt212-p2udt212lv),delta,3
14,Transformer.tr(r:p2udt213-p2udt213lv),wye,1
15,Transformer.tr(r:p2udt214-p2udt214lv),delta,3
16,Transformer.tr(r:p2udt215-p2udt215lv),delta,3
17,Transformer.tr(r:p2udt216-p2udt216lv),wye,1
18,Transformer.tr(r:p2udt217-p2udt217lv),wye,1
19,Transformer.tr(r:p2udt218-p2udt218lv),wye,1
20,Transformer.tr(r:p2udt257-p2udt257lv),wye,1
21,Transformer.tr(r:p2udt258-p2udt258lv),wye,1
22,Transformer.tr(r:p2udt596-p2udt596lv),wye,1
23,Transformer.tr(r:p2udt599-p2udt599lv),delta,3
24,Transformer.tr(r:p2udt602-p2udt602lv),delta,3
25,Transformer.tr(r:p2udt739-p2udt739lv),delta,3
26,Transformer.tr(r:p2udt771-p2udt771lv),wye,1
27,Transformer.tr(r:p2udt1142-p2udt1142lv),wye,1
28,Transformer.tr(r:p2udt1255-p2udt1255lv),delta,3
29,Transformer.tr(r:p2udt1279-p2udt1279lv),delta,3
30,Transformer.tr(r:p2udt1622-p2udt1622lv),delta,3
31,Transformer.tr(r:p2udt1664-p2udt1664lv),wye,1
32,Transformer.tr(r:p2udt1714-p2udt1714lv),wye,1
33,Transformer.tr(r:p2udt1765-p2udt1765lv),wye,1
34,Transformer.tr(r:p2udt2221-p2udt2221lv),delta,3
35,Transformer.tr(r:p2udt2242-p2udt2242lv),delta,3
36,Transformer.tr(r:p2udt2270-p2udt2270lv),wye,1
37,Transformer.tr(r:p2udt2637-p2udt2637lv),delta,3
38,Transformer.tr(r:p2udt2683-p2udt2683lv),wye,1
39,Transformer.tr(r:p2udt2712-p2udt2712lv),delta,3
40,Transformer.tr(r:p2udt2808-p2udt2808lv),delta,3
41,Transformer.tr(r:p2udt3226-p2udt3226lv),delta,3
42,Transformer.tr(r:p2udt3637-p2udt3637lv),delta,3
43,Transformer.tr(r:p2udt3685-p2udt3685lv),delta,3
44,Transformer.tr(r:p2udt3751-p2udt3751lv),wye,1
45,Transformer.tr(r:p2udt3760-p2udt3760lv),delta,3
46,Transformer.tr(r:p2udt3761-p2udt3761lv),delta,3
47,Transformer.tr(r:p2udt3762-p2udt3762lv),delta,3
48,Transformer.tr(r:p2udt4200-p2udt4200lv),wye,1
49,Transformer.tr(r:p2udt4986-p2udt4986lv),delta,3
50,Transformer.tr(r:p2udt5788-p2udt5788lv),delta,3
51,Transformer.tr(r:p2udt5789-p2udt5789lv),delta,3
52,Transformer.tr(r:p2udt9646-p2udt9646lv),delta,3
53,Transformer.tr(r:p2udt9927-p2udt9927lv),delta,3
54,Transformer.tr(r:p2udt11794-p2udt11794lv),delta,3
55,Transformer.tr(r:p2udt11798-p2udt11798lv),delta,3
56,Transformer.tr(r:p2udt11871-p2udt11871lv),wye,1
57,Transformer.tr(r:p2udt11876-p2udt11876lv),delta,3
58,Transformer.tr(r:p2udt11881-p2udt11881lv),delta,3
59,Transformer.tr(r:p2udt11906-p2udt11906lv),wye,1
60,Transformer.tr(r:p2udt12007-p2udt12007lv),delta,3
61,Transformer.tr(r:p2udt12114-p2udt12114lv),wye,1
62,Transformer.tr(r:p2udt12128-p2udt12128lv),delta,3
63,Transformer.tr(r:p2udt12333-p2udt12333lv),wye,1
64,Transformer.tr(r:p2udt12347-p2udt12347lv),delta,3
