hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 1427.55, 19.1614, 1483.84, 19.4033, 1468.9, 19.6812
0, 1800.00000, 1425.36, 19.0456, 1495.34, 19.3381, 1477.98, 19.5998
0, 2700.00000, 1436.3, 18.9756, 1504.62, 19.1938, 1477.09, 19.4147
1, 0.00000, 1472.07, 19.017, 1506.89, 19.0902, 1498.25, 19.2906
1, 900.00000, 1434.14, 18.8597, 1480.78, 19.1476, 1496.1, 19.0563
1, 1800.00000, 1444.51, 18.7077, 1465.77, 19.0547, 1483.96, 19.0615
1, 2700.00000, 1437.49, 18.5949, 1455.68, 18.9411, 1458.38, 18.9636
2, 0.00000, 1438.14, 18.5391, 1468.52, 18.9413, 1455.43, 18.9167
2, 900.00000, 1481.54, 18.0935, 1506.54, 18.462, 1512.94, 18.6103
2, 1800.00000, 1450.13, 18.1757, 1482.1, 18.4438, 1478.04, 18.5489
2, 2700.00000, 1465.1, 17.9211, 1502.88, 18.1533, 1486.4, 18.2552
3, 0.00000, 1466.05, 17.8186, 1505.14, 18.031, 1491.07, 18.168
3, 900.00000, 1513.39, 17.4251, 1541.37, 17.6943, 1540.83, 17.688
3, 1800.00000, 1521.28, 17.5044, 1550.22, 17.6263, 1538.64, 17.6778
3, 2700.00000, 1534.62, 17.412, 1558.77, 17.6106, 1548.3, 17.5945
4, 0.00000, 1544.87, 17.2398, 1563.08, 17.537, 1556.83, 17.4546
4, 900.00000, 1506.75, 17.5848, 1574.58, 17.4783, 1597.81, 17.6772
4, 1800.00000, 1527.02, 17.6299, 1605.75, 17.7749, 1602.75, 17.7644
4, 2700.00000, 1519.18, 17.4706, 1572.8, 17.3465, 1584.73, 17.5646
5, 0.00000, 1543.12, 17.5508, 1578.38, 17.3462, 1594.81, 17.391
5, 900.00000, 1603.35, 17.6189, 1661.37, 17.4785, 1609, 17.6158
5, 1800.00000, 1597.18, 17.531, 1641.04, 17.3594, 1597.1, 17.6431
5, 2700.00000, 1639.68, 17.4833, 1709.59, 17.4548, 1692.63, 17.6396
6, 0.00000, 1641.59, 17.415, 1725.17, 17.4788, 1707.67, 17.6777
6, 900.00000, 1773.21, 17.4486, 1851.29, 17.307, 1878.41, 17.424
6, 1800.00000, 1780.7, 17.5052, 1875.97, 17.4433, 1904.07, 17.7055
6, 2700.00000, 1806, 17.5119, 1887.74, 17.465, 1947.61, 17.6366
7, 0.00000, 1837.89, 17.4469, 1925.22, 17.2184, 1960.89, 17.5306
7, 900.00000, 1990.49, 17.6574, 2055.7, 17.9004, 2102, 18.0588
7, 1800.00000, 1940.07, 17.7067, 2002.17, 18.0138, 2060.95, 17.9749
7, 2700.00000, 1933.29, 17.9194, 1944.86, 18.4955, 1969.57, 18.5171
8, 0.00000, 1855.21, 19.2057, 1872.15, 19.6543, 1910.24, 19.8087
8, 900.00000, 1835.52, 20.3965, 1832.1, 21.0315, 1854.47, 21.003
8, 1800.00000, 1739.97, 21.4653, 1738.55, 22.4228, 1722.7, 22.1228
8, 2700.00000, 1715.49, 22.6816, 1724.57, 24.0173, 1685.62, 23.5858
9, 0.00000, 1662.64, 24.1747, 1650.34, 24.7802, 1598.78, 24.9985
9, 900.00000, 1618.68, 25.4899, 1627.7, 25.9605, 1562.1, 26.1545
