hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 1428.49, 19.1487, 1485.32, 19.3842, 1470.07, 19.6656
0, 1800.00000, 1426.31, 19.0329, 1496.83, 19.3191, 1479.15, 19.5843
0, 2700.00000, 1437.25, 18.963, 1506.11, 19.1752, 1478.26, 19.3993
1, 0.00000, 1473.02, 19.0048, 1508.37, 19.0717, 1499.42, 19.2755
1, 900.00000, 1435.09, 18.8473, 1482.26, 19.1286, 1497.27, 19.0414
1, 1800.00000, 1445.47, 18.6954, 1467.25, 19.0356, 1485.13, 19.0465
1, 2700.00000, 1438.44, 18.5826, 1457.17, 18.922, 1459.55, 18.9484
2, 0.00000, 1439.1, 18.5269, 1470, 18.9224, 1456.6, 18.9015
2, 900.00000, 1482.5, 18.082, 1508.03, 18.4441, 1514.12, 18.5959
2, 1800.00000, 1451.08, 18.1638, 1483.59, 18.4256, 1479.21, 18.5342
2, 2700.00000, 1466.06, 17.9095, 1504.37, 18.1356, 1487.57, 18.2409
3, 0.00000, 1467.01, 17.8071, 1506.63, 18.0135, 1492.25, 18.1538
3, 900.00000, 1514.36, 17.4143, 1542.86, 17.6775, 1542.01, 17.6746
3, 1800.00000, 1522.24, 17.4936, 1551.71, 17.6097, 1539.82, 17.6644
3, 2700.00000, 1535.58, 17.4012, 1560.27, 17.5941, 1549.48, 17.5812
4, 0.00000, 1545.83, 17.2293, 1564.57, 17.5206, 1558.01, 17.4416
4, 900.00000, 1507.71, 17.5737, 1576.08, 17.4621, 1598.99, 17.6643
4, 1800.00000, 1527.98, 17.619, 1607.24, 17.7588, 1603.93, 17.7515
4, 2700.00000, 1520.14, 17.4598, 1574.29, 17.3304, 1585.92, 17.5517
5, 0.00000, 1544.08, 17.5401, 1579.88, 17.3301, 1595.99, 17.3783
5, 900.00000, 1604.31, 17.6086, 1662.87, 17.4632, 1610.18, 17.603
5, 1800.00000, 1598.15, 17.5207, 1642.54, 17.3441, 1598.29, 17.6302
5, 2700.00000, 1640.65, 17.4733, 1711.09, 17.4399, 1693.82, 17.6275
6, 0.00000, 1642.55, 17.405, 1726.67, 17.4641, 1708.85, 17.6657
6, 900.00000, 1774.18, 17.4394, 1852.79, 17.2935, 1879.59, 17.4133
6, 1800.00000, 1781.67, 17.4959, 1877.47, 17.4298, 1905.25, 17.6948
6, 2700.00000, 1806.96, 17.5028, 1889.24, 17.4516, 1948.8, 17.6262
7, 0.00000, 1838.86, 17.438, 1926.72, 17.2054, 1962.07, 17.5203
7, 900.00000, 1991.46, 17.6491, 2057.2, 17.8879, 2103.18, 18.0489
7, 1800.00000, 1941.04, 17.6982, 2003.67, 18.0009, 2062.14, 17.9649
7, 2700.00000, 1934.26, 17.9108, 1946.35, 18.4817, 1970.75, 18.5063
8, 0.00000, 1856.16, 19.196, 1873.63, 19.639, 1911.41, 19.7967
8, 900.00000, 1836.47, 20.3861, 1833.57, 21.0148, 1855.63, 20.9898
8, 1800.00000, 1740.91, 21.4537, 1740, 22.404, 1723.85, 22.1079
8, 2700.00000, 1716.43, 22.6691, 1726.01, 23.997, 1686.76, 23.5695
9, 0.00000, 1663.56, 24.161, 1651.76, 24.7582, 1599.9, 24.9803
9, 900.00000, 1619.59, 25.475, 1629.11, 25.9372, 1563.21, 26.1349
9, 1800.00000, 1551.87, 27.3528, 1565.14, 28.0278, 1517.15, 27.8333
9, 2700.00000, 1506.7, 29.1375, 1472.23, 30.3572, 1499.9, 29.3378
10, 0.00000, 1441.46, 30.7668, 1355.37, 33.0253, 1416.92, 31.1016
10, 900.00000, 1386.49, 32.5512, 1285.02, 35.5845, 1368.02, 32.8669
10, 1800.00000, 1349.85, 34.0038, 1263.7, 37.6406, 1340.66, 34.5118
10, 2700.00000, 1306.48, 36.2699, 1173.93, 40.8955, 1249.62, 37.3503
11, 0.00000, 1270.5, 37.99, 1140.56, 42.5704, 1198.61, 39.4021
11, 900.00000, 1230.98, 39.382, 1143.28, 43.6435, 1195.15, 40.5213
11, 1800.00000, 1228.54, 39.5587, 1101.92, 44.9017, 1140.24, 41.6577
11, 2700.00000, 1259.26, 39.233, 1132.59, 44.8781, 1192.16, 41.0489
12, 0.00000, 1239.49, 39.4811, 1143.3, 44.4622, 1194.89, 41.101
12, 900.00000, 1310.22, 38.1166, 1182.56, 43.3033, 1230.43, 39.7716
12, 1800.00000, 1320.65, 38.3309, 1182.75, 43.7659, 1241.15, 39.9408
12, 2700.00000, 1294.62, 38.8797, 1178.82, 44.3441, 1235.31, 40.1444
13, 0.00000, 1274.54, 39.5056, 1154.6, 45.1494, 1212.8, 40.8798
13, 900.00000, 1244.87, 39.9507, 1150.43, 45.7605, 1238.81, 40.9543
13, 1800.00000, 1251.02, 39.337, 1147.71, 44.9421, 1223.91, 40.456
13, 2700.00000, 1271.36, 38.349, 1166.62, 43.2815, 1228.01, 39.3363
14, 0.00000, 1275.22, 37.4684, 1186.55, 41.9378, 1274.72, 37.657
14, 900.00000, 1290.35, 35.985, 1252.06, 39.1016, 1346.13, 35.4842
14, 1800.00000, 1323.55, 35.0856, 1271.22, 38.0328, 1347.5, 35.1171
14, 2700.00000, 1354.51, 33.8809, 1263.22, 37.2422, 1330.24, 34.2865
15, 0.00000, 1396.08, 32.1477, 1320.53, 35.286, 1400.42, 32.3544
15, 900.00000, 1433.88, 30.6016, 1361.36, 33.1872, 1407.61, 31.1744
15, 1800.00000, 1496.21, 28.5139, 1463.64, 30.081, 1484.34, 28.9945
15, 2700.00000, 1604.43, 26.0373, 1647.66, 26.6002, 1589.48, 26.5523
16, 0.00000, 1720.55, 23.8412, 1745.17, 24.1221, 1659.23, 24.2409
16, 900.00000, 1822.99, 22.3482, 1842.71, 22.6183, 1827.89, 22.6387
16, 1800.00000, 1795.99, 22.4657, 1823.29, 22.7346, 1809.38, 22.7074
16, 2700.00000, 1769.53, 22.4956, 1815.77, 22.8041, 1797.19, 22.5757
17, 0.00000, 1819.49, 21.2977, 1872.86, 21.2639, 1880.82, 21.4513
17, 900.00000, 1971.84, 20.2659, 2073.43, 20.2655, 2041.16, 20.4768
17, 1800.00000, 1978.45, 19.8546, 2124.19, 20.1003, 2087.36, 20.1289
17, 2700.00000, 1994.75, 19.7771, 2096.5, 20.063, 2085.89, 20.028
18, 0.00000, 2010.77, 19.6134, 2144.7, 19.8779, 2114.25, 19.9393
18, 900.00000, 2166.66, 19.2159, 2273.14, 19.3593, 2235.55, 19.5737
18, 1800.00000, 2161.76, 19.1796, 2223.34, 19.3263, 2160.17, 19.5747
18, 2700.00000, 2132.91, 19.395, 2192.65, 19.4922, 2161.26, 19.6968
19, 0.00000, 2102.68, 19.6519, 2198.29, 19.5609, 2166.44, 19.8642
19, 900.00000, 2075.14, 19.0111, 2196.58, 19.0974, 2137.51, 19.3864
19, 1800.00000, 2083.18, 19.0211, 2232.57, 19.2071, 2196.52, 19.4854
19, 2700.00000, 2156.47, 19.0408, 2256.11, 19.4843, 2239.43, 19.7818
20, 0.00000, 2154.51, 18.8, 2274.49, 19.5023, 2254.37, 19.7305
20, 900.00000, 2095.65, 19.0143, 2176.47, 19.51, 2181.25, 19.8694
20, 1800.00000, 2103.98, 19.3357, 2169.12, 19.5974, 2162.77, 19.8128
20, 2700.00000, 2123.08, 19.3869, 2193.59, 19.517, 2133.81, 19.7464
21, 0.00000, 2083.2, 19.0268, 2186.72, 19.1866, 2114.8, 19.5766
21, 900.00000, 1911.42, 19.4484, 2030.63, 19.672, 1997.96, 20.0123
21, 1800.00000, 1931.65, 19.4928, 2049.52, 19.6377, 1952.84, 19.9238
21, 2700.00000, 1924.44, 19.5874, 2046.86, 19.7008, 1963.27, 19.9185
22, 0.00000, 1870.2, 19.7251, 1976.31, 19.9116, 1930.34, 19.9767
22, 900.00000, 1782.17, 19.4802, 1776.34, 20.2331, 1772.7, 19.7314
22, 1800.00000, 1762.3, 19.4473, 1722.83, 20.2299, 1769, 19.9965
22, 2700.00000, 1725.94, 19.4507, 1659.13, 20.1373, 1709.17, 19.889
23, 0.00000, 1663.79, 19.2507, 1617.26, 19.9658, 1646.97, 19.8436
23, 900.00000, 1541.7, 19.5177, 1511.01, 20.0477, 1502.15, 20.1673
23, 1800.00000, 1536.72, 19.6195, 1485.57, 20.0369, 1460.73, 20.2184
23, 2700.00000, 1436.78, 19.5636, 1456.41, 19.9701, 1475.5, 20.3916
24, 0.00000, 1409.31, 19.5208, 1442.68, 19.9423, 1442.68, 20.2903
