,MonitoredObj,MonitoredTerm,SwitchedObj,SwitchedTerm,FuseCurve,RatedCurrent,Delay,Action,basefreq,enabled,like
Fuse.fuse_fuse(r:p2udt11428-p2udt673)p2u_65255,Line.fuse(r:p2udt11428-p2udt673)p2u_65255,1,,1,Tlink,165.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt2826-p2udt6372)p2u_65594,Line.fuse(r:p2udt2826-p2udt6372)p2u_65594,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt4059-p2udt6573)p2u_65782,Line.fuse(r:p2udt4059-p2udt6573)p2u_65782,1,,1,Tlink,165.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt3666-p2udt5524)p2u_65984,Line.fuse(r:p2udt3666-p2udt5524)p2u_65984,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt5527-p2udt713)p2u_65985,Line.fuse(r:p2udt5527-p2udt713)p2u_65985,1,,1,Tlink,115.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12186-p2udt5533)p2u_65986,Line.fuse(r:p2udt12186-p2udt5533)p2u_65986,1,,1,Tlink,165.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt5877-p2udt6210)p2u_66024,Line.fuse(r:p2udt5877-p2udt6210)p2u_66024,1,,1,Tlink,165.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt5883-p2udt6209)p2u_66025,Line.fuse(r:p2udt5883-p2udt6209)p2u_66025,1,,1,Tlink,233.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt5872-p2udt5885)p2u_66026,Line.fuse(r:p2udt5872-p2udt5885)p2u_66026,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt5905-p2udt5909)p2u_66027,Line.fuse(r:p2udt5905-p2udt5909)p2u_66027,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12147-p2udt6217)p2u_66070,Line.fuse(r:p2udt12147-p2udt6217)p2u_66070,1,,1,Tlink,205.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12140-p2udt6224)p2u_66071,Line.fuse(r:p2udt12140-p2udt6224)p2u_66071,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6230-p2udt6231)p2u_66072,Line.fuse(r:p2udt6230-p2udt6231)p2u_66072,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6230-p2udt7224)p2u_66073,Line.fuse(r:p2udt6230-p2udt7224)p2u_66073,1,,1,Tlink,165.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6240-p2udt6590)p2u_66074,Line.fuse(r:p2udt6240-p2udt6590)p2u_66074,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt5898-p2udt6245)p2u_66075,Line.fuse(r:p2udt5898-p2udt6245)p2u_66075,1,,1,Tlink,115.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6376-p2udt6430)p2u_66091,Line.fuse(r:p2udt6376-p2udt6430)p2u_66091,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6556-p2udt6563)p2u_66109,Line.fuse(r:p2udt6556-p2udt6563)p2u_66109,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6562-p2udt6568)p2u_66110,Line.fuse(r:p2udt6562-p2udt6568)p2u_66110,1,,1,Tlink,205.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6579-p2udt6580)p2u_66111,Line.fuse(r:p2udt6579-p2udt6580)p2u_66111,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt6582-p2udt6583)p2u_66112,Line.fuse(r:p2udt6582-p2udt6583)p2u_66112,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt8160-p2udt8161)p2u_66330,Line.fuse(r:p2udt8160-p2udt8161)p2u_66330,1,,1,Tlink,233.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt11891-p2udt1731)p2u_66862,Line.fuse(r:p2udt11891-p2udt1731)p2u_66862,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12141-p2udt12146)p2u_66900,Line.fuse(r:p2udt12141-p2udt12146)p2u_66900,1,,1,Tlink,295.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12149-p2udt12150)p2u_66901,Line.fuse(r:p2udt12149-p2udt12150)p2u_66901,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12065-p2udt12155)p2u_66902,Line.fuse(r:p2udt12065-p2udt12155)p2u_66902,1,,1,Tlink,151.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt11787-p2udt12156)p2u_66903,Line.fuse(r:p2udt11787-p2udt12156)p2u_66903,1,,1,Tlink,115.0,0,,60,True,
Fuse.fuse_fuse(r:p2udt12167-p2udt5526)p2u_66904,Line.fuse(r:p2udt12167-p2udt5526)p2u_66904,1,,1,Tlink,151.0,0,,60,True,
