,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p2udt7lv-p2ulv8),p2udt7lv.1.2,p2ulv8.1.2,1P_UG_AL_1/0_Brenau_2,0.0151435,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm47-p2ulv45287),p2udm47.1.2,p2ulv45287.1.2,1P_UG_AL_1/0_Brenau_2,0.0117064,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm44-p2ulv17456),p2udm44.1.2,p2ulv17456.1.2,1P_UG_AL_1/0_Brenau_2,0.0163566,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm44-p2ulv45286),p2udm44.1.2,p2ulv45286.1.2,1P_UG_AL_1/0_Brenau_2,0.0116852,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm44-p2udm47),p2udm47.1.2,p2udm44.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00937568,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm47-p2udt7lv),p2udt7lv.1.2,p2udm47.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0187448,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm48-p2ulv45290),p2udm48.1.2,p2ulv45290.1.2,1P_UG_AL_1/0_Brenau_2,0.012865,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm45-p2ulv28805),p2udm45.1.2,p2ulv28805.1.2,1P_UG_AL_1/0_Brenau_2,0.0136325,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm45-p2udm48),p2udm48.1.2,p2udm45.1.2,1P_UG_AL_1/0_Brenau_2,0.0278459,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm48-p2udt7lv),p2udt7lv.1.2,p2udm48.1.2,1P_UG_AL_2/0_Converse_2,0.00937732,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt657lv-p2ulv1334),p2udt657lv.1.2,p2ulv1334.1.2,1P_UG_AL_2/0_Converse_2,0.0134263,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
