,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p2ulv8_1,1,p2ulv8.1,0.12,17.4575614969432,0.9877,1,res_kw_9927_pu,,,,wye,2.7648054103183,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,17.6751408021684,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv8_2,1,p2ulv8.2,0.12,17.4575614969432,0.9877,1,res_kw_9927_pu,,,,wye,2.7648054103183,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,17.6751408021684,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv1334_1,1,p2ulv1334.1,0.12,5.19365099122842,0.9501,1,res_kw_8152_pu,,,,wye,1.70530453169355,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.46644986847062,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv1334_2,1,p2ulv1334.2,0.12,5.19365099122842,0.9501,1,res_kw_8152_pu,,,,wye,1.70530453169355,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.46644986847062,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv1350,3,p2ulv1350.1.2.3,0.48,65.4882950082963,0.9645,1,com_kw_39371_pu,,,,wye,17.935683347029,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,67.8999670119105,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv1398_1,1,p2ulv1398.1,0.12,5.34461142073824,0.974,1,res_kw_892_pu,,,,wye,1.24209049163089,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.48704474449457,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv1398_2,1,p2ulv1398.2,0.12,5.34461142073824,0.974,1,res_kw_892_pu,,,,wye,1.24209049163089,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.48704474449457,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv2398_1,1,p2ulv2398.1,0.12,1.28729599451634,0.8772,1,res_kw_3244_pu,,,,wye,0.704597553804459,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.46751105288003,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv2398_2,1,p2ulv2398.2,0.12,1.28729599451634,0.8772,1,res_kw_3244_pu,,,,wye,0.704597553804459,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,1.46751105288003,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p2ulv2456_1,1,p2ulv2456.1,0.12,12.0511370354286,0.9765,1,res_kw_1525_pu,,,,wye,2.66254906474734,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,12.3417612749909,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
