,phases,bus1,kv,irradiance,Pmpp,%Pmpp,Temperature,pf,conn,kvar,kVA,%Cutin,%Cutout,EffCurve,P-TCurve,%R,%X,model,Vminpu,Vmaxpu,Balanced,LimitCurrent,yearly,daily,duty,Tyearly,Tdaily,Tduty,class,UserModel,UserData,debugtrace,VarFollowInverter,DutyStart,WattPriority,PFPriority,%PminNoVars,%PminkvarMax,kvarMax,kvarMaxAbs,spectrum,basefreq,enabled,like
PVSystem.pv_load_p2ulv19030,1,p2ulv19030.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45150,1,p2ulv45150.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45265,1,p2ulv45265.1.2,0.24,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv15574,3,p2ulv15574.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv27218,1,p2ulv27218.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44728,1,p2ulv44728.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45278,1,p2ulv45278.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv28532,1,p2ulv28532.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45323,1,p2ulv45323.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18640,3,p2ulv18640.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv20112,1,p2ulv20112.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv27209,1,p2ulv27208.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv27208,1,p2ulv27208.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv43825,1,p2ulv43825.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18751,1,p2ulv18751.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv45186,1,p2ulv45186.1.2,0.24,1,3,100,25,1,wye,0,2.72727,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,2.72727,2.72727,,60,True,
PVSystem.pv_load_p2ulv45334,1,p2ulv45334.1.2,0.24,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv18724,1,p2ulv18724.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20184,1,p2ulv20184.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45329,1,p2ulv45329.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv15560,1,p2ulv15560.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv1334,1,p2ulv1334.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv41990,1,p2ulv41990.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv45199,1,p2ulv45197.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18735,1,p2ulv18735.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv15578,1,p2ulv15578.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv19043,1,p2ulv19043.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45230,1,p2ulv45229.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20234,1,p2ulv20233.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17103,1,p2ulv17103.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20084,1,p2ulv20083.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17152,1,p2ulv17152.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20153,1,p2ulv20153.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44853,1,p2ulv44853.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv22973,1,p2ulv22973.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv20099,1,p2ulv20099.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20191,1,p2ulv20191.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17113,1,p2ulv17113.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45175,3,p2ulv45175.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv20194,1,p2ulv20194.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv4825,1,p2ulv4825.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17037,1,p2ulv17037.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv3771,1,p2ulv3771.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv27273,1,p2ulv27273.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv19019,3,p2ulv19019.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv18645,1,p2ulv18645.1.2,0.24,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv45173,1,p2ulv45173.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44756,1,p2ulv44756.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv43482,1,p2ulv43482.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45185,1,p2ulv45185.1.2,0.24,1,3,100,25,1,wye,0,2.72727,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,2.72727,2.72727,,60,True,
PVSystem.pv_load_p2ulv19052,1,p2ulv19052.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17203,1,p2ulv17203.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
