,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:p2udt7-p2udt7lv),1,3,3,p2udt7lv.0.2,wye ,0.12,75,1,0.33284,-1,0,"['p2udt7.3', 'p2udt7lv.1.0', 'p2udt7lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['75', '75', '75']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.49926,0.38,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.16642', '0.33284', '0.33284']",,,NO,2.4,1.6,2.4,Lag,"3.352851, (104.51), 99.42976, (-75.709), 99.39449, (-75.638), ",shell,0.0005431949,1,['1100'],11.458,15.625,0.007,100,36,60,True,
Transformer.tr(r:p2udt657-p2udt657lv),1,3,3,p2udt657lv.0.2,wye ,0.12,75,1,0.33284,-1,0,"['p2udt657.3', 'p2udt657lv.1.0', 'p2udt657lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['75', '75', '75']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.49926,0.38,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.16642', '0.33284', '0.33284']",,,NO,2.4,1.6,2.4,Lag,"1.61971, (99.533), 47.45737, (-80.99), 47.44688, (-80.955), ",shell,0.0005431949,1,['1100'],11.458,15.625,0.007,100,36,60,True,
Transformer.tr(r:p2udt673-p2udt673lv),3,2,2,p2udt673lv,wye ,0.48,300,1,0.91198,-1,0,"['p2udt673', 'p2udt673lv']","['delta', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"1.698533, (-42.839), 75.26053, (136.97), 1.698602, (-162.85), 75.26368, (16.96), 1.698764, (77.16), 75.27108, (-103.03), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:p2udt713-p2udt713lv),1,3,3,p2udt713lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt713.1', 'p2udt713lv.1.0', 'p2udt713lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.567416, (-14.359), 46.26238, (165.38), 46.25145, (165.43), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt1143-p2udt1143lv),1,3,3,p2udt1143lv.0.2,wye ,0.12,75,1,0.33284,-1,0,"['p2udt1143.3', 'p2udt1143lv.1.0', 'p2udt1143lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['75', '75', '75']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.49926,0.38,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.16642', '0.33284', '0.33284']",,,NO,2.4,1.6,2.4,Lag,"1.689885, (91.136), 49.63864, (-89.555), 49.6231, (-89.521), ",shell,0.0005431949,1,['1100'],11.458,15.625,0.007,100,36,60,True,
Transformer.tr(r:p2udt1192-p2udt1192lv),1,3,3,p2udt1192lv.0.2,wye ,0.12,75,1,0.33284,-1,0,"['p2udt1192.3', 'p2udt1192lv.1.0', 'p2udt1192lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['75', '75', '75']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.49926,0.38,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.16642', '0.33284', '0.33284']",,,NO,2.4,1.6,2.4,Lag,"2.541131, (98.82), 75.11211, (-81.537), 75.0854, (-81.484), ",shell,0.0005431949,1,['1100'],11.458,15.625,0.007,100,36,60,True,
Transformer.tr(r:p2udt1209-p2udt1209lv),1,3,3,p2udt1209lv.0.2,wye ,0.12,75,1,0.33284,-1,0,"['p2udt1209.1', 'p2udt1209lv.1.0', 'p2udt1209lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['75', '75', '75']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.49926,0.38,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.16642', '0.33284', '0.33284']",,,NO,2.4,1.6,2.4,Lag,"1.779492, (-24.719), 52.28704, (154.71), 52.27206, (154.75), ",shell,0.0005431949,1,['1100'],11.458,15.625,0.007,100,36,60,True,
Transformer.tr(r:p2udt1243-p2udt1243lv),1,3,3,p2udt1243lv.0.2,wye ,0.12,75,1,0.33284,-1,0,"['p2udt1243.3', 'p2udt1243lv.1.0', 'p2udt1243lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['75', '75', '75']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.49926,0.38,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.16642', '0.33284', '0.33284']",,,NO,2.4,1.6,2.4,Lag,"1.437249, (89.092), 42.08206, (-91.765), 42.0702, (-91.736), ",shell,0.0005431949,1,['1100'],11.458,15.625,0.007,100,36,60,True,
Transformer.tr(r:p2udt1282-p2udt1282lv),3,2,2,p2udt1282lv,wye ,0.48,75,1,0.87204,-1,0,"['p2udt1282', 'p2udt1282lv']","['delta', 'wye']","['12.47', '0.48']","['75', '75']","['1', '1']",3.24,35,30,['3.24'],2,.8,.8,65,15,1.74408,0.6,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.87204', '0.87204']",,,NO,3.24,35,30,Lag,"0.2881308, (-55.238), 12.46606, (123.69), 0.2881228, (-175.25), 12.46569, (3.6854), 0.288163, (64.756), 12.46757, (-116.31), ",shell,0.007590236,1,['1100'],3.8197,5.2087,0.007,100,36,60,True,
Transformer.tr(r:p2udt1609-p2udt1609lv),1,3,3,p2udt1609lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt1609.3', 'p2udt1609lv.1.0', 'p2udt1609lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"2.29362, (89.325), 68.1534, (-91.041), 68.10696, (-90.975), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
