,Transformer,HighSideConnection,NumPhases
0,Transformer.tr(r:p2udt7-p2udt7lv),wye,1
1,Transformer.tr(r:p2udt657-p2udt657lv),wye,1
2,Transformer.tr(r:p2udt673-p2udt673lv),delta,3
3,Transformer.tr(r:p2udt713-p2udt713lv),wye,1
4,Transformer.tr(r:p2udt1143-p2udt1143lv),wye,1
5,Transformer.tr(r:p2udt1192-p2udt1192lv),wye,1
6,Transformer.tr(r:p2udt1209-p2udt1209lv),wye,1
7,Transformer.tr(r:p2udt1243-p2udt1243lv),wye,1
8,Transformer.tr(r:p2udt1282-p2udt1282lv),delta,3
9,Transformer.tr(r:p2udt1609-p2udt1609lv),wye,1
10,Transformer.tr(r:p2udt1614-p2udt1614lv),wye,1
11,Transformer.tr(r:p2udt1677-p2udt1677lv),wye,1
12,Transformer.tr(r:p2udt1687-p2udt1687lv),wye,1
13,Transformer.tr(r:p2udt1706-p2udt1706lv),wye,1
14,Transformer.tr(r:p2udt1731-p2udt1731lv),wye,1
15,Transformer.tr(r:p2udt1751-p2udt1751lv),delta,3
16,Transformer.tr(r:p2udt1818-p2udt1818lv),wye,1
17,Transformer.tr(r:p2udt1835-p2udt1835lv),delta,3
18,Transformer.tr(r:p2udt1846-p2udt1846lv),wye,1
19,Transformer.tr(r:p2udt1850-p2udt1850lv),wye,1
20,Transformer.tr(r:p2udt2321-p2udt2321lv),wye,1
21,Transformer.tr(r:p2udt2649-p2udt2649lv),delta,3
22,Transformer.tr(r:p2udt2721-p2udt2721lv),wye,1
23,Transformer.tr(r:p2udt2826-p2udt2826lv),wye,1
24,Transformer.tr(r:p2udt3133-p2udt3133lv),wye,1
25,Transformer.tr(r:p2udt3596-p2udt3596lv),delta,3
26,Transformer.tr(r:p2udt3599-p2udt3599lv),delta,3
27,Transformer.tr(r:p2udt3634-p2udt3634lv),wye,1
28,Transformer.tr(r:p2udt3666-p2udt3666lv),wye,1
29,Transformer.tr(r:p2udt3690-p2udt3690lv),delta,3
30,Transformer.tr(r:p2udt3693-p2udt3693lv),wye,1
31,Transformer.tr(r:p2udt3725-p2udt3725lv),wye,1
32,Transformer.tr(r:p2udt3732-p2udt3732lv),wye,1
33,Transformer.tr(r:p2udt4054-p2udt4054lv),wye,1
34,Transformer.tr(r:p2udt4056-p2udt4056lv),delta,3
35,Transformer.tr(r:p2udt4057-p2udt4057lv),wye,1
36,Transformer.tr(r:p2udt4058-p2udt4058lv),delta,3
37,Transformer.tr(r:p2udt4059-p2udt4059lv),delta,3
38,Transformer.tr(r:p2udt4187-p2udt4187lv),wye,1
39,Transformer.tr(r:p2udt4224-p2udt4224lv),wye,1
40,Transformer.tr(r:p2udt4228-p2udt4228lv),wye,1
41,Transformer.tr(r:p2udt4616-p2udt4616lv),wye,1
42,Transformer.tr(r:p2udt5152-p2udt5152lv),wye,1
43,Transformer.tr(r:p2udt5495-p2udt5495lv),wye,1
44,Transformer.tr(r:p2udt5524-p2udt5524lv),wye,1
45,Transformer.tr(r:p2udt5525-p2udt5525lv),wye,1
46,Transformer.tr(r:p2udt5526-p2udt5526lv),wye,1
47,Transformer.tr(r:p2udt5527-p2udt5527lv),wye,1
48,Transformer.tr(r:p2udt5528-p2udt5528lv),wye,1
49,Transformer.tr(r:p2udt5529-p2udt5529lv),wye,1
50,Transformer.tr(r:p2udt5530-p2udt5530lv),wye,1
51,Transformer.tr(r:p2udt5531-p2udt5531lv),delta,3
52,Transformer.tr(r:p2udt5532-p2udt5532lv),delta,3
53,Transformer.tr(r:p2udt5533-p2udt5533lv),wye,1
54,Transformer.tr(r:p2udt5792-p2udt5792lv),wye,1
55,Transformer.tr(r:p2udt5793-p2udt5793lv),wye,1
56,Transformer.tr(r:p2udt5801-p2udt5801lv),wye,1
57,Transformer.tr(r:p2udt5802-p2udt5802lv),wye,1
58,Transformer.tr(r:p2udt5872-p2udt5872lv),wye,1
59,Transformer.tr(r:p2udt5873-p2udt5873lv),wye,1
60,Transformer.tr(r:p2udt5874-p2udt5874lv),wye,1
61,Transformer.tr(r:p2udt5875-p2udt5875lv),wye,1
62,Transformer.tr(r:p2udt5876-p2udt5876lv),wye,1
63,Transformer.tr(r:p2udt5877-p2udt5877lv),wye,1
64,Transformer.tr(r:p2udt5878-p2udt5878lv),wye,1
65,Transformer.tr(r:p2udt5879-p2udt5879lv),wye,1
66,Transformer.tr(r:p2udt5880-p2udt5880lv),wye,1
67,Transformer.tr(r:p2udt5881-p2udt5881lv),wye,1
68,Transformer.tr(r:p2udt5882-p2udt5882lv),wye,1
69,Transformer.tr(r:p2udt5883-p2udt5883lv),delta,3
70,Transformer.tr(r:p2udt5884-p2udt5884lv),wye,1
71,Transformer.tr(r:p2udt5885-p2udt5885lv),wye,1
72,Transformer.tr(r:p2udt5892-p2udt5892lv),wye,1
73,Transformer.tr(r:p2udt5893-p2udt5893lv),wye,1
74,Transformer.tr(r:p2udt5894-p2udt5894lv),wye,1
75,Transformer.tr(r:p2udt5895-p2udt5895lv),wye,1
76,Transformer.tr(r:p2udt5896-p2udt5896lv),wye,1
77,Transformer.tr(r:p2udt5897-p2udt5897lv),wye,1
78,Transformer.tr(r:p2udt5898-p2udt5898lv),wye,1
79,Transformer.tr(r:p2udt5899-p2udt5899lv),wye,1
80,Transformer.tr(r:p2udt5900-p2udt5900lv),wye,1
81,Transformer.tr(r:p2udt5901-p2udt5901lv),wye,1
82,Transformer.tr(r:p2udt5902-p2udt5902lv),wye,1
83,Transformer.tr(r:p2udt5903-p2udt5903lv),wye,1
84,Transformer.tr(r:p2udt5904-p2udt5904lv),wye,1
85,Transformer.tr(r:p2udt5905-p2udt5905lv),wye,1
86,Transformer.tr(r:p2udt5909-p2udt5909lv),delta,3
87,Transformer.tr(r:p2udt5910-p2udt5910lv),wye,1
88,Transformer.tr(r:p2udt5911-p2udt5911lv),wye,1
89,Transformer.tr(r:p2udt5912-p2udt5912lv),wye,1
90,Transformer.tr(r:p2udt5913-p2udt5913lv),wye,1
91,Transformer.tr(r:p2udt5914-p2udt5914lv),wye,1
92,Transformer.tr(r:p2udt5915-p2udt5915lv),wye,1
93,Transformer.tr(r:p2udt5916-p2udt5916lv),wye,1
94,Transformer.tr(r:p2udt5917-p2udt5917lv),wye,1
95,Transformer.tr(r:p2udt5918-p2udt5918lv),wye,1
96,Transformer.tr(r:p2udt5919-p2udt5919lv),wye,1
97,Transformer.tr(r:p2udt5920-p2udt5920lv),delta,3
98,Transformer.tr(r:p2udt5986-p2udt5986lv),wye,1
99,Transformer.tr(r:p2udt5987-p2udt5987lv),wye,1
100,Transformer.tr(r:p2udt5988-p2udt5988lv),delta,3
101,Transformer.tr(r:p2udt6189-p2udt6189lv),wye,1
102,Transformer.tr(r:p2udt6193-p2udt6193lv),wye,1
103,Transformer.tr(r:p2udt6194-p2udt6194lv),wye,1
104,Transformer.tr(r:p2udt6195-p2udt6195lv),wye,1
105,Transformer.tr(r:p2udt6209-p2udt6209lv),wye,1
106,Transformer.tr(r:p2udt6210-p2udt6210lv),wye,1
107,Transformer.tr(r:p2udt6211-p2udt6211lv),wye,1
108,Transformer.tr(r:p2udt6212-p2udt6212lv),wye,1
109,Transformer.tr(r:p2udt6213-p2udt6213lv),delta,3
110,Transformer.tr(r:p2udt6214-p2udt6214lv),wye,1
111,Transformer.tr(r:p2udt6215-p2udt6215lv),delta,3
112,Transformer.tr(r:p2udt6216-p2udt6216lv),wye,1
113,Transformer.tr(r:p2udt6217-p2udt6217lv),delta,3
114,Transformer.tr(r:p2udt6218-p2udt6218lv),wye,1
115,Transformer.tr(r:p2udt6219-p2udt6219lv),wye,1
116,Transformer.tr(r:p2udt6220-p2udt6220lv),wye,1
117,Transformer.tr(r:p2udt6221-p2udt6221lv),wye,1
118,Transformer.tr(r:p2udt6222-p2udt6222lv),wye,1
119,Transformer.tr(r:p2udt6223-p2udt6223lv),wye,1
120,Transformer.tr(r:p2udt6224-p2udt6224lv),wye,1
121,Transformer.tr(r:p2udt6225-p2udt6225lv),wye,1
122,Transformer.tr(r:p2udt6226-p2udt6226lv),wye,1
123,Transformer.tr(r:p2udt6227-p2udt6227lv),wye,1
124,Transformer.tr(r:p2udt6228-p2udt6228lv),delta,3
125,Transformer.tr(r:p2udt6229-p2udt6229lv),wye,1
126,Transformer.tr(r:p2udt6230-p2udt6230lv),delta,3
127,Transformer.tr(r:p2udt6231-p2udt6231lv),wye,1
128,Transformer.tr(r:p2udt6232-p2udt6232lv),wye,1
129,Transformer.tr(r:p2udt6240-p2udt6240lv),wye,1
130,Transformer.tr(r:p2udt6241-p2udt6241lv),wye,1
131,Transformer.tr(r:p2udt6242-p2udt6242lv),wye,1
132,Transformer.tr(r:p2udt6243-p2udt6243lv),delta,3
133,Transformer.tr(r:p2udt6244-p2udt6244lv),wye,1
134,Transformer.tr(r:p2udt6245-p2udt6245lv),wye,1
135,Transformer.tr(r:p2udt6246-p2udt6246lv),wye,1
136,Transformer.tr(r:p2udt6372-p2udt6372lv),wye,1
137,Transformer.tr(r:p2udt6373-p2udt6373lv),delta,3
138,Transformer.tr(r:p2udt6374-p2udt6374lv),wye,1
139,Transformer.tr(r:p2udt6375-p2udt6375lv),delta,3
140,Transformer.tr(r:p2udt6376-p2udt6376lv),wye,1
141,Transformer.tr(r:p2udt6377-p2udt6377lv),wye,1
142,Transformer.tr(r:p2udt6378-p2udt6378lv),wye,1
143,Transformer.tr(r:p2udt6379-p2udt6379lv),wye,1
144,Transformer.tr(r:p2udt6380-p2udt6380lv),wye,1
145,Transformer.tr(r:p2udt6381-p2udt6381lv),wye,1
146,Transformer.tr(r:p2udt6382-p2udt6382lv),delta,3
147,Transformer.tr(r:p2udt6383-p2udt6383lv),wye,1
148,Transformer.tr(r:p2udt6384-p2udt6384lv),wye,1
149,Transformer.tr(r:p2udt6385-p2udt6385lv),delta,3
150,Transformer.tr(r:p2udt6386-p2udt6386lv),delta,3
151,Transformer.tr(r:p2udt6387-p2udt6387lv),delta,3
152,Transformer.tr(r:p2udt6388-p2udt6388lv),wye,1
153,Transformer.tr(r:p2udt6428-p2udt6428lv),wye,1
154,Transformer.tr(r:p2udt6429-p2udt6429lv),wye,1
155,Transformer.tr(r:p2udt6430-p2udt6430lv),wye,1
156,Transformer.tr(r:p2udt6556-p2udt6556lv),wye,1
157,Transformer.tr(r:p2udt6557-p2udt6557lv),wye,1
158,Transformer.tr(r:p2udt6558-p2udt6558lv),wye,1
159,Transformer.tr(r:p2udt6559-p2udt6559lv),wye,1
160,Transformer.tr(r:p2udt6560-p2udt6560lv),wye,1
161,Transformer.tr(r:p2udt6561-p2udt6561lv),wye,1
162,Transformer.tr(r:p2udt6562-p2udt6562lv),wye,1
163,Transformer.tr(r:p2udt6563-p2udt6563lv),delta,3
164,Transformer.tr(r:p2udt6564-p2udt6564lv),wye,1
165,Transformer.tr(r:p2udt6565-p2udt6565lv),delta,3
166,Transformer.tr(r:p2udt6566-p2udt6566lv),wye,1
167,Transformer.tr(r:p2udt6567-p2udt6567lv),wye,1
168,Transformer.tr(r:p2udt6568-p2udt6568lv),wye,1
169,Transformer.tr(r:p2udt6569-p2udt6569lv),wye,1
170,Transformer.tr(r:p2udt6570-p2udt6570lv),wye,1
171,Transformer.tr(r:p2udt6573-p2udt6573lv),wye,1
172,Transformer.tr(r:p2udt6575-p2udt6575lv),wye,1
173,Transformer.tr(r:p2udt6577-p2udt6577lv),wye,1
174,Transformer.tr(r:p2udt6578-p2udt6578lv),wye,1
175,Transformer.tr(r:p2udt6579-p2udt6579lv),wye,1
176,Transformer.tr(r:p2udt6580-p2udt6580lv),wye,1
177,Transformer.tr(r:p2udt6581-p2udt6581lv),wye,1
178,Transformer.tr(r:p2udt6582-p2udt6582lv),wye,1
179,Transformer.tr(r:p2udt6583-p2udt6583lv),wye,1
180,Transformer.tr(r:p2udt6584-p2udt6584lv),wye,1
181,Transformer.tr(r:p2udt6585-p2udt6585lv),wye,1
182,Transformer.tr(r:p2udt6586-p2udt6586lv),wye,1
183,Transformer.tr(r:p2udt6587-p2udt6587lv),delta,3
184,Transformer.tr(r:p2udt6590-p2udt6590lv),wye,1
185,Transformer.tr(r:p2udt7224-p2udt7224lv),wye,1
186,Transformer.tr(r:p2udt8145-p2udt8145lv),wye,1
187,Transformer.tr(r:p2udt8146-p2udt8146lv),wye,1
188,Transformer.tr(r:p2udt8159-p2udt8159lv),wye,1
189,Transformer.tr(r:p2udt8160-p2udt8160lv),delta,3
190,Transformer.tr(r:p2udt8161-p2udt8161lv),wye,1
191,Transformer.tr(r:p2udt8461-p2udt8461lv),wye,1
192,Transformer.tr(r:p2udt8485-p2udt8485lv),wye,1
193,Transformer.tr(r:p2udt8488-p2udt8488lv),wye,1
194,Transformer.tr(r:p2udt9644-p2udt9644lv),delta,3
195,Transformer.tr(r:p2udt11428-p2udt11428lv),wye,1
196,Transformer.tr(r:p2udt11787-p2udt11787lv),wye,1
197,Transformer.tr(r:p2udt11890-p2udt11890lv),wye,1
198,Transformer.tr(r:p2udt11891-p2udt11891lv),delta,3
199,Transformer.tr(r:p2udt11918-p2udt11918lv),wye,1
200,Transformer.tr(r:p2udt12050-p2udt12050lv),wye,1
201,Transformer.tr(r:p2udt12051-p2udt12051lv),wye,1
202,Transformer.tr(r:p2udt12052-p2udt12052lv),wye,1
203,Transformer.tr(r:p2udt12053-p2udt12053lv),wye,1
204,Transformer.tr(r:p2udt12054-p2udt12054lv),wye,1
205,Transformer.tr(r:p2udt12055-p2udt12055lv),wye,1
206,Transformer.tr(r:p2udt12056-p2udt12056lv),wye,1
207,Transformer.tr(r:p2udt12057-p2udt12057lv),wye,1
